,nct_id,canonical_BioLinkBERT-base_interventions,snomed_termid,linkbert_snomed_term_canonical_interventions,linkbert_cdist_interventions,Top_Concept,Top_Concept_Canonical,Top_Concept_Canonical_First
74,NCT00000257,"1,2-benzodiazepine",372664007,Benzodiazepine (substance),6.4969,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
77,NCT00000259,"1,2-benzodiazepine",372664007,Benzodiazepine (substance),6.4969,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
82,NCT00000260,"1,2-benzodiazepine",372664007,Benzodiazepine (substance),6.4969,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
96,NCT00000271,desipramine,372705002,Desipramine (substance),0.0052,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
100,NCT00000273,methadone,387286002,Methadone (substance),0.0,"[373265006, 59431004]","['Analgesic (substance)', 'Ketone (substance)']",Analgesic (substance)
101,NCT00000273,methoclocinnamox,387123003,Metolazone (substance),11.5004,"[363549008, 372695000]","['Sulfone (substance)', 'Diuretic (substance)']",Sulfone (substance)
105,NCT00000275,buproprion,387564004,Bupropion (substance),6.1171,"[372720008, 80322001, 59431004]","['Antidepressant (substance)', 'Synthetic alkaloid (substance)', 'Ketone (substance)']",Antidepressant (substance)
129,NCT00000295,progesterone,16683002,Progesterone (substance),0.0,"[312263009, 126090008]","['Sex hormone (substance)', 'Pregnane (substance)']",Sex hormone (substance)
149,NCT00000311,methadone,387286002,Methadone (substance),0.0,"[373265006, 59431004]","['Analgesic (substance)', 'Ketone (substance)']",Analgesic (substance)
151,NCT00000317,amoxapine,373754002,Amoxapine (substance),0.0065,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
156,NCT00000321,desipramine,372705002,Desipramine (substance),0.0052,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
182,NCT00000352,methadone,387286002,Methadone (substance),0.0,"[373265006, 59431004]","['Analgesic (substance)', 'Ketone (substance)']",Analgesic (substance)
194,NCT00000361,prednisone,116602009,Prednisone (substance),0.0,"[304275008, 126090008, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Pregnane (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
195,NCT00000368,paroxetine,372595009,Paroxetine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
207,NCT00000376,desipramine,372705002,Desipramine (substance),0.0052,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
208,NCT00000377,nortriptyline,372652004,Nortriptyline (substance),0.0039,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
211,NCT00000378,nortriptyline,372652004,Nortriptyline (substance),0.0039,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
218,NCT00000378,tricyclic antidepressant,373253007,Tricyclic antidepressant (substance),0.0,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
229,NCT00000390,imipramine hydrochloride,3378009,Imipramine hydrochloride (substance),0.0,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
233,NCT00000428,amitriptyline,372726002,Amitriptyline (substance),0.0024,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
244,NCT00000469,warfarin,372756006,Warfarin (substance),0.0,"[372862008, 255640000]","['Anticoagulant (substance)', 'Biocide (substance)']",Anticoagulant (substance)
256,NCT00000613,genistein,713310002,Glycine max isoflavone (substance),9.5719,"[59431004, 256355007]","['Ketone (substance)', 'Glycine max (substance)']",Ketone (substance)
287,NCT00000776,dexamethasone,372584003,Dexamethasone (substance),0.0,"[304275008, 126090008, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Pregnane (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
288,NCT00000793,amitriptyline,372726002,Amitriptyline (substance),0.0024,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
289,NCT00000793,amitriptyline hydrochloride,48384000,Amitriptyline hydrochloride (substance),0.0024,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
296,NCT00000817,amitriptyline,372726002,Amitriptyline (substance),0.0024,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
319,NCT00001146,icosapent,226367006,Eicosapentaenoic acid (substance),0.0,"[31979005, 735971005, 226355009, 21847005]","['Fatty acid (substance)', 'Fish (substance)', 'Nutrients (substance)', 'Oil (substance)']",Fatty acid (substance)
356,NCT00001483,bupropion,387564004,Bupropion (substance),0.0063,"[372720008, 80322001, 59431004]","['Antidepressant (substance)', 'Synthetic alkaloid (substance)', 'Ketone (substance)']",Antidepressant (substance)
357,NCT00001483,buproprion,387564004,Bupropion (substance),6.1171,"[372720008, 80322001, 59431004]","['Antidepressant (substance)', 'Synthetic alkaloid (substance)', 'Ketone (substance)']",Antidepressant (substance)
360,NCT00001483,venlafaxine,372490001,Venlafaxine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
361,NCT00001487,prasterone,78316004,Dehydroepiandrosterone (substance),0.0065,"[304275008, 312263009]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Sex hormone (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
381,NCT00001669,rhigf-1,108968006,Oprelvekin (substance),11.4403,"[44719008, 373244000]","['Mediator of immune response (substance)', 'Immunologic agent (substance)']",Mediator of immune response (substance)
386,NCT00001725,lorazepam,387106007,Lorazepam (substance),0.002,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
411,NCT00001931,dopamine,412383006,Dopamine (substance),0.0052,"[35069000, 34582008]","['Neurotransmitter (substance)', 'Catecholamine (substance)']",Neurotransmitter (substance)
418,NCT00001934,zenapax,386977009,Daclizumab (substance),13.0545,"[68498002, 372823004]","['Antibody (substance)', 'Immunosuppressant (substance)']",Antibody (substance)
421,NCT00001956,midazolam,373476007,Midazolam (substance),0.0044,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
424,NCT00001994,566c80,387178009,Probucol (substance),13.6923,"[416908008, 373267003]","['Polyphenol (substance)', 'Antilipemic agent (substance)']",Polyphenol (substance)
430,NCT00002019,amphotericin b lipid complex,425953004,Amphotericin B lipid complex (substance),0.0,"[372643008, 78447009]","['Amphotericin (substance)', 'Phospholipid (substance)']",Amphotericin (substance)
467,NCT00002274,dd,387096002,Dapsone (substance),10.2826,"[363549008, 386982002]","['Sulfone (substance)', 'Antileprotic drug (substance)']",Sulfone (substance)
484,NCT00002594,melphalan,387297002,Melphalan (substance),0.0,"[373244000, 372823004]","['Immunologic agent (substance)', 'Immunosuppressant (substance)']",Immunologic agent (substance)
504,NCT00004297,diazepam,387264003,Diazepam (substance),0.0079,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
505,NCT00004297,lorazepam,387106007,Lorazepam (substance),0.002,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
510,NCT00004310,clomipramine,372903001,Clomipramine (substance),0.0052,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
516,NCT00004357,methylprednisolone,116593003,Methylprednisolone (substance),0.0062,"[304275008, 126090008]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Pregnane (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
517,NCT00004357,prednisolone,116601002,Prednisolone (substance),0.0,"[304275008, 126090008, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Pregnane (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
518,NCT00004373,"1,2-benzodiazepine",372664007,Benzodiazepine (substance),6.4969,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
519,NCT00004373,alprazolam,386983007,Alprazolam (substance),0.0031,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
525,NCT00004401,botulism immune globulin,417299009,Botulism immunoglobulin (substance),4.9314,"[112133008, 68498002]","['Immunoglobulin (substance)', 'Antibody (substance)']",Immunoglobulin (substance)
526,NCT00004401,human botulism immune globulin,417299009,Botulism immunoglobulin (substance),7.0604,"[112133008, 68498002]","['Immunoglobulin (substance)', 'Antibody (substance)']",Immunoglobulin (substance)
531,NCT00004418,lorenzo's oil,89707004,Sesame oil (substance),11.6896,"[226355009, 21847005]","['Nutrients (substance)', 'Oil (substance)']",Nutrients (substance)
542,NCT00004450,lorenzo's oil,89707004,Sesame oil (substance),11.6896,"[226355009, 21847005]","['Nutrients (substance)', 'Oil (substance)']",Nutrients (substance)
551,NCT00004488,alendronate sodium,391729003,Alendronate sodium (substance),0.0081,"[50352000, 373301002]","['Organic phosphorus compound (substance)', 'Bone resorption inhibitor (substance)']",Organic phosphorus compound (substance)
559,NCT00004646,prednisone,116602009,Prednisone (substance),0.0,"[304275008, 126090008, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Pregnane (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
561,NCT00004652,pimozide,386848009,Pimozide (substance),0.0,"[123682001, 420898009]","['Piperidine (substance)', 'Benzimidazole (substance)']",Piperidine (substance)
572,NCT00004728,warfarin,372756006,Warfarin (substance),0.0,"[372862008, 255640000]","['Anticoagulant (substance)', 'Biocide (substance)']",Anticoagulant (substance)
586,NCT00004759,methylprednisolone,116593003,Methylprednisolone (substance),0.0062,"[304275008, 126090008]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Pregnane (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
595,NCT00004796,lactulose,273945008,Lactulose (substance),0.0052,"[226355009, 372800002]","['Nutrients (substance)', 'Laxative (substance)']",Nutrients (substance)
608,NCT00004834,imipramine,372718005,Imipramine (substance),0.0,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
610,NCT00004845,rofecoxib,387008005,Rofecoxib (substance),0.0065,"[373265006, 363549008]","['Analgesic (substance)', 'Sulfone (substance)']",Analgesic (substance)
617,NCT00005571,prednisone,116602009,Prednisone (substance),0.0,"[304275008, 126090008, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Pregnane (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
623,NCT00005812,temozolomide,387009002,Temozolomide (substance),0.0,"[373244000, 860774001]","['Immunologic agent (substance)', 'Triazene (substance)']",Immunologic agent (substance)
628,NCT00005903,recombinant-methionyl human glial cell line-derived neurotrophic factor,415247006,Recombinant human granulocyte macrophage colony stimulating factor (substance),12.4278,"[372559001, 407073003]","['Colony stimulating factor (substance)', 'Recombinant protein (substance)']",Colony stimulating factor (substance)
631,NCT00006024,temozolomide,387009002,Temozolomide (substance),0.0,"[373244000, 860774001]","['Immunologic agent (substance)', 'Triazene (substance)']",Immunologic agent (substance)
633,NCT00006055,filgrastim,386948008,Filgrastim (substance),0.0,"[372559001, 407073003]","['Colony stimulating factor (substance)', 'Recombinant protein (substance)']",Colony stimulating factor (substance)
634,NCT00006072,ritu,386919002,Rituximab (substance),12.2281,"[68498002, 372823004]","['Antibody (substance)', 'Immunosuppressant (substance)']",Antibody (substance)
635,NCT00006072,rituximab,386919002,Rituximab (substance),0.0,"[68498002, 372823004]","['Antibody (substance)', 'Immunosuppressant (substance)']",Antibody (substance)
639,NCT00006170,bupropion,387564004,Bupropion (substance),0.0063,"[372720008, 80322001, 59431004]","['Antidepressant (substance)', 'Synthetic alkaloid (substance)', 'Ketone (substance)']",Antidepressant (substance)
640,NCT00006180,alendronate,96290008,Alendronate (substance),0.0044,"[50352000, 373301002]","['Organic phosphorus compound (substance)', 'Bone resorption inhibitor (substance)']",Organic phosphorus compound (substance)
641,NCT00006180,alendronic acid,391730008,Alendronic acid (substance),0.0044,"[50352000, 373301002]","['Organic phosphorus compound (substance)', 'Bone resorption inhibitor (substance)']",Organic phosphorus compound (substance)
656,NCT00006349,donepezil,386855006,Donepezil (substance),0.0,"[123682001, 59431004]","['Piperidine (substance)', 'Ketone (substance)']",Piperidine (substance)
659,NCT00006428,amitriptyline,372726002,Amitriptyline (substance),0.0024,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
660,NCT00006448,methadone,387286002,Methadone (substance),0.0,"[373265006, 59431004]","['Analgesic (substance)', 'Ketone (substance)']",Analgesic (substance)
665,NCT00006488,recombinant-methionyl human glial cell line-derived neurotrophic factor,415247006,Recombinant human granulocyte macrophage colony stimulating factor (substance),12.4278,"[372559001, 407073003]","['Colony stimulating factor (substance)', 'Recombinant protein (substance)']",Colony stimulating factor (substance)
668,NCT00007189,celecoxib,116081000,Celecoxib (substance),0.0,"[363549008, 373265006]","['Sulfone (substance)', 'Analgesic (substance)']",Sulfone (substance)
684,NCT00009048,serotonin,33635003,Serotonin (substance),0.0059,"[44719008, 35069000]","['Mediator of immune response (substance)', 'Neurotransmitter (substance)']",Mediator of immune response (substance)
696,NCT00009230,celecoxib,116081000,Celecoxib (substance),0.0,"[363549008, 373265006]","['Sulfone (substance)', 'Analgesic (substance)']",Sulfone (substance)
702,NCT00009672,nortriptyline,372652004,Nortriptyline (substance),0.0039,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
704,NCT00009672,tricyclic antidepressants,373253007,Tricyclic antidepressant (substance),3.0197,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
705,NCT00010335,anti-thymocyte globulin,768651008,Antithymocyte immunoglobulin (substance),8.7416,"[68498002, 372823004]","['Antibody (substance)', 'Immunosuppressant (substance)']",Antibody (substance)
721,NCT00013182,benzodiazepines,372664007,Benzodiazepine (substance),5.7928,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
739,NCT00014755,anti-thymocyte globulin,768651008,Antithymocyte immunoglobulin (substance),8.7416,"[68498002, 372823004]","['Antibody (substance)', 'Immunosuppressant (substance)']",Antibody (substance)
741,NCT00014755,filgrastim,386948008,Filgrastim (substance),0.0,"[372559001, 407073003]","['Colony stimulating factor (substance)', 'Recombinant protein (substance)']",Colony stimulating factor (substance)
752,NCT00015067,mpd,66322002,Dextran 40 (substance),12.9362,"[373545003, 226355009, 33463005]","['Replacement agent (substance)', 'Nutrients (substance)', 'Liquid substance (substance)']",Replacement agent (substance)
758,NCT00015132,donepezil,386855006,Donepezil (substance),0.0,"[123682001, 59431004]","['Piperidine (substance)', 'Ketone (substance)']",Piperidine (substance)
761,NCT00015171,bup,387564004,Bupropion (substance),8.8921,"[372720008, 80322001, 59431004]","['Antidepressant (substance)', 'Synthetic alkaloid (substance)', 'Ketone (substance)']",Antidepressant (substance)
804,NCT00018200,desipramine,372705002,Desipramine (substance),0.0052,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
819,NCT00018733,desipramine,372705002,Desipramine (substance),0.0052,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
820,NCT00018733,paroxetine,372595009,Paroxetine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
821,NCT00018759,paroxetine,372595009,Paroxetine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
844,NCT00025740,"1,2-benzodiazepine",372664007,Benzodiazepine (substance),6.4969,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
845,NCT00025740,clonazepam,387383007,Clonazepam (substance),0.0046,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
846,NCT00025740,paroxetine,372595009,Paroxetine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
875,NCT00027066,warfarin,372756006,Warfarin (substance),0.0,"[372862008, 255640000]","['Anticoagulant (substance)', 'Biocide (substance)']",Anticoagulant (substance)
877,NCT00027300,natalizumab,414805007,Natalizumab (substance),0.0,"[68498002, 372823004]","['Antibody (substance)', 'Immunosuppressant (substance)']",Antibody (substance)
887,NCT00029458,lorazepam,387106007,Lorazepam (substance),0.002,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
888,NCT00029497,amitriptyline,372726002,Amitriptyline (substance),0.0024,"[372720008, 767261009]","['Antidepressant (substance)', 'Tricyclic compound (substance)']",Antidepressant (substance)
892,NCT00029536,progesterone,16683002,Progesterone (substance),0.0,"[312263009, 126090008]","['Sex hormone (substance)', 'Pregnane (substance)']",Sex hormone (substance)
895,NCT00030147,estradiol,126172005,Estradiol (substance),0.0,"[304276009, 312263009]","['Estradiol and/or estradiol derivative (substance)', 'Sex hormone (substance)']",Estradiol and/or estradiol derivative (substance)
900,NCT00030147,progesterone,16683002,Progesterone (substance),0.0,"[312263009, 126090008]","['Sex hormone (substance)', 'Pregnane (substance)']",Sex hormone (substance)
907,NCT00030966,natalizumab,414805007,Natalizumab (substance),0.0,"[68498002, 372823004]","['Antibody (substance)', 'Immunosuppressant (substance)']",Antibody (substance)
908,NCT00030979,donepezil,386855006,Donepezil (substance),0.0,"[123682001, 59431004]","['Piperidine (substance)', 'Ketone (substance)']",Piperidine (substance)
913,NCT00031317,"1,2-benzodiazepine",372664007,Benzodiazepine (substance),6.4969,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
914,NCT00031317,clonazepam,387383007,Clonazepam (substance),0.0046,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
915,NCT00031317,paroxetine,372595009,Paroxetine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
926,NCT00032734,satavaptan,443058000,Tolvaptan (substance),11.4688,"[372695000, 413639003]","['Diuretic (substance)', 'Benzazepine (substance)']",Diuretic (substance)
953,NCT00033891,infliximab,386891004,Infliximab (substance),0.0,"[68498002, 372823004]","['Antibody (substance)', 'Immunosuppressant (substance)']",Antibody (substance)
960,NCT00034697,temozolomide,387009002,Temozolomide (substance),0.0,"[373244000, 860774001]","['Immunologic agent (substance)', 'Triazene (substance)']",Immunologic agent (substance)
965,NCT00034788,becaplermin,386940001,Becaplermin (substance),0.0,"[44719008, 417176000, 407073003]","['Mediator of immune response (substance)', 'Growth substance (substance)', 'Recombinant protein (substance)']",Mediator of immune response (substance)
966,NCT00034788,regranexa,387023000,Bexarotene (substance),13.5261,"[415710007, 226376004]","['Terpene (substance)', 'Benzoate (substance)']",Terpene (substance)
978,NCT00035204,donepezil,386855006,Donepezil (substance),0.0,"[123682001, 59431004]","['Piperidine (substance)', 'Ketone (substance)']",Piperidine (substance)
985,NCT00035958,etanercept,387045004,Etanercept (substance),0.0014,"[373244000, 407073003]","['Immunologic agent (substance)', 'Recombinant protein (substance)']",Immunologic agent (substance)
994,NCT00036309,duloxetine,407032004,Duloxetine (substance),0.0034,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
995,NCT00036335,duloxetine,407032004,Duloxetine (substance),0.0034,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
996,NCT00036335,duloxetine hydrochloride,426892003,Duloxetine hydrochloride (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
1008,NCT00037115,avonex®,783678000,Andexanet alfa (substance),13.2702,"[420220000, 407073003]","['Blood derivative (substance)', 'Recombinant protein (substance)']",Blood derivative (substance)
1020,NCT00038389,rofecoxib,387008005,Rofecoxib (substance),0.0065,"[373265006, 363549008]","['Analgesic (substance)', 'Sulfone (substance)']",Analgesic (substance)
1022,NCT00038441,dti-015,387441003,Dacarbazine (substance),13.2633,"[373244000, 860774001]","['Immunologic agent (substance)', 'Triazene (substance)']",Immunologic agent (substance)
1023,NCT00038896,venlafaxine,372490001,Venlafaxine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
1033,NCT00040040,bupropion,387564004,Bupropion (substance),0.0063,"[372720008, 80322001, 59431004]","['Antidepressant (substance)', 'Synthetic alkaloid (substance)', 'Ketone (substance)']",Antidepressant (substance)
1039,NCT00040209,dopamine,412383006,Dopamine (substance),0.0052,"[35069000, 34582008]","['Neurotransmitter (substance)', 'Catecholamine (substance)']",Neurotransmitter (substance)
1056,NCT00041938,warfarin,372756006,Warfarin (substance),0.0,"[372862008, 255640000]","['Anticoagulant (substance)', 'Biocide (substance)']",Anticoagulant (substance)
1059,NCT00042172,donepezil,386855006,Donepezil (substance),0.0,"[123682001, 59431004]","['Piperidine (substance)', 'Ketone (substance)']",Piperidine (substance)
1064,NCT00042380,genistin,713310002,Glycine max isoflavone (substance),12.0492,"[59431004, 256355007]","['Ketone (substance)', 'Glycine max (substance)']",Ketone (substance)
1065,NCT00042380,soy isoflavone,713310002,Glycine max isoflavone (substance),1.9142,"[59431004, 256355007]","['Ketone (substance)', 'Glycine max (substance)']",Ketone (substance)
1066,NCT00042380,soy isoflavones,713310002,Glycine max isoflavone (substance),5.1198,"[59431004, 256355007]","['Ketone (substance)', 'Glycine max (substance)']",Ketone (substance)
1070,NCT00043550,venlafaxine,372490001,Venlafaxine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
1071,NCT00043589,donepezil,386855006,Donepezil (substance),0.0,"[123682001, 59431004]","['Piperidine (substance)', 'Ketone (substance)']",Piperidine (substance)
1103,NCT00044642,lorazepam,387106007,Lorazepam (substance),0.002,"[372585002, 373282008, 413639003, 372614000]","['Hypnotic agent (substance)', 'Anxiolytic agent (substance)', 'Benzazepine (substance)', 'Sedative (substance)']",Hypnotic agent (substance)
1108,NCT00044772,paroxetine,372595009,Paroxetine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
1109,NCT00044772,venlafaxine,372490001,Venlafaxine (substance),0.0,"[372720008, 373282008]","['Antidepressant (substance)', 'Anxiolytic agent (substance)']",Antidepressant (substance)
1135,NCT00048646,progesterone,16683002,Progesterone (substance),0.0,"[312263009, 126090008]","['Sex hormone (substance)', 'Pregnane (substance)']",Sex hormone (substance)
1140,NCT00049803,sodium oxybate,410917003,Sodium oxybate (substance),0.0,"[259470008, 372614000]","['4-hydroxybutyrate (substance)', 'Sedative (substance)']",4-hydroxybutyrate (substance)
1145,NCT00050245,rituximab,386919002,Rituximab (substance),0.0,"[68498002, 372823004]","['Antibody (substance)', 'Immunosuppressant (substance)']",Antibody (substance)
1147,NCT00050778,alemtuzumab,129472003,Alemtuzumab (substance),0.0094,"[68498002, 372823004]","['Antibody (substance)', 'Immunosuppressant (substance)']",Antibody (substance)
1152,NCT00050934,trileptal,363569003,Almotriptan (substance),12.7911,"[363549008, 373265006]","['Sulfone (substance)', 'Analgesic (substance)']",Sulfone (substance)
1154,NCT00050947,trileptal,363569003,Almotriptan (substance),12.7911,"[363549008, 373265006]","['Sulfone (substance)', 'Analgesic (substance)']",Sulfone (substance)
1157,NCT00051402,soy-derived,7791007,Glycine max protein (substance),5.0047,"[226355009, 256355007]","['Nutrients (substance)', 'Glycine max (substance)']",Nutrients (substance)
