,nct_id,canonical_aact_interventions,snomed_termid,aact_snomed_term_canonical_interventions,aact_cdist_interventions,Top_Concept,Top_Concept_Canonical,Top_Concept_Canonical_First
112,NCT00000290,cocaine,387085005,Cocaine (substance),0.0059,"[373477003, 418183005, 439718001]","['Local anesthetic (substance)', 'Psychotropic agent (substance)', 'Aza compound (substance)']",Local anesthetic (substance)
114,NCT00000293,nefazodone,372491002,Nefazodone (substance),0.0,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
116,NCT00000295,micronized progesterone,769098005,Medrogestone (substance),10.3547,"[304275008, 419430000]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Synthetic progestogen (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
128,NCT00000311,methadone,387286002,Methadone (substance),0.0,"[373265006, 59431004]","['Analgesic (substance)', 'Ketone (substance)']",Analgesic (substance)
133,NCT00000315,cocaine,387085005,Cocaine (substance),0.0059,"[373477003, 418183005, 439718001]","['Local anesthetic (substance)', 'Psychotropic agent (substance)', 'Aza compound (substance)']",Local anesthetic (substance)
134,NCT00000316,cocaine,387085005,Cocaine (substance),0.0059,"[373477003, 418183005, 439718001]","['Local anesthetic (substance)', 'Psychotropic agent (substance)', 'Aza compound (substance)']",Local anesthetic (substance)
147,NCT00000340,pemoline,387393000,Pemoline (substance),0.0,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
160,NCT00000361,methotrexate,387381009,Methotrexate (substance),0.0,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
200,NCT00000514,chlorthalidone,387324004,Chlortalidone (substance),0.0,"[372695000, 31414002]","['Diuretic (substance)', 'Amide (substance)']",Diuretic (substance)
207,NCT00000599,colestipol,372811005,Colestipol (substance),0.0,"[373267003, 372892004]","['Antilipemic agent (substance)', 'Antidote (substance)']",Antilipemic agent (substance)
211,NCT00000613,genistein,713310002,Glycine max isoflavone (substance),9.5718,"[59431004, 256355007]","['Ketone (substance)', 'Glycine max (substance)']",Ketone (substance)
217,NCT00000643,leucovorin calcium,126223008,Calcium folinate (substance),4.291,"[226355009, 372892004]","['Nutrients (substance)', 'Antidote (substance)']",Nutrients (substance)
225,NCT00000674,leucovorin calcium,126223008,Calcium folinate (substance),4.291,"[226355009, 372892004]","['Nutrients (substance)', 'Antidote (substance)']",Nutrients (substance)
235,NCT00000776,dexamethasone,372584003,Dexamethasone (substance),0.0,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
242,NCT00000794,leucovorin calcium,126223008,Calcium folinate (substance),4.291,"[226355009, 372892004]","['Nutrients (substance)', 'Antidote (substance)']",Nutrients (substance)
249,NCT00000945,probenecid,387365004,Probenecid (substance),0.0053,"[31414002, 372695000]","['Amide (substance)', 'Diuretic (substance)']",Amide (substance)
253,NCT00000966,leucovorin calcium,126223008,Calcium folinate (substance),4.291,"[226355009, 372892004]","['Nutrients (substance)', 'Antidote (substance)']",Nutrients (substance)
255,NCT00000973,leucovorin calcium,126223008,Calcium folinate (substance),4.291,"[226355009, 372892004]","['Nutrients (substance)', 'Antidote (substance)']",Nutrients (substance)
259,NCT00001048,filgrastim,386948008,Filgrastim (substance),0.0065,"[80572003, 407073003]","['Colony-stimulating factor, granulocytic (substance)', 'Recombinant protein (substance)']","Colony-stimulating factor, granulocytic (substance)"
261,NCT00001048,cytarabine,387511003,Cytarabine (substance),0.0048,"[372688009, 373244000]","['Antineoplastic agent (substance)', 'Immunologic agent (substance)']",Antineoplastic agent (substance)
265,NCT00001146,ethyl eicosapentaenoic acid,226367006,Eicosapentaenoic acid (substance),7.4041,"[226355009, 21847005, 871563004]","['Nutrients (substance)', 'Oil (substance)', 'Essential fatty acid (substance)']",Nutrients (substance)
280,NCT00001483,buproprion (wellbutrin),387564004,Bupropion (substance),9.7749,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
300,NCT00001785,recombinant human interferon beta-1a,386902004,Interferon beta-1a (substance),3.9928,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
302,NCT00001864,atropine,372832002,Atropine (substance),0.0077,"[372892004, 439718001]","['Antidote (substance)', 'Aza compound (substance)']",Antidote (substance)
308,NCT00001934,zenapax,386977009,Daclizumab (substance),13.0545,"[106181007, 372823004]","['Immunologic substance (substance)', 'Immunosuppressant (substance)']",Immunologic substance (substance)
333,NCT00002270,interferon alfa-2b,386915008,Interferon alfa-2b (substance),0.0,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
345,NCT00002594,cyclophosphamide,387420009,Cyclophosphamide (substance),0.0044,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
346,NCT00002594,sargramostim,108967001,Sargramostim (substance),0.0034,"[407073003, 53681007]","['Recombinant protein (substance)', 'Colony-stimulating factor, granulocyte-macrophage (substance)']",Recombinant protein (substance)
347,NCT00002594,melphalan,387297002,Melphalan (substance),0.0,"[373244000, 372688009, 372823004]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Immunologic agent (substance)
348,NCT00002875,cyclophosphamide,387420009,Cyclophosphamide (substance),0.0044,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
349,NCT00002875,lomustine,387227009,Lomustine (substance),0.0055,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
351,NCT00002875,filgrastim,386948008,Filgrastim (substance),0.0065,"[80572003, 407073003]","['Colony-stimulating factor, granulocytic (substance)', 'Recombinant protein (substance)']","Colony-stimulating factor, granulocytic (substance)"
354,NCT00002944,tioguanine,387407006,Tioguanine (substance),0.0,"[372688009, 373244000]","['Antineoplastic agent (substance)', 'Immunologic agent (substance)']",Antineoplastic agent (substance)
355,NCT00002944,thioguanine,387407006,Tioguanine (substance),0.0,"[372688009, 373244000]","['Antineoplastic agent (substance)', 'Immunologic agent (substance)']",Antineoplastic agent (substance)
356,NCT00002944,lomustine,387227009,Lomustine (substance),0.0055,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
360,NCT00003141,cyclophosphamide,387420009,Cyclophosphamide (substance),0.0044,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
362,NCT00003141,filgrastim,386948008,Filgrastim (substance),0.0065,"[80572003, 407073003]","['Colony-stimulating factor, granulocytic (substance)', 'Recombinant protein (substance)']","Colony-stimulating factor, granulocytic (substance)"
363,NCT00003141,etoposide,387316009,Etoposide (substance),0.0,"[372688009, 373244000]","['Antineoplastic agent (substance)', 'Immunologic agent (substance)']",Antineoplastic agent (substance)
364,NCT00003141,thiotepa,387508004,Thiotepa (substance),0.0,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
367,NCT00003203,cyclophosphamide,387420009,Cyclophosphamide (substance),0.0044,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
369,NCT00003203,filgrastim,386948008,Filgrastim (substance),0.0065,"[80572003, 407073003]","['Colony-stimulating factor, granulocytic (substance)', 'Recombinant protein (substance)']","Colony-stimulating factor, granulocytic (substance)"
373,NCT00003514,antineoplaston a10,7774008,Neo-b-vitamin A1 (substance),13.3046,"[226355009, 413767000]","['Nutrients (substance)', 'Carotinoid (substance)']",Nutrients (substance)
375,NCT00003573,cyclophosphamide,387420009,Cyclophosphamide (substance),0.0044,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
377,NCT00003573,filgrastim,386948008,Filgrastim (substance),0.0065,"[80572003, 407073003]","['Colony-stimulating factor, granulocytic (substance)', 'Recombinant protein (substance)']","Colony-stimulating factor, granulocytic (substance)"
378,NCT00003573,etoposide,387316009,Etoposide (substance),0.0,"[372688009, 373244000]","['Antineoplastic agent (substance)', 'Immunologic agent (substance)']",Antineoplastic agent (substance)
380,NCT00003625,etoposide,387316009,Etoposide (substance),0.0,"[372688009, 373244000]","['Antineoplastic agent (substance)', 'Immunologic agent (substance)']",Antineoplastic agent (substance)
384,NCT00003935,etoposide,387316009,Etoposide (substance),0.0,"[372688009, 373244000]","['Antineoplastic agent (substance)', 'Immunologic agent (substance)']",Antineoplastic agent (substance)
401,NCT00004357,prednisolone,116601002,Prednisolone (substance),0.0014,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
406,NCT00004401,botulism immune globulin,417299009,Botulism immunoglobulin (substance),4.9314,"[106181007, 261226001]","['Immunologic substance (substance)', 'Blood component (substance)']",Immunologic substance (substance)
407,NCT00004403,phenytoin,387220006,Phenytoin (substance),0.0052,"[288841007, 300903003]","['Patch test substance (substance)', 'Azole (substance)']",Patch test substance (substance)
408,NCT00004403,dexamethasone,372584003,Dexamethasone (substance),0.0,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
419,NCT00004450,interferon beta,420710006,Interferon beta (substance),0.002,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
436,NCT00004646,prednisone,116602009,Prednisone (substance),0.0028,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
442,NCT00004686,prednisone,116602009,Prednisone (substance),0.0028,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
443,NCT00004686,methotrexate,387381009,Methotrexate (substance),0.0,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
450,NCT00004730,magnesium sulfate,387202002,Magnesium sulfate (substance),0.0,"[31539008, 372800002]","['Magnesium compound (substance)', 'Laxative (substance)']",Magnesium compound (substance)
453,NCT00004734,cyanocobalamin,419382002,Cyanocobalamin (substance),0.0,"[226355009, 300903003]","['Nutrients (substance)', 'Azole (substance)']",Nutrients (substance)
466,NCT00004771,leuprolide,397198002,Leuprorelin (substance),0.0,"[372688009, 49869009]","['Antineoplastic agent (substance)', 'Gonadotropin releasing factor (substance)']",Antineoplastic agent (substance)
469,NCT00004796,lactulose,273945008,Lactulose (substance),0.0,"[226355009, 372800002]","['Nutrients (substance)', 'Laxative (substance)']",Nutrients (substance)
472,NCT00004807,donepezil,386855006,Donepezil (substance),0.0,"[59431004, 372668005]","['Ketone (substance)', 'Parasympathomimetic agent (substance)']",Ketone (substance)
475,NCT00004816,monoclonal antibody m-t412,278181000202107,Mosunetuzumab (substance),13.0548,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
476,NCT00004817,phenytoin,387220006,Phenytoin (substance),0.0052,"[288841007, 300903003]","['Patch test substance (substance)', 'Azole (substance)']",Patch test substance (substance)
490,NCT00005812,temozolomide,387009002,Temozolomide (substance),0.0039,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
492,NCT00005850,gemcitabine hydrochloride,412187004,Gemcitabine hydrochloride (substance),0.0028,"[372688009, 373244000]","['Antineoplastic agent (substance)', 'Immunologic agent (substance)']",Antineoplastic agent (substance)
496,NCT00006024,lomustine,387227009,Lomustine (substance),0.0055,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
497,NCT00006024,temozolomide,387009002,Temozolomide (substance),0.0039,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
498,NCT00006055,cyclophosphamide,387420009,Cyclophosphamide (substance),0.0044,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
500,NCT00006055,anti-thymocyte globulin,768651008,Antithymocyte immunoglobulin (substance),8.7416,"[106181007, 372823004]","['Immunologic substance (substance)', 'Immunosuppressant (substance)']",Immunologic substance (substance)
501,NCT00006055,filgrastim,386948008,Filgrastim (substance),0.0065,"[80572003, 407073003]","['Colony-stimulating factor, granulocytic (substance)', 'Recombinant protein (substance)']","Colony-stimulating factor, granulocytic (substance)"
502,NCT00006055,prednisone,116602009,Prednisone (substance),0.0028,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
504,NCT00006072,rituximab,386919002,Rituximab (substance),0.0048,"[372688009, 106181007, 372823004]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)', 'Immunosuppressant (substance)']",Antineoplastic agent (substance)
507,NCT00006170,bupropion,387564004,Bupropion (substance),0.006,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
520,NCT00006349,donepezil hydrochloride,386856007,Donepezil hydrochloride (substance),0.0,"[59431004, 372668005]","['Ketone (substance)', 'Parasympathomimetic agent (substance)']",Ketone (substance)
523,NCT00006399,donepezil,386855006,Donepezil (substance),0.0,"[59431004, 372668005]","['Ketone (substance)', 'Parasympathomimetic agent (substance)']",Ketone (substance)
525,NCT00006448,methadone,387286002,Methadone (substance),0.0,"[373265006, 59431004]","['Analgesic (substance)', 'Ketone (substance)']",Analgesic (substance)
527,NCT00006488,recombinant-methionyl human glial cell line-derived neurotrophic factor,415247006,Recombinant human granulocyte macrophage colony stimulating factor (substance),12.4278,"[407073003, 53681007]","['Recombinant protein (substance)', 'Colony-stimulating factor, granulocyte-macrophage (substance)']",Recombinant protein (substance)
530,NCT00007189,celecoxib (celebrex),116081000,Celecoxib (substance),5.7667,"[300903003, 373265006, 31414002]","['Azole (substance)', 'Analgesic (substance)', 'Amide (substance)']",Azole (substance)
538,NCT00007774,haloperidol,386837002,Haloperidol (substance),0.0,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
546,NCT00009217,haloperidol-haloperidol,386837002,Haloperidol (substance),6.6932,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
547,NCT00009230,celecoxib,116081000,Celecoxib (substance),0.0,"[300903003, 373265006, 31414002]","['Azole (substance)', 'Analgesic (substance)', 'Amide (substance)']",Azole (substance)
564,NCT00012467,interferon gamma-1b,386901006,Interferon gamma-1b (substance),0.0,"[372688009, 106181007]","['Antineoplastic agent (substance)', 'Immunologic substance (substance)']",Antineoplastic agent (substance)
573,NCT00012558,bupropion,387564004,Bupropion (substance),0.006,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
581,NCT00013650,cyclophosphamate,387420009,Cyclophosphamide (substance),9.0079,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
590,NCT00014755,cyclophosphamide,387420009,Cyclophosphamide (substance),0.0044,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
591,NCT00014755,prednisone,116602009,Prednisone (substance),0.0028,"[304275008, 372688009, 372823004]","['Corticosteroid and/or corticosteroid derivative (substance)', 'Antineoplastic agent (substance)', 'Immunosuppressant (substance)']",Corticosteroid and/or corticosteroid derivative (substance)
592,NCT00014755,anti-thymocyte globulin,768651008,Antithymocyte immunoglobulin (substance),8.7416,"[106181007, 372823004]","['Immunologic substance (substance)', 'Immunosuppressant (substance)']",Immunologic substance (substance)
593,NCT00014755,filgrastim,386948008,Filgrastim (substance),0.0065,"[80572003, 407073003]","['Colony-stimulating factor, granulocytic (substance)', 'Recombinant protein (substance)']","Colony-stimulating factor, granulocytic (substance)"
594,NCT00014989,magnesium sulfate,387202002,Magnesium sulfate (substance),0.0,"[31539008, 372800002]","['Magnesium compound (substance)', 'Laxative (substance)']",Magnesium compound (substance)
603,NCT00015210,nefazodone,372491002,Nefazodone (substance),0.0,"[300903003, 418183005]","['Azole (substance)', 'Psychotropic agent (substance)']",Azole (substance)
619,NCT00017628,cyclophosphamide,387420009,Cyclophosphamide (substance),0.0044,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
620,NCT00017628,filgrastim,386948008,Filgrastim (substance),0.0065,"[80572003, 407073003]","['Colony-stimulating factor, granulocytic (substance)', 'Recombinant protein (substance)']","Colony-stimulating factor, granulocytic (substance)"
633,NCT00018278,donepezil,386855006,Donepezil (substance),0.0,"[59431004, 372668005]","['Ketone (substance)', 'Parasympathomimetic agent (substance)']",Ketone (substance)
643,NCT00018642,haloperidol decanoate,412196004,Haloperidol decanoate (substance),0.0,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
653,NCT00018850,haloperidol,386837002,Haloperidol (substance),0.0,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
658,NCT00019630,doxorubicin hcl liposome,428681007,Doxorubicin liposome (substance),2.716,"[414612001, 372688009]","['Liposomal agent (substance)', 'Antineoplastic agent (substance)']",Liposomal agent (substance)
661,NCT00021528,buproprionsr,387564004,Bupropion (substance),5.8088,"[59431004, 418183005]","['Ketone (substance)', 'Psychotropic agent (substance)']",Ketone (substance)
676,NCT00024531,atorvastatin calcium,108601004,Atorvastatin calcium (substance),0.0,"[373267003, 300903003]","['Antilipemic agent (substance)', 'Azole (substance)']",Antilipemic agent (substance)
691,NCT00027300,natalizumab,414805007,Natalizumab (substance),0.0,"[106181007, 372823004]","['Immunologic substance (substance)', 'Immunosuppressant (substance)']",Immunologic substance (substance)
696,NCT00027430,theraderm,421777009,Abatacept (substance),12.6384,"[372823004, 407073003]","['Immunosuppressant (substance)', 'Recombinant protein (substance)']",Immunosuppressant (substance)
697,NCT00027846,cyclophosphamide,387420009,Cyclophosphamide (substance),0.0044,"[373244000, 372688009]","['Immunologic agent (substance)', 'Antineoplastic agent (substance)']",Immunologic agent (substance)
699,NCT00027846,filgrastim,386948008,Filgrastim (substance),0.0065,"[80572003, 407073003]","['Colony-stimulating factor, granulocytic (substance)', 'Recombinant protein (substance)']","Colony-stimulating factor, granulocytic (substance)"
701,NCT00027846,etoposide,387316009,Etoposide (substance),0.0,"[372688009, 373244000]","['Antineoplastic agent (substance)', 'Immunologic agent (substance)']",Antineoplastic agent (substance)
707,NCT00029523,intrathecal cytarabine (also known as ara-c),387511003,Cytarabine (substance),9.7261,"[372688009, 373244000]","['Antineoplastic agent (substance)', 'Immunologic agent (substance)']",Antineoplastic agent (substance)
