,nct_id,linkbert_snomed_term_canonical_conditions,linkbert_top_concept_canonical_first_conditions
84,NCT00000317,Cocaine|Cocaine dependence (disorder)|Disorder caused by cocaine (disorder)|Methadone|Opioid dependence (disorder),Cocaine|Disorder caused by cocaine (disorder)|Methadone|Substance dependence (disorder)
85,NCT00000319,Opioid dependence (disorder),Substance dependence (disorder)
86,NCT00000321,Acquired immune deficiency syndrome (disorder)|Methamphetamine,Immunodeficiency disorder (disorder)|Methamphetamine
87,NCT00000322,Methamphetamine dependence (disorder),Substance dependence (disorder)
88,NCT00000324,Cocaine dependence (disorder)|Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
89,NCT00000332,Cocaine|Cocaine dependence (disorder),Cocaine|Disorder caused by cocaine (disorder)
90,NCT00000333,Cocaine,Cocaine
91,NCT00000336,Cocaine|Cocaine dependence (disorder)|Disorder caused by cocaine (disorder),Cocaine|Disorder caused by cocaine (disorder)
92,NCT00000337,"Chronic crack abusers|Inhalant dependence, continuous (disorder)",Chronic crack abusers|Substance dependence (disorder)
93,NCT00000338,"Cocaine dependence, continuous (disorder)",Disorder caused by cocaine (disorder)
94,NCT00000340,Adult attention deficit hyperactivity disorder (disorder)|Attention deficit hyperactivity disorder (disorder)|Cocaine dependence (disorder)|Stimulant dependence (disorder),Adult attention deficit hyperactivity disorder (disorder)|Disorders of attention and motor control (disorder)|Disorder caused by cocaine (disorder)|Substance dependence (disorder)
95,NCT00000342,Cocaine|Cocaine dependence (disorder)|Disorder caused by cocaine (disorder),Cocaine|Disorder caused by cocaine (disorder)
96,NCT00000346,Drug abuse (disorder)|Methamphetamine abuse (disorder)|Substance-related disorders,Substance abuse (disorder)|Substance-related disorders
97,NCT00000347,Organic mental disorder caused by amphetamine and/or amfetamine derivative (disorder)|Cocaine and|Cocaine dependence (disorder)|Disorder caused by cocaine (disorder),Organic mental disorder caused by amphetamine and/or amfetamine derivative (disorder)|Cocaine and|Disorder caused by cocaine (disorder)
98,NCT00000352,Methadone|Opioid|Opioid dependence (disorder),Methadone|Opioid|Substance dependence (disorder)
99,NCT00000353,Opioid dependence (disorder),Substance dependence (disorder)
100,NCT00000354,Opioid withdrawal syndrome (disorder),Opioid withdrawal syndrome (disorder)
101,NCT00000355,Opioid dependence (disorder),Substance dependence (disorder)
102,NCT00000356,Methadone|Methadone maintenance treatment|Opioid dependence (disorder),Methadone|Methadone maintenance treatment|Substance dependence (disorder)
103,NCT00000357,Opioid dependence (disorder),Substance dependence (disorder)
104,NCT00000358,Opioid withdrawal syndrome (disorder),Opioid withdrawal syndrome (disorder)
105,NCT00000361,Autoimmune disorder of inner ear (disorder)|Hearing loss (disorder)|Sudden sensorineural hearing loss (disorder),"Ear, nose and throat disorder (disorder)|Hearing loss (disorder)"
106,NCT00000367,Depressive disorder (disorder)|Suicidal poisoning (disorder),Depressive disorder (disorder)|Poisoning (disorder)
107,NCT00000368,Panic disorder (disorder)|Pd,Anxiety disorder (disorder)|Pd
108,NCT00000369,Bipolar I disorder (disorder)|Depressive disorder (disorder)|Mania (disorder),Bipolar disorder (disorder)|Depressive disorder (disorder)|Mood disorder of manic type (disorder)
109,NCT00000371,Hormone receptor negative neoplasm (disorder)|Schizophrenia (disorder)|Schizophrenic disorders (disorder),Neoplastic disease (disorder)|Schizophrenia (disorder)
110,NCT00000372,Hormone receptor negative neoplasm (disorder)|Schizophrenia (disorder)|Schizophrenic disorders (disorder),Neoplastic disease (disorder)|Schizophrenia (disorder)
111,NCT00000373,Obsessive-compulsive disorder (disorder)|Pervasive developmental disorder (disorder)|Gilles de la Tourette's syndrome (disorder),Obsessive-compulsive disorder (disorder)|Developmental mental disorder (disorder)|Tic disorder (disorder)
112,NCT00000374,Early onset schizophrenia (disorder),Schizophrenia (disorder)
113,NCT00000376,Anxiety disorder (disorder)|Depressive disorder (disorder)|Treatment resistant depression (disorder)|Personality disorder (disorder)|To medication,Anxiety disorder (disorder)|Depressive disorder (disorder)|Personality disorder (disorder)|To medication
114,NCT00000377,Depressive disorder (disorder)|Afterimage (disorder)|Major depressive disorder (disorder),Depressive disorder (disorder)|Visual disturbance (disorder)
115,NCT00000378,"Depressive disorder (disorder)|Late tooth eruption (disorder)|Adjustment reaction of late life (disorder)|Major depressive disorder (disorder)|Major depression, single episode (disorder)",Depressive disorder (disorder)|Disorder of upper digestive tract (disorder)|Adjustment disorder (disorder)
116,NCT00000379,Posttraumatic stress disorder (disorder),Anxiety disorder (disorder)
117,NCT00000380,Postartificial menopausal syndrome (disorder)|Replacement therapy|Dyssomnia (disorder)|Disorder of sleep-wake cycle (disorder),Perimenopausal disorder (disorder)|Replacement therapy|Sleep disorder (disorder)
118,NCT00000381,Anxiety disorder (disorder)|Depressive disorder (disorder)|Generalized anxiety disorder (disorder)|Major depressive disorder (disorder)|Obsessive-compulsive disorder (disorder)|Panic disorder (disorder),Anxiety disorder (disorder)|Depressive disorder (disorder)|Obsessive-compulsive disorder (disorder)
119,NCT00000384,Obsessive-compulsive disorder (disorder),Obsessive-compulsive disorder (disorder)
120,NCT00000385,Aggressive unsocial conduct disorder (disorder),Developmental mental disorder (disorder)
121,NCT00000388,Attention deficit hyperactivity disorder (disorder),Disorders of attention and motor control (disorder)
122,NCT00000389,Anxiety disorder (disorder)|Separation anxiety (disorder)|Generalized anxiety disorder (disorder)|Obsessive-compulsive disorder (disorder)|Social phobia (disorder),Anxiety disorder (disorder)|Obsessive-compulsive disorder (disorder)
123,NCT00000390,Acquired immune deficiency syndrome (disorder)|Depressive disorder (disorder)|Human immunodeficiency virus infection (disorder),Immunodeficiency disorder (disorder)|Depressive disorder (disorder)|Infectious disease (disorder)
124,NCT00000392,Cognitive disorder (disorder)|Human immunodeficiency virus infection (disorder)|Neurocognitive disorder (disorder)|Hormone receptor positive tumor (disorder),Cognitive disorder (disorder)|Infectious disease (disorder)|Neoplastic disease (disorder)
125,NCT00000393,Acquired immune deficiency syndrome (disorder)|Cognitive disorder (disorder)|Disease (disorder)|Disorder of the central nervous system (disorder)|Human immunodeficiency virus infection (disorder)|Minimally conscious state minus (disorder)|Moderate bodily distress disorder (disorder),Immunodeficiency disorder (disorder)|Cognitive disorder (disorder)|Disease (disorder)|Disorder of the central nervous system (disorder)|Infectious disease (disorder)|Minimally conscious state (disorder)|Bodily distress disorder (disorder)
126,NCT00000428,Fibromyalgia (disorder),Fibromyalgia (disorder)
127,NCT00000439,Alcohol dependence (disorder)|Mood disorder with manic symptoms caused by ethanol (disorder)|Bipolar disorder (disorder)|Superimposed infection (disorder),Disorder caused by alcohol (disorder)|Bipolar disorder (disorder)|Infectious disease (disorder)
128,NCT00000446,Alcohol|Alcoholism (disorder)|Group delinquency (disorder)|Posttraumatic stress disorder (disorder),Alcohol|Disorder caused by alcohol (disorder)|Developmental mental disorder (disorder)|Anxiety disorder (disorder)
129,NCT00000448,Alcoholic|Alcoholism (disorder)|Depressive disorder (disorder)|Eating disorder (disorder),Alcoholic|Disorder caused by alcohol (disorder)|Depressive disorder (disorder)|Behavioral syndrome associated with physiological disturbance and physical factors (disorder)
130,NCT00000458,Alcoholism (disorder)|Depressive disorder (disorder),Disorder caused by alcohol (disorder)|Depressive disorder (disorder)
131,NCT00000469,Asymptomatic stenosis of intracranial carotid artery (disorder)|Atherosclerosis of artery (disorder),Disorder of blood vessel (disorder)
132,NCT00000479,Malignant neoplastic disease (disorder)|Disorder of cardiovascular system (disorder),Neoplastic disease (disorder)|Disorder of cardiovascular system (disorder)
133,NCT00000514,Systolic essential hypertension (disorder)|Cerebrovascular accident (disorder),"Hypertensive disorder, systemic arterial (disorder)|Cerebrovascular accident (disorder)"
134,NCT00000517,Atrial fibrillation (disorder)|Embolic stroke (disorder)|Rheumatic heart disease (disorder)|Embolism (disorder),Heart disease (disorder)|Cerebrovascular accident (disorder)|Rheumatic heart disease (disorder)|Disorder of blood vessel (disorder)
135,NCT00000527,Dissection of extracranial carotid artery (disorder)|Recurrent angina following placement of coronary artery stent (disorder),Disorder of blood vessel (disorder)|Heart disease (disorder)
136,NCT00000599,Atherosclerosis of artery (disorder)|Complication of bypass graft (disorder)|Atherosclerosis of coronary artery (disorder),Disorder of blood vessel (disorder)|Perioperative complication (disorder)|Heart disease (disorder)
137,NCT00000600,Fibromuscular dysplasia of wall of carotid artery (disorder)|Atherosclerosis of artery (disorder),Disorder of blood vessel (disorder)
138,NCT00000613,Heart disease (disorder)|Postmenopausal osteoporosis (disorder),Heart disease (disorder)|Disorder of skeletal system (disorder)
139,NCT00000639,Cryptococcal meningitis (disorder)|Acquired immune deficiency syndrome (disorder)|Cryptococcosis (disorder)|Human immunodeficiency virus infection (disorder)|Meningitis (disorder),Infectious disease (disorder)|Immunodeficiency disorder (disorder)|Meningitis (disorder)
140,NCT00000643,Acquired immune deficiency syndrome (disorder)|Human immunodeficiency virus infection (disorder)|Toxoplasma encephalitis (disorder),Immunodeficiency disorder (disorder)|Infectious disease (disorder)
141,NCT00000648,Human immunodeficiency virus infection (disorder)|Neurosyphilis (disorder)|Syphilis (disorder),Infectious disease (disorder)
142,NCT00000657,Acquired immune deficiency syndrome (disorder)|Dementia with acquired immunodeficiency syndrome (disorder)|Human immunodeficiency virus infection (disorder)|Degenerative disorder (disorder),Immunodeficiency disorder (disorder)|Infectious disease (disorder)|Degenerative disorder (disorder)
143,NCT00000666,Acquired immune deficiency syndrome (disorder)|Human immunodeficiency virus infection (disorder)|Toxoplasmosis (disorder)|Toxoplasma encephalitis (disorder),Immunodeficiency disorder (disorder)|Infectious disease (disorder)
144,NCT00000674,Acute encephalitis (disorder)|Toxoplasma encephalitis (disorder)|Acquired immune deficiency syndrome (disorder)|Encephalitis (disorder),Acute nervous system disorder (disorder)|Infectious disease (disorder)|Immunodeficiency disorder (disorder)|Encephalitis (disorder)
145,NCT00000677,Cryptococcal meningitis (disorder)|Cryptococcosis (disorder)|Human immunodeficiency virus infection (disorder),Infectious disease (disorder)
146,NCT00000702,Dementia with acquired immunodeficiency syndrome (disorder)|Human immunodeficiency virus encephalopathy (disorder)|Human immunodeficiency virus infection (disorder),Immunodeficiency disorder (disorder)|Infectious disease (disorder)
147,NCT00000708,Cryptococcal meningitis (disorder)|Acquired immune deficiency syndrome (disorder),Infectious disease (disorder)|Immunodeficiency disorder (disorder)
148,NCT00000709,Acquired immune deficiency syndrome (disorder)|Dementia with acquired immunodeficiency syndrome (disorder)|Dementia (disorder)|Human immunodeficiency virus infection (disorder)|CD4 T lymphocyte deficiency (disorder),Immunodeficiency disorder (disorder)|Dementia (disorder)|Infectious disease (disorder)|Disorder of cellular component of blood (disorder)
149,NCT00000738,Dementia with acquired immunodeficiency syndrome (disorder)|Human immunodeficiency virus infection (disorder)|Human immunodeficiency virus I infection (disorder)|Disorder of the peripheral nervous system (disorder),Immunodeficiency disorder (disorder)|Infectious disease (disorder)|Disorder of the peripheral nervous system (disorder)
150,NCT00000776,Acquired immune deficiency syndrome (disorder)|Benign intracranial hypertension (disorder)|Meningitis (disorder)|Cryptococcal meningitis (disorder),Immunodeficiency disorder (disorder)|Benign intracranial hypertension (disorder)|Meningitis (disorder)|Infectious disease (disorder)
151,NCT00000793,Human immunodeficiency virus infection (disorder)|Pain|Neuropathy caused by human immunodeficiency virus (disorder)|Neurological pain disorder (disorder)|Peripheral nerve disease (disorder),Infectious disease (disorder)|Pain|Neurological pain disorder (disorder)|Peripheral nerve disease (disorder)
152,NCT00000794,Toxoplasma encephalitis (disorder)|Acquired immune deficiency syndrome (disorder)|Toxoplasmosis (disorder),Infectious disease (disorder)|Immunodeficiency disorder (disorder)
153,NCT00000817,Human immunodeficiency virus infection (disorder)|Pain|Disorder of the peripheral nervous system (disorder),Infectious disease (disorder)|Pain|Disorder of the peripheral nervous system (disorder)
154,NCT00000842,Human immunodeficiency virus infection (disorder)|Autoimmune sensory disorder of nerve (disorder)|Peripheral sensory neuropathy (disorder),Infectious disease (disorder)|Autoimmune disease (disorder)|Sensory neuropathy (disorder)
155,NCT00000867,Dementia with acquired immunodeficiency syndrome (disorder)|Therapy,Immunodeficiency disorder (disorder)|Therapy
156,NCT00000945,Acquired immune deficiency syndrome (disorder)|Human immunodeficiency virus infection (disorder)|Progressive multifocal leukoencephalopathy (disorder),Immunodeficiency disorder (disorder)|Infectious disease (disorder)|White matter disease (disorder)
157,NCT00000966,Acquired immune deficiency syndrome (disorder)|Encephalitis (disorder)|Toxoplasmosis (disorder)|Toxoplasma encephalitis (disorder),Immunodeficiency disorder (disorder)|Encephalitis (disorder)|Infectious disease (disorder)
158,NCT00000973,Acquired immune deficiency syndrome (disorder)|Encephalitis (disorder)|Human immunodeficiency virus infection (disorder)|Toxoplasmosis (disorder)|Toxoplasma encephalitis (disorder),Immunodeficiency disorder (disorder)|Encephalitis (disorder)|Infectious disease (disorder)
159,NCT00001017,Acquired immune deficiency syndrome (disorder)|Acute myoendocarditis (disorder)|Cryptococcosis (disorder)|Cryptococcal meningitis (disorder),Immunodeficiency disorder (disorder)|Heart disease (disorder)|Infectious disease (disorder)
160,NCT00001048,Infectious disease (disorder)|Human immunodeficiency virus infection (disorder)|Progressive multifocal leukoencephalopathy (disorder),Infectious disease (disorder)|White matter disease (disorder)
161,NCT00001146,Bipolar disorder (disorder)|Depressive disorder (disorder)|Major depressive disorder (disorder)|Mood disorder (disorder),Bipolar disorder (disorder)|Depressive disorder (disorder)|Mood disorder (disorder)
162,NCT00001234,2|Fabry's disease (disorder)|Glucosylceramide beta-glucosidase deficiency (disorder)|Gaucher's or,2|Hereditary metabolic disease (disorder)|Gaucher's or
163,NCT00001251,"Leukemia, disease (disorder)|Malignant lymphoma (disorder)|Refractory malignant neoplastic disease (disorder)|Metastatic malignant neoplasm of meninges (disorder)|Therapy",Neoplastic disease (disorder)|Therapy
164,NCT00001261,"Chronic mountain sickness (disorder)|Dermatomyositis (disorder)|Dm|Inclusion body myositis (disorder)|Myositis (disorder)|Pm|Pm,|Polymyositis (disorder)","Effects of high altitude (disorder)|Inflammation of skin and/or subcutaneous tissue (disorder)|Dm|Disorder of skeletal muscle (disorder)|Pm|Pm,"
165,NCT00001262,Menkes kinky-hair syndrome (disorder),Congenital malformation (disorder)
166,NCT00001287,Chronic inflammatory demyelinating polyradiculoneuropathy (disorder),Peripheral nerve disease (disorder)
167,NCT00001328,Neoplasm of brain (disorder)|Herpes simplex (disorder)|Malignant neoplasm of brain (disorder)|Neoplastic disease (disorder),Neoplastic disease (disorder)|Infectious disease (disorder)
168,NCT00001333,Metastatic malignant neoplasm of meninges (disorder),Neoplastic disease (disorder)
169,NCT00001344,Neuropathy due to diabetes mellitus (disorder)|Cranial neuralgia (disorder)|Neurological pain disorder (disorder)|Pain|Distal symmetrical polyneuropathy (disorder)|Postherpetic neuralgia (disorder),Disorder of nervous system due to diabetes mellitus (disorder)|Cranial neuralgia (disorder)|Neurological pain disorder (disorder)|Pain|Peripheral nerve disease (disorder)|Postinfectious neuralgia (disorder)
170,NCT00001365,Degenerative brain disorder (disorder)|Parkinson's disease (disorder),Degenerative brain disorder (disorder)|Parkinsonism (disorder)
171,NCT00001410,Glucosylceramide beta-glucosidase deficiency (disorder)|Chronic non-neuropathic Gaucher's disease (disorder)|Type 3,Hereditary metabolic disease (disorder)|Type 3
172,NCT00001416,Osteolysis (disorder)|Glucosylceramide beta-glucosidase deficiency (disorder)|I|Chronic non-neuropathic Gaucher's disease (disorder)|Type 1 hypersensitivity response (disorder),Disorder of skeletal system (disorder)|Hereditary metabolic disease (disorder)|I|Hypersensitivity reaction (disorder)
173,NCT00001421,Dermatomyositis (disorder)|Inflammatory disorder (disorder)|Myositis (disorder)|Polymyositis (disorder),Inflammation of skin and/or subcutaneous tissue (disorder)|Inflammatory disorder (disorder)|Disorder of skeletal muscle (disorder)
174,NCT00001482,Mood disorder (disorder)|Treatment resistant depression (disorder),Mood disorder (disorder)|Depressive disorder (disorder)
175,NCT00001483,Bipolar disorder (disorder)|Idiopathic paroxysmal sialorrhea (disorder)|Depressive disorder (disorder)|Mania (disorder)|Major depressive disorder (disorder),Bipolar disorder (disorder)|Disorder of upper digestive tract (disorder)|Depressive disorder (disorder)|Mood disorder of manic type (disorder)
176,NCT00001487,Prolonged pregnancy (disorder)|Premenstrual tension syndrome (disorder)|Mood disorder (disorder),Disorder of pregnancy (disorder)|Premenstrual tension syndrome (disorder)|Mood disorder (disorder)
177,NCT00001502,Neoplasm of brain (disorder)|Neoplasm of central nervous system (disorder)|Refractory malignant neoplastic disease (disorder),Neoplastic disease (disorder)
178,NCT00001520,General paresis - neurosyphilis (disorder),Chronic mental disorder (disorder)
179,NCT00001550,Stiff person spectrum disorder (disorder)|Laxity of ligament (disorder),Spinal cord disorder (disorder)|Disorder of connective tissue (disorder)
180,NCT00001565,Refractory malignant neoplastic disease (disorder)|Neoplastic disease (disorder),Neoplastic disease (disorder)
181,NCT00001656,Psychotic disorder (disorder)|Schizophrenia (disorder),Psychotic disorder (disorder)|Schizophrenia (disorder)
