,nct_id,aact_snomed_term_canonical_interventions,aact_top_concept_canonical_first_interventions
94,NCT00000314,M-chlorophenylpiperazine (substance),Psychotropic agent (substance)
95,NCT00000315,Cocaine (substance),Local anesthetic (substance)
96,NCT00000316,Cocaine (substance),Local anesthetic (substance)
97,NCT00000317,Risperidone (substance),Psychotropic agent (substance)
98,NCT00000318,Buprenorphine (substance),Analgesic (substance)
99,NCT00000319,Buprenorphine (substance),Analgesic (substance)
100,NCT00000321,Desipramine (substance),Psychotropic agent (substance)
101,NCT00000324,Tryptophan (substance),Nutrients (substance)
102,NCT00000332,Nimodipine (substance),Nimodipine (substance)
103,NCT00000333,Benzatropine (substance),Aza compound (substance)
104,NCT00000336,Selegiline (substance),Selegiline (substance)
105,NCT00000337,Selegiline (substance),Selegiline (substance)
106,NCT00000338,Lisuride (substance),Ergoline derivative (substance)
107,NCT00000339,Risperidone (substance),Psychotropic agent (substance)
108,NCT00000340,Pemoline (substance),Azole (substance)
109,NCT00000342,Risperidone (substance),Psychotropic agent (substance)
110,NCT00000347,Risperidone (substance),Psychotropic agent (substance)
111,NCT00000348,Dihydralazine (substance),Dihydralazine (substance)
112,NCT00000349,Flupentixol (substance),Psychotropic agent (substance)
113,NCT00000352,Dextromethorphan (substance),Dextromethorphan (substance)
114,NCT00000353,Buprenorphine (substance),Analgesic (substance)
115,NCT00000354,Lofexidine (substance),Azole (substance)
116,NCT00000355,Buprenorphine (substance),Analgesic (substance)
117,NCT00000356,Levomethadyl acetate hydrochloride (substance),Analgesic (substance)
118,NCT00000357,Buprenorphine (substance),Analgesic (substance)
119,NCT00000358,Lofexidine (substance),Azole (substance)
120,NCT00000361,Corticosteroid series (substance)|Methotrexate (substance),Patch test substance (substance)|Immunologic agent (substance)
121,NCT00000367,Depression requiring intervention (disorder)|Suicidal poisoning (disorder),Depression requiring intervention (disorder)|Poisoning (disorder)
122,NCT00000368,Paroxetine mesilate (substance),Psychotropic agent (substance)
123,NCT00000369,Lithium carbonate (substance),Psychotropic agent (substance)
124,NCT00000371,Cycloserine (substance),Antituberculosis agent (substance)
125,NCT00000372,Clozapine (substance)|Cycloserine (substance)|Glycine (substance),Psychotropic agent (substance)|Antituberculosis agent (substance)|Nutrients (substance)
126,NCT00000373,Olanzapine embonate (substance),Psychotropic agent (substance)
127,NCT00000374,Risperidone (substance)|Olanzapine (substance),Psychotropic agent (substance)
128,NCT00000376,Desipramine (substance),Psychotropic agent (substance)
129,NCT00000377,Nortriptyline (substance),Psychotropic agent (substance)
130,NCT00000378,Sertraline (substance)|Nortriptyline (substance),Psychotropic agent (substance)
131,NCT00000379,Fluoxetine (substance),Psychotropic agent (substance)
132,NCT00000380,Somatotropin releasing factor (substance),Somatotropin releasing factor (substance)
133,NCT00000381,Fluoxetine (substance),Psychotropic agent (substance)
134,NCT00000384,Sertraline (substance),Psychotropic agent (substance)
135,NCT00000385,Lithium (substance),Psychotropic agent (substance)
136,NCT00000388,Psychotropic agent (substance),Psychotropic agent (substance)
137,NCT00000389,Fluvoxamine (substance),Psychotropic agent (substance)
138,NCT00000390,Imipramine hydrochloride (substance),Psychotropic agent (substance)
139,NCT00000392,Tetradecapeptide (substance),Tetradecapeptide (substance)
140,NCT00000393,Tetradecapeptide (substance),Tetradecapeptide (substance)
141,NCT00000428,Amitriptyline (substance),Psychotropic agent (substance)
142,NCT00000439,Sodium valproate (substance),Psychotropic agent (substance)
143,NCT00000446,Sertraline (substance),Psychotropic agent (substance)
144,NCT00000448,Naltrexone (substance),Antidote (substance)
145,NCT00000458,Sertraline (substance),Psychotropic agent (substance)
146,NCT00000469,Lovastatin (substance)|Aspirin (substance),Antilipemic agent (substance)|Analgesic (substance)
147,NCT00000479,Vitamin E and/or vitamin E derivative (substance)|Aspirin (substance),Nutrients (substance)|Analgesic (substance)
148,NCT00000514,Atenolol (substance)|Reserpine (substance)|Chlortalidone (substance),Atenolol (substance)|Reserpine (substance)|Diuretic (substance)
149,NCT00000517,Warfarin (substance),Anticoagulant (substance)
150,NCT00000527,Dipyridamole (substance)|Aspirin (substance),Dipyridamole (substance)|Analgesic (substance)
151,NCT00000599,Nicotinic acid (substance)|Substance (substance)|Colestipol (substance),Nutrients (substance)|Substance (substance)|Antilipemic agent (substance)
152,NCT00000600,Vitamin E and/or vitamin E derivative (substance)|Ascorbic acid (substance),Nutrients (substance)
153,NCT00000613,Glycine max isoflavone (substance),Ketone (substance)
154,NCT00000639,Amphotericin B (substance)|Fluconazole (substance)|Itraconazole (substance)|Flucytosine (substance),Amphotericin B (substance)|Azole (substance)|Flucytosine (substance)
155,NCT00000643,Pyrimethamine (substance)|Calcium folinate (substance),Pyrimethamine (substance)|Nutrients (substance)
156,NCT00000648,Ceftriaxone sodium (substance)|Benzylpenicillin potassium (substance),Amide (substance)
157,NCT00000657,Didanosine (substance)|Zidovudine (substance),Nucleoside (substance)|Zidovudine (substance)
158,NCT00000666,Pyrimethamine (substance),Pyrimethamine (substance)
159,NCT00000674,Clindamycin (substance)|Pyrimethamine (substance)|Calcium folinate (substance),Clindamycin (substance)|Pyrimethamine (substance)|Nutrients (substance)
160,NCT00000677,Terconazole (substance),Azole (substance)
161,NCT00000702,Zidovudine (substance),Zidovudine (substance)
162,NCT00000708,Amphotericin B (substance)|Fluconazole (substance)|Flucytosine (substance),Amphotericin B (substance)|Azole (substance)|Flucytosine (substance)
163,NCT00000709,Zidovudine (substance),Zidovudine (substance)
164,NCT00000738,Nimodipine (substance)|Zidovudine (substance),Nimodipine (substance)|Zidovudine (substance)
165,NCT00000776,Amphotericin B (substance)|Dexamethasone (substance)|Fluconazole (substance)|Flucytosine (substance),Amphotericin B (substance)|Corticosteroid and/or corticosteroid derivative (substance)|Azole (substance)|Flucytosine (substance)
166,NCT00000793,Amitriptyline hydrochloride (substance)|Benzatropine mesilate (substance)|Mexiletine hydrochloride (substance),Psychotropic agent (substance)|Aza compound (substance)|Mexiletine hydrochloride (substance)
167,NCT00000794,Sulfadiazine (substance)|Calcium folinate (substance)|Atovaquone (substance)|Pyrimethamine (substance)|Clarithromycin (substance),Amide (substance)|Nutrients (substance)|Ketone (substance)|Pyrimethamine (substance)|Clarithromycin (substance)
168,NCT00000817,Amitriptyline hydrochloride (substance),Psychotropic agent (substance)
169,NCT00000842,Nerve growth factor (substance),Nerve growth factor (substance)
170,NCT00000867,Memantine (substance),Memantine (substance)
171,NCT00000945,Probenecid (substance)|Cidofovir (substance),Amide (substance)|Cidofovir (substance)
172,NCT00000966,Azithromycin (substance)|Pyrimethamine (substance)|Calcium folinate (substance),Azithromycin (substance)|Pyrimethamine (substance)|Nutrients (substance)
173,NCT00000973,Pyrimethamine (substance)|Calcium folinate (substance)|Zidovudine (substance),Pyrimethamine (substance)|Nutrients (substance)|Zidovudine (substance)
174,NCT00001017,Amphotericin B (substance)|Fluconazole (substance),Amphotericin B (substance)|Azole (substance)
175,NCT00001048,Filgrastim (substance)|Zalcitabine (substance)|Cytarabine (substance)|Zidovudine (substance)|Didanosine (substance),"Colony-stimulating factor, granulocytic (substance)|Zalcitabine (substance)|Antineoplastic agent (substance)|Zidovudine (substance)|Nucleoside (substance)"
176,NCT00001146,Omega amino acid (substance)|Eicosapentaenoic acid (substance),Nutrients (substance)
177,NCT00001234,Glucosylceramidase (substance),Cerebrosidase (substance)
178,NCT00001251,4-hydroxyifosfamide (substance),4-hydroxyifosfamide (substance)
179,NCT00001261,Gamma globulin (substance),Gamma globulin (substance)
180,NCT00001262,Copper 3-phenyl salicylate (substance),Copper 3-phenyl salicylate (substance)
181,NCT00001287,Immunoglobulin (substance),Blood component (substance)
182,NCT00001328,Ganciclovir sodium (substance),Nucleoside (substance)
183,NCT00001333,Topotecan (substance),Antineoplastic agent (substance)
184,NCT00001344,Dextromethorphan (substance),Dextromethorphan (substance)
185,NCT00001365,Dextromethorphan (substance),Dextromethorphan (substance)
186,NCT00001410,Lysophospholipase (substance),Lysophospholipase (substance)
187,NCT00001416,Agalsidase alfa (substance),Recombinant protein (substance)
188,NCT00001421,Thiamazole (substance),Patch test substance (substance)
189,NCT00001482,Lamotrigine (substance)|Gabapentin (substance),Lamotrigine (substance)|Nutrients (substance)
190,NCT00001483,Bupropion (substance)|Sertraline (substance)|Venlafaxine (substance),Ketone (substance)|Psychotropic agent (substance)
191,NCT00001487,Dehydroepiandrosterone (substance),Corticosteroid and/or corticosteroid derivative (substance)
192,NCT00001502,Carboplatin (substance),Antineoplastic agent (substance)
193,NCT00001520,Neostigmine (substance),Parasympathomimetic agent (substance)
194,NCT00001550,Immunoglobulin (substance),Blood component (substance)
195,NCT00001565,Phenylbutyric acid (substance),Phenylbutyrate (substance)
196,NCT00001656,Clozapine (substance)|Olanzapine (substance),Psychotropic agent (substance)
197,NCT00001658,Amoxicillin (substance),Amide (substance)
198,NCT00001662,Malaoxon (substance),Malaoxon (substance)
199,NCT00001669,Interleukin-3 (substance),Immunologic substance (substance)
200,NCT00001723,Orlistat (substance),Orlistat (substance)
201,NCT00001725,Dextromethorphan (substance),Dextromethorphan (substance)
202,NCT00001768,Immunoglobulin (substance),Blood component (substance)
203,NCT00001777,Sertraline (substance),Psychotropic agent (substance)
204,NCT00001781,Aztreonam (substance),Amide (substance)
205,NCT00001783,Water (substance),Water (substance)
206,NCT00001784,Mexiletine (substance),Mexiletine (substance)
207,NCT00001785,Interferon beta-1a (substance),Antineoplastic agent (substance)
208,NCT00001860,Octreotide acetate (substance),Octreotide acetate (substance)
209,NCT00001864,Atropine (substance),Antidote (substance)
210,NCT00001925,Ethanol (substance),Ethanol (substance)
211,NCT00001929,Ifenprodil (substance),Ifenprodil (substance)
212,NCT00001930,Amantadine (substance),Amantadine (substance)
213,NCT00001931,Niclosamide (substance),Niclosamide (substance)
214,NCT00001933,Nefopam (substance),Analgesic (substance)
215,NCT00001934,Daclizumab (substance),Immunologic substance (substance)
216,NCT00001986,Caprylic alcohol (substance),Caprylic alcohol (substance)
217,NCT00001994,Atovaquone (substance),Ketone (substance)
218,NCT00002010,Fluconazole (substance),Azole (substance)
219,NCT00002019,Amphotericin B (substance),Amphotericin B (substance)
220,NCT00002040,Fluconazole (substance),Azole (substance)
221,NCT00002044,Zidovudine (substance),Zidovudine (substance)
222,NCT00002064,Clindamycin (substance)|Pyrimethamine (substance),Clindamycin (substance)|Pyrimethamine (substance)
223,NCT00002068,Amphotericin B (substance)|Fluconazole (substance),Amphotericin B (substance)|Azole (substance)
224,NCT00002074,Amphotericin B (substance)|Fluconazole (substance),Amphotericin B (substance)|Azole (substance)
225,NCT00002075,Amphotericin B (substance)|Fluconazole (substance)|Flucytosine (substance),Amphotericin B (substance)|Azole (substance)|Flucytosine (substance)
226,NCT00002076,Fluconazole (substance),Azole (substance)
227,NCT00002077,Fluconazole (substance),Azole (substance)
228,NCT00002083,Tetradecapeptide (substance),Tetradecapeptide (substance)
229,NCT00002113,Fluconazole (substance)|Flucytosine (substance),Azole (substance)|Flucytosine (substance)
230,NCT00002163,Abacavir sulfate (substance),Nucleoside (substance)
231,NCT00002209,Ribavirin (substance),Azole (substance)
232,NCT00002246,Stavudine (substance),Stavudine (substance)
233,NCT00002270,Interferon alfa-2b (substance)|Zidovudine (substance),Antineoplastic agent (substance)|Zidovudine (substance)
234,NCT00002274,Didanosine (substance),Nucleoside (substance)
235,NCT00002294,Fluconazole (substance),Azole (substance)
236,NCT00002305,Amphotericin B (substance)|Fluconazole (substance)|Flucytosine (substance),Amphotericin B (substance)|Azole (substance)|Flucytosine (substance)
237,NCT00002306,Fluconazole (substance),Azole (substance)
238,NCT00002316,Amphotericin B (substance)|Lobelia (substance),Amphotericin B (substance)|Lobelia (substance)
239,NCT00002395,Topotecan (substance),Antineoplastic agent (substance)
240,NCT00002520,Nicotine (substance),Parasympathomimetic agent (substance)
241,NCT00002594,Cyclophosphamide (substance)|Sargramostim (substance)|Melphalan (substance),Immunologic agent (substance)|Recombinant protein (substance)
242,NCT00002875,Cyclophosphamide (substance)|Lomustine (substance)|Vincristine sulfate (substance)|Filgrastim (substance)|Mesna (substance)|Cisplatin (substance),"Immunologic agent (substance)|Antineoplastic agent (substance)|Colony-stimulating factor, granulocytic (substance)|Antidote (substance)"
243,NCT00002944,Tioguanine (substance)|Lomustine (substance)|Vincristine sulfate (substance)|Procarbazine hydrochloride (substance)|Carboplatin (substance),Antineoplastic agent (substance)|Immunologic agent (substance)
244,NCT00003141,Cyclophosphamide (substance)|Vincristine sulfate (substance)|Filgrastim (substance)|Etoposide (substance)|Thiotepa (substance)|Cisplatin (substance)|Carboplatin (substance),"Immunologic agent (substance)|Antineoplastic agent (substance)|Colony-stimulating factor, granulocytic (substance)"
245,NCT00003203,Cyclophosphamide (substance)|Vincristine sulfate (substance)|Filgrastim (substance)|Cisplatin (substance)|Carboplatin (substance),"Immunologic agent (substance)|Antineoplastic agent (substance)|Colony-stimulating factor, granulocytic (substance)"
246,NCT00003483,Anti-glomerular basement membrane tubulointerstitial nephritis (disorder),Anti-glomerular basement membrane tubulointerstitial nephritis (disorder)
247,NCT00003514,Neo-b-vitamin A1 (substance)|Arsenic-72 (substance),Nutrients (substance)|Radioactive isotope (substance)
248,NCT00003573,Cyclophosphamide (substance)|Vincristine sulfate (substance)|Filgrastim (substance)|Etoposide (substance)|Cisplatin (substance),"Immunologic agent (substance)|Antineoplastic agent (substance)|Colony-stimulating factor, granulocytic (substance)"
249,NCT00003625,Etoposide (substance)|Vincristine sulfate (substance)|Ciclosporin (substance)|Substance (substance),Antineoplastic agent (substance)|Immunosuppressant (substance)|Substance (substance)
250,NCT00003935,Etoposide (substance)|Substance (substance)|Vincristine sulfate (substance),Antineoplastic agent (substance)|Substance (substance)
251,NCT00004268,Midodrine (substance),Midodrine (substance)
252,NCT00004286,Immunoglobulin (substance),Blood component (substance)
253,NCT00004293,Glucosylceramidase (substance),Cerebrosidase (substance)
254,NCT00004294,Velaglucerase alfa (substance),Cerebrosidase (substance)
255,NCT00004297,Diazepam (substance)|Lorazepam (substance),Psychotropic agent (substance)
256,NCT00004300,Bromocriptine (substance)|Sertraline hydrochloride (substance),Ergoline derivative (substance)|Psychotropic agent (substance)
257,NCT00004310,Clomipramine (substance),Psychotropic agent (substance)
258,NCT00004314,Succinylaminoimidazole carboxamide riboside (substance),Nutrients (substance)
259,NCT00004338,Zinc acetate (substance),Zinc and/or zinc compound (substance)
260,NCT00004339,Trientine (substance)|Tetrathiomolybdate (substance),Patch test substance (substance)|Tetrathiomolybdate (substance)
261,NCT00004357,Methylprednisolone (substance)|Prednisolone (substance),Corticosteroid and/or corticosteroid derivative (substance)
262,NCT00004373,Alprazolam (substance),Psychotropic agent (substance)
263,NCT00004376,Guanfacine (substance),Guanfacine (substance)
264,NCT00004386,Ornithine carbamoyltransferase (substance),Ornithine carbamoyltransferase (substance)
265,NCT00004393,Risperidone (substance),Psychotropic agent (substance)
266,NCT00004401,Botulism immunoglobulin (substance),Immunologic substance (substance)
267,NCT00004403,Phenytoin (substance)|Dexamethasone (substance)|Albendazole (substance),Patch test substance (substance)|Corticosteroid and/or corticosteroid derivative (substance)|Albendazole (substance)
268,NCT00004407,Immunoglobulin (substance),Blood component (substance)
269,NCT00004418,Glyceryl trierucate (substance),Glyceryl trierucate (substance)
270,NCT00004431,Baclofen (substance),Baclofen (substance)
271,NCT00004433,Pergolide (substance),Ergoline derivative (substance)
272,NCT00004442,Cholic acid (substance)|Ursodeoxycholic acid (substance)|Chenodeoxycholic acid (substance),Cholic acid (substance)|Ursodeoxycholic acid (substance)|Chenodeoxycholic acid (substance)
273,NCT00004446,Fluoxetine (substance),Psychotropic agent (substance)
274,NCT00004450,Interferon beta (substance)|Glyceryl trierucate (substance)|Thalidomide (substance)|Triolein (substance),Antineoplastic agent (substance)|Glyceryl trierucate (substance)|Thalidomide (substance)|Triolein (substance)
275,NCT00004451,Glucose (substance),Nutrients (substance)
276,NCT00004454,Genetically modified T-cell (substance),Immunologic substance (substance)
277,NCT00004478,Droxidopa (substance),Amino acid derivative (substance)
278,NCT00004479,Midodrine (substance),Midodrine (substance)
279,NCT00004480,Botulinum toxin type A (substance),Bacterial agent (substance)
280,NCT00004488,Alendronate sodium (substance)|Calcium carbonate (substance)|Colecalciferol (substance),Bisphosphonate (substance)|Calcium carbonate (substance)|Nutrients (substance)
281,NCT00004498,Recombinant adeno-associated virus gene (substance),Immunologic substance (substance)
282,NCT00004554,Naltrexone (substance)|Sertraline (substance),Antidote (substance)|Psychotropic agent (substance)
283,NCT00004576,Ceftazidime (substance),Amide (substance)
284,NCT00004637,Vitamin E and/or vitamin E derivative (substance),Nutrients (substance)
285,NCT00004646,Prednisone (substance),Corticosteroid and/or corticosteroid derivative (substance)
286,NCT00004647,Mexiletine (substance),Mexiletine (substance)
287,NCT00004652,Pimozide (substance),Psychotropic agent (substance)
288,NCT00004682,Immunoglobulin (substance),Blood component (substance)
289,NCT00004685,Salbutamol (substance),Salbutamol (substance)
290,NCT00004686,Prednisone (substance)|Methotrexate (substance),Corticosteroid and/or corticosteroid derivative (substance)|Immunologic agent (substance)
291,NCT00004727,Ticlopidine (substance)|Aspirin (substance),Ticlopidine (substance)|Analgesic (substance)
292,NCT00004728,Warfarin (substance)|Aspirin (substance),Anticoagulant (substance)|Analgesic (substance)
293,NCT00004730,Magnesium sulfate (substance),Magnesium compound (substance)
294,NCT00004731,Ubidecarenone (substance),Ketone (substance)
295,NCT00004733,Levodopa (substance),Catecholamine (substance)
296,NCT00004734,Cyanocobalamin (substance)|Pyridoxine (substance)|Folate supplement (substance),Nutrients (substance)|Replacement agent (substance)
297,NCT00004744,Immunoglobulin (substance),Blood component (substance)
298,NCT00004758,Pyridoxine (substance)|Nitrazepam (substance)|Valproic acid (substance)|Adrenocorticotropic hormone (substance)|Carbamazepine (substance),Nutrients (substance)|Psychotropic agent (substance)|Biochemical tumor marker (substance)|Carbamazepine (substance)
299,NCT00004759,Methylprednisolone (substance)|Tiropramide (substance),Corticosteroid and/or corticosteroid derivative (substance)|Amino acid derivative (substance)
300,NCT00004770,Lipoic acid (substance),Lipoic acid (substance)
301,NCT00004771,Testosterone (substance)|Leuprorelin (substance),Testosterone and/or testosterone derivative (substance)|Antineoplastic agent (substance)
302,NCT00004772,Immunoglobulin (substance),Blood component (substance)
303,NCT00004776,Topiramate (substance),Topiramate (substance)
304,NCT00004796,Lactulose (substance),Nutrients (substance)
305,NCT00004802,Diclofenamide (substance),Amide (substance)
306,NCT00004807,Topiramate (substance)|Donepezil (substance)|Dextromethorphan (substance),Topiramate (substance)|Ketone (substance)|Dextromethorphan (substance)
307,NCT00004814,Copolymer (substance),Copolymer (substance)
308,NCT00004816,Mosunetuzumab (substance),Antineoplastic agent (substance)
309,NCT00004817,Phenytoin (substance)|Sodium valproate (substance),Patch test substance (substance)|Psychotropic agent (substance)
310,NCT00004826,Clozapine (substance),Psychotropic agent (substance)
311,NCT00004833,Immunoglobulin (substance),Blood component (substance)
312,NCT00004834,Imipramine (substance),Psychotropic agent (substance)
313,NCT00004845,Naproxen (substance)|Rofecoxib (substance),Analgesic (substance)
314,NCT00004939,Amifampridine (substance),Amifampridine (substance)
315,NCT00005015,Fluoxetine (substance),Psychotropic agent (substance)
316,NCT00005571,Centrocyte marker 1 immunoglobulin G antibody (substance),Immunologic substance (substance)
317,NCT00005574,Gentamicin (substance),Gentamicin (substance)
318,NCT00005658,Glycine (substance),Nutrients (substance)
319,NCT00005674,Creatine (substance),Metabolite (substance)
320,NCT00005766,Creatinine (substance),Metabolite (substance)
321,NCT00005812,Temozolomide (substance),Immunologic agent (substance)
322,NCT00005850,Cisplatin (substance)|Gemcitabine hydrochloride (substance)|Fluoxetine (substance),Antineoplastic agent (substance)|Psychotropic agent (substance)
323,NCT00005903,Depreotide (substance),Depreotide (substance)
324,NCT00005925,Muscimol (substance),Muscimol (substance)
325,NCT00006024,Lomustine (substance)|Temozolomide (substance),Immunologic agent (substance)
326,NCT00006055,Cyclophosphamide (substance)|Ciclosporin (substance)|Antithymocyte immunoglobulin (substance)|Filgrastim (substance)|Prednisone (substance)|Methylprednisolone (substance),"Immunologic agent (substance)|Immunosuppressant (substance)|Immunologic substance (substance)|Colony-stimulating factor, granulocytic (substance)|Corticosteroid and/or corticosteroid derivative (substance)"
327,NCT00006072,Rituximab (substance),Antineoplastic agent (substance)
328,NCT00006077,Niclosamide (substance)|Domperidone (substance),Niclosamide (substance)|Domperidone (substance)
329,NCT00006170,Bupropion (substance),Ketone (substance)
330,NCT00006180,Alendronate (substance)|Alendronic acid (substance),Bisphosphonate (substance)
331,NCT00006187,Drug or medicament (substance),Drug or medicament (substance)
332,NCT00006195,Risperidone (substance)|Olanzapine (substance),Psychotropic agent (substance)
333,NCT00006204,Naltrexone (substance)|Fluoxetine (substance),Antidote (substance)|Psychotropic agent (substance)
334,NCT00006286,Fluoxetine (substance),Psychotropic agent (substance)
335,NCT00006289,Neurotensin (substance),Neurotensin (substance)
336,NCT00006337,Levodopa overdose (disorder)|A*6802 (substance),Poisoning (disorder)|Gene (substance)
