,nct_id,linkbert_snomed_term_canonical_interventions,linkbert_top_concept_canonical_first_interventions
115,NCT00000358,Lofexidine (substance),Lofexidine (substance)
116,NCT00000361,Cyclophosphamide (substance)|Methotrexate (substance)|Prednisone (substance),Immunologic agent (substance)|Corticosteroid and/or corticosteroid derivative (substance)
117,NCT00000368,Paroxetine (substance),Antidepressant (substance)
118,NCT00000369,Lithium (substance),Antidepressant (substance)
119,NCT00000371,Anti-psychotic agent (substance)|Cycloserine (substance),Anti-psychotic agent (substance)|Cycloserine (substance)
120,NCT00000372,Clozapine (substance)|Cycloserine (substance)|Glycine (substance),Clozapine (substance)|Cycloserine (substance)|Nutrients (substance)
121,NCT00000373,Fluvoxamine (substance)|Haloperidol (substance),Antidepressant (substance)|Ketone (substance)
122,NCT00000374,Olanzapine (substance)|Risperidone (substance),Olanzapine (substance)|Risperidone (substance)
123,NCT00000376,Antidepressant (substance)|Desipramine (substance),Antidepressant (substance)
124,NCT00000377,Nortriptyline (substance),Antidepressant (substance)
125,NCT00000378,Antidepressant (substance)|Nortriptyline (substance)|Substance with serotonin re-uptake inhibitor mechanism of action (substance)|Sertraline (substance)|Trichloroacetic acid (substance)|Tricyclic antidepressant (substance),Antidepressant (substance)|Substance with serotonin re-uptake inhibitor mechanism of action (substance)|Trichloroacetic acid (substance)
126,NCT00000379,Antidepressant (substance)|Fluoxetine (substance),Antidepressant (substance)
127,NCT00000380,Substance with estrogen receptor agonist mechanism of action (substance)|Somatotropin releasing factor (substance),Sex hormone (substance)|Somatotropin releasing factor (substance)
128,NCT00000381,Fluoxetine (substance),Antidepressant (substance)
129,NCT00000384,Lead (substance)|Serine (substance)|Sertraline (substance),Lead (substance)|Nutrients (substance)|Antidepressant (substance)
130,NCT00000385,Lithium (substance),Antidepressant (substance)
131,NCT00000389,Fluvoxamine (substance),Antidepressant (substance)
132,NCT00000390,Imipramine hydrochloride (substance),Antidepressant (substance)
133,NCT00000392,Tetradecapeptide (substance),Tetradecapeptide (substance)
134,NCT00000393,Tetradecapeptide (substance),Tetradecapeptide (substance)
135,NCT00000428,Amitriptyline (substance)|Vegetable flan (substance)|Fluoxetine (substance),Antidepressant (substance)|Vegetable flan (substance)
136,NCT00000439,Sodium valproate (substance)|Valproate (substance)|Valproic acid (substance),Fatty acid (substance)
137,NCT00000446,Sertraline (substance),Antidepressant (substance)
138,NCT00000448,Naltrexone (substance),Naltrexone (substance)
139,NCT00000458,Sertraline (substance),Antidepressant (substance)
140,NCT00000469,Lovastatin (substance)|Warfarin (substance),Antilipemic agent (substance)|Anticoagulant (substance)
141,NCT00000479,Aspirin (substance)|Vitamin E and/or vitamin E derivative (substance),Analgesic (substance)|Nutrients (substance)
142,NCT00000514,Hypotensive agent (substance),Hypotensive agent (substance)
143,NCT00000517,Anticoagulant (substance),Anticoagulant (substance)
144,NCT00000527,Substance with platelet aggregation inhibitor mechanism of action (substance),Substance with platelet aggregation inhibitor mechanism of action (substance)
145,NCT00000599,Colestipol hydrochloride (substance)|Nicotinic acid (substance),Antilipemic agent (substance)|Nutrients (substance)
146,NCT00000600,Food antioxidant (substance)|Vitamin E and/or vitamin E derivative (substance),Food antioxidant (substance)|Nutrients (substance)
147,NCT00000613,Glycine max isoflavone (substance)|Plant estrogenic glycoside (substance),Ketone (substance)|Plant estrogenic glycoside (substance)
148,NCT00000639,Amphotericin B (substance)|Fluconazole (substance)|Flucytosine (substance)|Itraconazole (substance),Amphotericin (substance)|Fluconazole (substance)|Flucytosine (substance)|Itraconazole (substance)
149,NCT00000643,Calcium folinate (substance)|Pyrimethamine (substance),Nutrients (substance)|Pyrimethamine (substance)
150,NCT00000648,Benzylpenicillin (substance)|Ceftriaxone (substance),Lactam (substance)
151,NCT00000657,Didanosine (substance)|Zidovudine (substance),Didanosine (substance)|Zidovudine (substance)
152,NCT00000666,Clindamycin (substance)|Pyrimethamine (substance)|Sulfadiazine (substance),Clindamycin (substance)|Pyrimethamine (substance)|Sulfone (substance)
153,NCT00000674,Clindamycin (substance)|Calcium folinate (substance)|Pyrimethamine (substance)|Sulfadiazine (substance)|Sulfone (substance),Clindamycin (substance)|Nutrients (substance)|Pyrimethamine (substance)|Sulfone (substance)
154,NCT00000677,Amphotericin B (substance)|Terconazole (substance),Amphotericin (substance)|Terconazole (substance)
155,NCT00000702,Zidovudine (substance),Zidovudine (substance)
156,NCT00000708,Amphotericin B (substance)|Fluconazole (substance)|Flucytosine (substance)|Ticarcillin disodium (substance),Amphotericin (substance)|Fluconazole (substance)|Flucytosine (substance)|Lactam (substance)
157,NCT00000709,Zidovudine (substance),Zidovudine (substance)
158,NCT00000738,Nimodipine (substance),Nimodipine (substance)
159,NCT00000776,Corticosteroid series (substance)|Dexamethasone (substance),Corticosteroid series (substance)|Corticosteroid and/or corticosteroid derivative (substance)
160,NCT00000793,Amitriptyline (substance)|Amitriptyline hydrochloride (substance)|Benzatropine mesilate (substance)|Mexiletine (substance)|Mexiletine hydrochloride (substance),Antidepressant (substance)|Antispasmodic (substance)|Mexiletine (substance)|Mexiletine hydrochloride (substance)
161,NCT00000794,Atovaquone (substance)|Pyrimethamine (substance)|Sulfadiazine (substance),Ketone (substance)|Pyrimethamine (substance)|Sulfone (substance)
162,NCT00000817,Amitriptyline (substance)|Antidepressant (substance),Antidepressant (substance)
163,NCT00000842,Cenegermin (substance)|Nerve growth factor (substance),Recombinant protein (substance)|Growth substance (substance)
164,NCT00000867,Substance with antiretroviral mechanism of action (substance)|Memantine (substance)|Zidovudine (substance),Substance with antiretroviral mechanism of action (substance)|Memantine (substance)|Zidovudine (substance)
165,NCT00000945,Cidofovir (substance),Cidofovir (substance)
166,NCT00000966,Azithromycin (substance)|Pyrimethamine (substance),Azithromycin (substance)|Pyrimethamine (substance)
167,NCT00000973,Pyrimethamine (substance)|Sulfadiazine (substance)|Zidovudine (substance),Pyrimethamine (substance)|Sulfone (substance)|Zidovudine (substance)
168,NCT00001017,Amphotericin B (substance)|Fluconazole (substance)|Ticarcillin disodium (substance),Amphotericin (substance)|Fluconazole (substance)|Lactam (substance)
169,NCT00001048,Cytarabine (substance)|Didanosine (substance)|Zalcitabine (substance)|Zidovudine (substance),Immunologic agent (substance)|Didanosine (substance)|Zalcitabine (substance)|Zidovudine (substance)
170,NCT00001146,Eicosapentaenoic acid (substance)|N-3 fatty acid (substance),Fatty acid (substance)
171,NCT00001234,Galactosylceramidase (substance),Cerebrosidase (substance)
172,NCT00001251,Cyclophosphamide (substance)|4-hydroxyifosfamide (substance),Immunologic agent (substance)|4-hydroxyifosfamide (substance)
173,NCT00001261,Immunoglobulin (substance),Immunoglobulin (substance)
174,NCT00001262,Copper (substance),Mineral (substance)
175,NCT00001287,Immunoglobulin (substance),Immunoglobulin (substance)
176,NCT00001328,Thymidine kinase (substance)|Ganciclovir (substance)|Thymidine (substance),Thymidine kinase (substance)|Ganciclovir (substance)|Thymidine (substance)
177,NCT00001333,Substance with topoisomerase inhibitor mechanism of action (substance)|Topotecan (substance),Substance with topoisomerase inhibitor mechanism of action (substance)|Topotecan (substance)
178,NCT00001344,Dextromethorphan (substance)|Memantine (substance)|Substance with N-methyl-D-aspartate receptor antagonist mechanism of action (substance),Dextromethorphan (substance)|Memantine (substance)|Substance with N-methyl-D-aspartate receptor antagonist mechanism of action (substance)
179,NCT00001365,Dextromethorphan (substance)|Substance with N-methyl-D-aspartate receptor antagonist mechanism of action (substance),Dextromethorphan (substance)|Substance with N-methyl-D-aspartate receptor antagonist mechanism of action (substance)
180,NCT00001410,"Glucosylceramidase (substance)|Glucan 1,6-alpha-glucosidase (substance)|Macrogol (substance)","Cerebrosidase (substance)|Glucan 1,6-alpha-glucosidase (substance)|Laxative (substance)"
181,NCT00001416,Calcitriol (substance)|Icatibant acetate (substance)|Ergocalciferol (substance)|Vitamin D and/or vitamin D derivative (substance),Nutrients (substance)|Icatibant acetate (substance)
182,NCT00001421,Thiamazole (substance),Thiamazole (substance)
183,NCT00001482,Anticonvulsant (substance)|Gabapentin (substance)|Lamotrigine (substance),Anticonvulsant (substance)|Nutrients (substance)|Lamotrigine (substance)
184,NCT00001483,Antidepressant (substance)|Bupropion (substance)|Sertraline (substance)|Venlafaxine (substance),Antidepressant (substance)
185,NCT00001487,Dehydroepiandrosterone (substance),Corticosteroid and/or corticosteroid derivative (substance)
186,NCT00001502,Kallidin I (substance)|Carboplatin (substance)|Placental protein 7 (substance),Mediator of immune response (substance)|Platinum compound (substance)|Placental protein 7 (substance)
187,NCT00001520,Neostigmine (substance)|Rocuronium (substance)|Succinylcholine (substance),Neostigmine (substance)|Skeletal muscle relaxant (substance)
188,NCT00001550,Immunoglobulin (substance),Immunoglobulin (substance)
189,NCT00001565,Phenylbutyric acid (substance),Phenylbutyric acid (substance)
190,NCT00001656,Anti-psychotic agent (substance)|Clozapine (substance)|Olanzapine (substance),Anti-psychotic agent (substance)|Clozapine (substance)|Olanzapine (substance)
191,NCT00001658,Amoxicillin (substance)|Antineoplastic antibiotic (substance),Lactam (substance)|Antineoplastic antibiotic (substance)
192,NCT00001662,Substance with alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptor antagonist mechanism of action (substance)|Nylon 46 (substance),Substance with alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptor antagonist mechanism of action (substance)|Nylon (substance)
193,NCT00001669,Cefapirin (substance)|Somatomedin C (substance)|Recombinant glycoprotein (substance)|Oprelvekin (substance),Lactam (substance)|Growth substance (substance)|Recombinant protein (substance)|Mediator of immune response (substance)
194,NCT00001723,Hydrogen peroxide (substance)|Orlistat (substance)|Xenon (substance),Hydrogen peroxide (substance)|Orlistat (substance)|Xenon (substance)
195,NCT00001725,Dextromethorphan (substance)|Lorazepam (substance)|Topiramate (substance),Dextromethorphan (substance)|Hypnotic agent (substance)|Topiramate (substance)
196,NCT00001768,Immunoglobulin (substance),Immunoglobulin (substance)
197,NCT00001777,Substance with serotonin uptake inhibitor mechanism of action (substance)|Sertraline (substance),Substance with serotonin uptake inhibitor mechanism of action (substance)|Antidepressant (substance)
198,NCT00001781,Aztreonam (substance)|Cefotaxime sodium (substance),Lactam (substance)
199,NCT00001783,Amfetamine (substance)|Dexamfetamine (substance),Amfetamine and/or amfetamine derivative (substance)
200,NCT00001784,Lidocaine (substance)|Mexiletine (substance),Local anesthetic (substance)|Mexiletine (substance)
201,NCT00001785,Interferon beta (substance)|Interferon beta-1a (substance),Mediator of immune response (substance)
202,NCT00001860,Octreotide acetate (substance),Gastrointestinal hormone (substance)
203,NCT00001864,Atropine (substance),Bronchodilator (substance)
204,NCT00001925,Ethanol (substance),Ethanol (substance)
205,NCT00001929,Ifenprodil (substance)|Substance with N-methyl-D-aspartate receptor antagonist mechanism of action (substance),Piperidine (substance)|Substance with N-methyl-D-aspartate receptor antagonist mechanism of action (substance)
206,NCT00001930,Amantadine (substance)|Substance with N-methyl-D-aspartate receptor antagonist mechanism of action (substance),Amantadine (substance)|Substance with N-methyl-D-aspartate receptor antagonist mechanism of action (substance)
207,NCT00001931,Dopamine (substance)|Substance with dopamine receptor agonist mechanism of action (substance)|Niclosamide (substance)|Naftifine hydrochloride (substance),Neurotransmitter (substance)|Substance with dopamine receptor agonist mechanism of action (substance)|Niclosamide (substance)|Naftifine hydrochloride (substance)
208,NCT00001933,Nefopam (substance),Analgesic (substance)
209,NCT00001934,Tocilizumab (substance)|Daclizumab (substance),Antibody (substance)
210,NCT00001956,Ketorolac (substance)|Lidocaine (substance)|Midazolam (substance)|Sedative (substance),Analgesic (substance)|Local anesthetic (substance)|Hypnotic agent (substance)|Sedative (substance)
211,NCT00001986,Caprylic alcohol (substance),Caprylic alcohol (substance)
212,NCT00001994,Probucol (substance)|Atovaquone (substance)|Pyrimethamine (substance)|Sulfadiazine (substance),Polyphenol (substance)|Ketone (substance)|Pyrimethamine (substance)|Sulfone (substance)
213,NCT00002010,Fluconazole (substance),Fluconazole (substance)
214,NCT00002019,Amphotericin B (substance)|Amphotericin B lipid complex (substance)|Amphotericin (substance),Amphotericin (substance)
215,NCT00002040,Fluconazole (substance),Fluconazole (substance)
216,NCT00002044,Zidovudine (substance),Zidovudine (substance)
217,NCT00002064,Clindamycin (substance)|Pyrimethamine (substance)|Sulfonamide (substance),Clindamycin (substance)|Pyrimethamine (substance)|Sulfone (substance)
218,NCT00002068,Amphotericin B (substance)|Fluconazole (substance)|Flucytosine (substance)|Ticarcillin disodium (substance),Amphotericin (substance)|Fluconazole (substance)|Flucytosine (substance)|Lactam (substance)
219,NCT00002074,Amphotericin B (substance)|Fluconazole (substance)|Ticarcillin disodium (substance),Amphotericin (substance)|Fluconazole (substance)|Lactam (substance)
220,NCT00002075,Amphotericin B (substance)|Fluconazole (substance)|Flucytosine (substance)|Ticarcillin disodium (substance),Amphotericin (substance)|Fluconazole (substance)|Flucytosine (substance)|Lactam (substance)
221,NCT00002076,Fluconazole (substance),Fluconazole (substance)
222,NCT00002077,Fluconazole (substance),Fluconazole (substance)
223,NCT00002083,Tetradecapeptide (substance),Tetradecapeptide (substance)
224,NCT00002113,Amphotericin B (substance)|Fluconazole (substance)|Flucytosine (substance),Amphotericin (substance)|Fluconazole (substance)|Flucytosine (substance)
225,NCT00002163,Gadolinium-159 (substance),Radioactive isotope (substance)
226,NCT00002209,Ribavirin (substance)|Indinavir (substance)|Lamivudine (substance)|Luliconazole (substance)|Zidovudine (substance),Ribavirin (substance)|Indinavir (substance)|Lamivudine (substance)|Luliconazole (substance)|Zidovudine (substance)
227,NCT00002246,Stavudine (substance)|Zidovudine (substance),Stavudine (substance)|Zidovudine (substance)
228,NCT00002270,Interferon alfa (substance)|Interleukin-6 (substance)|Zidovudine (substance),Mediator of immune response (substance)|Zidovudine (substance)
229,NCT00002274,"3,3' diiodothyronine (substance)|Dapsone (substance)|Didanosine (substance)|Zidovudine (substance)",Thyroid hormone (substance)|Sulfone (substance)|Didanosine (substance)|Zidovudine (substance)
230,NCT00002294,Fluconazole (substance)|Ticarcillin disodium (substance),Fluconazole (substance)|Lactam (substance)
231,NCT00002305,Amphotericin B (substance)|Fluconazole (substance)|Flucytosine (substance)|Ticarcillin disodium (substance),Amphotericin (substance)|Fluconazole (substance)|Flucytosine (substance)|Lactam (substance)
232,NCT00002306,Amphotericin B (substance)|Fluconazole (substance)|Ticarcillin disodium (substance),Amphotericin (substance)|Fluconazole (substance)|Lactam (substance)
233,NCT00002316,Amphotericin B (substance)|Placental protein 7 (substance),Amphotericin (substance)|Placental protein 7 (substance)
234,NCT00002395,Topotecan (substance)|Topotecan hydrochloride (substance),Topotecan (substance)|Topotecan hydrochloride (substance)
235,NCT00002594,Cyclophosphamide (substance)|Melphalan (substance),Immunologic agent (substance)
236,NCT00002875,Toxicity due to chemotherapy (disorder)|Cisplatin (substance)|Cyclophosphamide (substance)|Lomustine (substance)|Vincristine (substance),Poisoning caused by drug AND/OR medicinal substance (disorder)|Platinum compound (substance)|Immunologic agent (substance)|Vincristine (substance)
237,NCT00003203,Carboplatin (substance)|Vincristine (substance),Platinum compound (substance)|Vincristine (substance)
238,NCT00003573,Toxicity due to chemotherapy (disorder)|Etoposide (substance),Poisoning caused by drug AND/OR medicinal substance (disorder)|Immunologic agent (substance)
239,NCT00003625,Ciclosporin (substance)|Etoposide (substance)|Vincristine (substance),Immunosuppressant (substance)|Immunologic agent (substance)|Vincristine (substance)
240,NCT00003935,Etoposide (substance)|Vincristine (substance),Immunologic agent (substance)|Vincristine (substance)
241,NCT00004268,Substance with alpha adrenergic receptor agonist mechanism of action (substance)|Midodrine (substance),Substance with alpha adrenergic receptor agonist mechanism of action (substance)|Midodrine (substance)
242,NCT00004286,Human immunoglobulin (substance),Immunoglobulin (substance)
243,NCT00004293,Glucosylceramidase (substance),Cerebrosidase (substance)
244,NCT00004294,Glucosylceramidase (substance),Cerebrosidase (substance)
245,NCT00004297,Diazepam (substance)|Lorazepam (substance),Hypnotic agent (substance)
246,NCT00004300,Bromocriptine (substance)|Substance with dopamine receptor agonist mechanism of action (substance)|Substance with serotonin uptake inhibitor mechanism of action (substance)|Sertraline hydrochloride (substance),Ergoline derivative (substance)|Substance with dopamine receptor agonist mechanism of action (substance)|Substance with serotonin uptake inhibitor mechanism of action (substance)|Antidepressant (substance)
247,NCT00004310,Clomipramine (substance),Antidepressant (substance)
248,NCT00004314,Succinylaminoimidazole carboxamide riboside (substance),Nutrients (substance)
249,NCT00004338,Zinc (substance),Mineral (substance)
250,NCT00004339,Tetrathiomolybdate (substance)|Trientine (substance),Acid (substance)|Trientine (substance)
251,NCT00004357,Methylprednisolone (substance)|Prednisolone (substance),Corticosteroid and/or corticosteroid derivative (substance)
252,NCT00004373,Benzodiazepine (substance)|Alprazolam (substance),Hypnotic agent (substance)
253,NCT00004376,Substance with alpha-2 adrenergic receptor agonist mechanism of action (substance)|Guanfacine (substance),Substance with alpha-2 adrenergic receptor agonist mechanism of action (substance)|Guanfacine (substance)
254,NCT00004386,Ornithine carbamoyltransferase (substance),Ornithine carbamoyltransferase (substance)
255,NCT00004393,Anti-psychotic agent (substance)|Risperidone (substance),Anti-psychotic agent (substance)|Risperidone (substance)
