,nct_id,canonical_aact_conditions,snomed_termid,aact_snomed_term_canonical_conditions,aact_cdist_conditions,Top_Concept,Top_Concept_Canonical,Top_Concept_Canonical_First
199,NCT00000677,"meningitis, cryptococcal",14232007,Cryptococcal meningitis (disorder),2.0943,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
201,NCT00000708,"meningitis, cryptococcal",14232007,Cryptococcal meningitis (disorder),2.0943,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
204,NCT00000776,"meningitis, cryptococcal",14232007,Cryptococcal meningitis (disorder),2.0943,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
206,NCT00000794,"toxoplasmosis, cerebral",192701001,Toxoplasma encephalitis (disorder),1.9927,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
211,NCT00000966,"toxoplasmosis, cerebral",192701001,Toxoplasma encephalitis (disorder),1.9927,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
212,NCT00000973,"toxoplasmosis, cerebral",192701001,Toxoplasma encephalitis (disorder),1.9927,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
213,NCT00001017,"meningitis, cryptococcal",14232007,Cryptococcal meningitis (disorder),2.0943,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
242,NCT00001520,paralysis,51928006,General paresis - neurosyphilis (disorder),8.5914,"[128117002, 78689005]","['Infectious disease of central nervous system (disorder)', 'Chronic brain syndrome (disorder)']",Infectious disease of central nervous system (disorder)
257,NCT00001725,facial neuralgia,95670000,Nervus intermedius neuralgia (disorder),5.8508,"[422426003, 23096007, 230461009, 72274001]","['Facial nerve disorder (disorder)', 'Cranial neuralgia (disorder)', 'Headache disorder (disorder)', 'Nerve root disorder (disorder)']",Facial nerve disorder (disorder)
258,NCT00001725,trigeminal neuralgia,31681005,Trigeminal neuralgia (disorder),0.0,"[64309007, 23096007]","['Trigeminal nerve disorder (disorder)', 'Cranial neuralgia (disorder)']",Trigeminal nerve disorder (disorder)
263,NCT00001783,paralysis,51928006,General paresis - neurosyphilis (disorder),8.5914,"[128117002, 78689005]","['Infectious disease of central nervous system (disorder)', 'Chronic brain syndrome (disorder)']",Infectious disease of central nervous system (disorder)
267,NCT00001785,"paraparesis, tropical spastic",714279000,Myelopathy caused by Human T-lymphotropic virus 1 (disorder),2.0023,"[128117002, 48522003]","['Infectious disease of central nervous system (disorder)', 'Spinal cord disorder (disorder)']",Infectious disease of central nervous system (disorder)
270,NCT00001860,pituitary neoplasms,127024001,Neoplasm of pituitary gland (disorder),3.1728,"[399244003, 126950007]","['Disorder of pituitary gland (disorder)', 'Neoplasm of nervous system (disorder)']",Disorder of pituitary gland (disorder)
277,NCT00001930,huntington disease,58756001,Huntington's chorea (disorder),0.0,"[15802004, 271700006, 363235000, 257277002, 78689005]","['Dystonia (disorder)', 'Chorea (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Combined disorder of muscle AND peripheral nerve (disorder)', 'Chronic brain syndrome (disorder)']",Dystonia (disorder)
283,NCT00001994,"toxoplasmosis, cerebral",192701001,Toxoplasma encephalitis (disorder),1.9927,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
285,NCT00002019,"meningitis, cryptococcal",14232007,Cryptococcal meningitis (disorder),2.0943,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
286,NCT00002040,"meningitis, cryptococcal",14232007,Cryptococcal meningitis (disorder),2.0943,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
289,NCT00002064,"toxoplasmosis, cerebral",192701001,Toxoplasma encephalitis (disorder),1.9927,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
290,NCT00002068,"meningitis, cryptococcal",14232007,Cryptococcal meningitis (disorder),2.0943,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
291,NCT00002074,"meningitis, cryptococcal",14232007,Cryptococcal meningitis (disorder),2.0943,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
292,NCT00002075,"meningitis, cryptococcal",14232007,Cryptococcal meningitis (disorder),2.0943,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
293,NCT00002076,"meningitis, cryptococcal",14232007,Cryptococcal meningitis (disorder),2.0943,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
294,NCT00002077,"meningitis, cryptococcal",14232007,Cryptococcal meningitis (disorder),2.0943,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
296,NCT00002113,"meningitis, cryptococcal",14232007,Cryptococcal meningitis (disorder),2.0943,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
302,NCT00002294,"meningitis, cryptococcal",14232007,Cryptococcal meningitis (disorder),2.0943,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
303,NCT00002305,"meningitis, cryptococcal",14232007,Cryptococcal meningitis (disorder),2.0943,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
304,NCT00002306,"meningitis, cryptococcal",14232007,Cryptococcal meningitis (disorder),2.0943,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
305,NCT00002316,"meningitis, cryptococcal",14232007,Cryptococcal meningitis (disorder),2.0943,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
307,NCT00002520,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
319,NCT00003514,pituitary neoplasms,127024001,Neoplasm of pituitary gland (disorder),3.1728,"[399244003, 126950007]","['Disorder of pituitary gland (disorder)', 'Neoplasm of nervous system (disorder)']",Disorder of pituitary gland (disorder)
335,NCT00004338,hepatolenticular degeneration,88518009,Wilson's disease (disorder),0.0046,"[271700006, 363235000]","['Chorea (disorder)', 'Hereditary disorder of nervous system (disorder)']",Chorea (disorder)
336,NCT00004339,hepatolenticular degeneration,88518009,Wilson's disease (disorder),0.0046,"[271700006, 363235000]","['Chorea (disorder)', 'Hereditary disorder of nervous system (disorder)']",Chorea (disorder)
347,NCT00004431,trigeminal neuralgia,31681005,Trigeminal neuralgia (disorder),0.0,"[64309007, 23096007]","['Trigeminal nerve disorder (disorder)', 'Cranial neuralgia (disorder)']",Trigeminal nerve disorder (disorder)
352,NCT00004446,depersonalization,70764005,Depersonalization disorder (disorder),5.3962,"[44376007, 111475002]","['Dissociative disorder (disorder)', 'Neurosis (disorder)']",Dissociative disorder (disorder)
372,NCT00004682,myasthenia gravis,91637004,Myasthenia gravis (disorder),0.0,"[128213006, 257277002]","['Neuromuscular junction disorder (disorder)', 'Combined disorder of muscle AND peripheral nerve (disorder)']",Neuromuscular junction disorder (disorder)
391,NCT00004771,"bulbo-spinal atrophy, x-linked",230253001,Bulbospinal neuronopathy (disorder),5.9579,"[37340000, 363235000]","['Motor neuron disease (disorder)', 'Hereditary disorder of nervous system (disorder)']",Motor neuron disease (disorder)
393,NCT00004771,spinal muscular atrophy,5262007,Spinal muscular atrophy (disorder),0.0059,"[37340000, 363235000]","['Motor neuron disease (disorder)', 'Hereditary disorder of nervous system (disorder)']",Motor neuron disease (disorder)
394,NCT00004771,"muscular atrophy, spinal",5262007,Spinal muscular atrophy (disorder),2.2209,"[37340000, 363235000]","['Motor neuron disease (disorder)', 'Hereditary disorder of nervous system (disorder)']",Motor neuron disease (disorder)
401,NCT00004807,rett syndrome,68618008,Rett syndrome (disorder),0.0,"[35919005, 363235000, 110359009, 78689005]","['Pervasive developmental disorder (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Intellectual disability (disorder)', 'Chronic brain syndrome (disorder)']",Pervasive developmental disorder (disorder)
405,NCT00004817,"epilepsy, post-traumatic",75023009,Post-traumatic epilepsy (disorder),2.3339,"[128613002, 127295002]","['Seizure disorder (disorder)', 'Traumatic brain injury (disorder)']",Seizure disorder (disorder)
407,NCT00004833,guillain-barre syndrome,40956001,Guillain-Barré syndrome (disorder),0.0,"[1259104004, 42345000]","['Autoimmune inflammation of nerve (disorder)', 'Polyneuropathy (disorder)']",Autoimmune inflammation of nerve (disorder)
432,NCT00006170,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
483,NCT00012467,"meningitis, cryptococcal",14232007,Cryptococcal meningitis (disorder),2.0943,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
515,NCT00015808,friedreich ataxia,10394003,Friedreich ataxia (disorder),0.0065,"[48522003, 85102008, 363235000, 78689005]","['Spinal cord disorder (disorder)', 'Cerebellar ataxia (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Chronic brain syndrome (disorder)']",Spinal cord disorder (disorder)
544,NCT00021541,neurofibromatosis 1,92824003,Neurofibromatosis type 1 (disorder),0.002,"[402874001, 363235000, 126950007]","['Neoplasm of nerve sheath origin (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Neoplasm of nervous system (disorder)']",Neoplasm of nerve sheath origin (disorder)
550,NCT00023283,"substance abuse, intravenous",145101000119102,Intravenous cocaine abuse (disorder),11.3694,"[1187220002, 91388009]","['Disorder caused by cocaine (disorder)', 'Psychoactive substance abuse (disorder)']",Disorder caused by cocaine (disorder)
563,NCT00026988,huntington disease,58756001,Huntington's chorea (disorder),0.0,"[15802004, 271700006, 363235000, 257277002, 78689005]","['Dystonia (disorder)', 'Chorea (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Combined disorder of muscle AND peripheral nerve (disorder)', 'Chronic brain syndrome (disorder)']",Dystonia (disorder)
577,NCT00029497,carpal tunnel syndrome,57406009,Carpal tunnel syndrome (disorder),0.0,"[397828008, 128189008]","['Median neuropathy (disorder)', 'Mononeuropathy (disorder)']",Median neuropathy (disorder)
581,NCT00029874,huntington disease,58756001,Huntington's chorea (disorder),0.0,"[15802004, 271700006, 363235000, 257277002, 78689005]","['Dystonia (disorder)', 'Chorea (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Combined disorder of muscle AND peripheral nerve (disorder)', 'Chronic brain syndrome (disorder)']",Dystonia (disorder)
583,NCT00030264,neurofibromatosis 1,92824003,Neurofibromatosis type 1 (disorder),0.002,"[402874001, 363235000, 126950007]","['Neoplasm of nerve sheath origin (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Neoplasm of nervous system (disorder)']",Neoplasm of nerve sheath origin (disorder)
747,NCT00046813,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
762,NCT00048906,fabry disease,16652001,Fabry's disease (disorder),0.0041,"[363235000, 238028008]","['Hereditary disorder of nervous system (disorder)', 'Sphingolipidosis (disorder)']",Hereditary disorder of nervous system (disorder)
785,NCT00053937,neurofibromatosis 1,92824003,Neurofibromatosis type 1 (disorder),0.002,"[402874001, 363235000, 126950007]","['Neoplasm of nerve sheath origin (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Neoplasm of nervous system (disorder)']",Neoplasm of nerve sheath origin (disorder)
796,NCT00056199,von hippel-lindau disease,46659004,Von Hippel-Lindau syndrome (disorder),2.9331,"[363235000, 126950007]","['Hereditary disorder of nervous system (disorder)', 'Neoplasm of nervous system (disorder)']",Hereditary disorder of nervous system (disorder)
809,NCT00056810,guillain-barre syndrome,40956001,Guillain-Barré syndrome (disorder),0.0,"[1259104004, 42345000]","['Autoimmune inflammation of nerve (disorder)', 'Polyneuropathy (disorder)']",Autoimmune inflammation of nerve (disorder)
833,NCT00061074,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
853,NCT00063323,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
874,NCT00067158,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
887,NCT00068107,fabry disease,16652001,Fabry's disease (disorder),0.0041,"[363235000, 238028008]","['Hereditary disorder of nervous system (disorder)', 'Sphingolipidosis (disorder)']",Hereditary disorder of nervous system (disorder)
889,NCT00068913,melas syndrome,39925003,"Juvenile myopathy, encephalopathy, lactic acidosis, stroke (disorder)",10.1663,"[16851005, 230690007]","['Mitochondrial myopathy (disorder)', 'Cerebrovascular accident (disorder)']",Mitochondrial myopathy (disorder)
895,NCT00069550,rett syndrome,68618008,Rett syndrome (disorder),0.0,"[35919005, 363235000, 110359009, 78689005]","['Pervasive developmental disorder (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Intellectual disability (disorder)', 'Chronic brain syndrome (disorder)']",Pervasive developmental disorder (disorder)
912,NCT00071877,fabry disease,16652001,Fabry's disease (disorder),0.0041,"[363235000, 238028008]","['Hereditary disorder of nervous system (disorder)', 'Sphingolipidosis (disorder)']",Hereditary disorder of nervous system (disorder)
930,NCT00074958,fabry disease,16652001,Fabry's disease (disorder),0.0041,"[363235000, 238028008]","['Hereditary disorder of nervous system (disorder)', 'Sphingolipidosis (disorder)']",Hereditary disorder of nervous system (disorder)
931,NCT00074971,fabry disease,16652001,Fabry's disease (disorder),0.0041,"[363235000, 238028008]","['Hereditary disorder of nervous system (disorder)', 'Sphingolipidosis (disorder)']",Hereditary disorder of nervous system (disorder)
932,NCT00074984,fabry disease,16652001,Fabry's disease (disorder),0.0041,"[363235000, 238028008]","['Hereditary disorder of nervous system (disorder)', 'Sphingolipidosis (disorder)']",Hereditary disorder of nervous system (disorder)
933,NCT00075244,fabry disease,16652001,Fabry's disease (disorder),0.0041,"[363235000, 238028008]","['Hereditary disorder of nervous system (disorder)', 'Sphingolipidosis (disorder)']",Hereditary disorder of nervous system (disorder)
936,NCT00076102,neurofibromatosis 1,92824003,Neurofibromatosis type 1 (disorder),0.002,"[402874001, 363235000, 126950007]","['Neoplasm of nerve sheath origin (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Neoplasm of nervous system (disorder)']",Neoplasm of nerve sheath origin (disorder)
961,NCT00078481,friedreich ataxia,10394003,Friedreich ataxia (disorder),0.0065,"[48522003, 85102008, 363235000, 78689005]","['Spinal cord disorder (disorder)', 'Cerebellar ataxia (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Chronic brain syndrome (disorder)']",Spinal cord disorder (disorder)
962,NCT00078754,intermittent explosive disorder,40987004,Intermittent explosive disorder (disorder),0.0,"[33449004, 66347000]","['Personality disorder (disorder)', 'Impulse control disorder (disorder)']",Personality disorder (disorder)
981,NCT00081497,fabry disease,16652001,Fabry's disease (disorder),0.0041,"[363235000, 238028008]","['Hereditary disorder of nervous system (disorder)', 'Sphingolipidosis (disorder)']",Hereditary disorder of nervous system (disorder)
994,NCT00084084,fabry disease,16652001,Fabry's disease (disorder),0.0041,"[363235000, 238028008]","['Hereditary disorder of nervous system (disorder)', 'Sphingolipidosis (disorder)']",Hereditary disorder of nervous system (disorder)
1011,NCT00086385,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
1012,NCT00086411,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
1023,NCT00087880,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
1030,NCT00088374,von hippel-lindau disease,46659004,Von Hippel-Lindau syndrome (disorder),2.9331,"[363235000, 126950007]","['Hereditary disorder of nervous system (disorder)', 'Neoplasm of nervous system (disorder)']",Hereditary disorder of nervous system (disorder)
1097,NCT00095355,huntington disease,58756001,Huntington's chorea (disorder),0.0,"[15802004, 271700006, 363235000, 257277002, 78689005]","['Dystonia (disorder)', 'Chorea (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Combined disorder of muscle AND peripheral nerve (disorder)', 'Chronic brain syndrome (disorder)']",Dystonia (disorder)
1126,NCT00097890,fabry disease,16652001,Fabry's disease (disorder),0.0041,"[363235000, 238028008]","['Hereditary disorder of nervous system (disorder)', 'Sphingolipidosis (disorder)']",Hereditary disorder of nervous system (disorder)
1151,NCT00100802,spinal cord neoplasms,126962006,Neoplasm of spinal cord (disorder),2.2951,"[48522003, 126950007]","['Spinal cord disorder (disorder)', 'Neoplasm of nervous system (disorder)']",Spinal cord disorder (disorder)
1193,NCT00104598,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
1198,NCT00105482,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
1228,NCT00108173,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
1235,NCT00108537,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
1286,NCT00113854,"malaria, cerebral",53622003,Cerebral malaria (disorder),1.8365,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
1301,NCT00115687,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
1320,NCT00118924,"encephalitis, tick-borne",712986001,Encephalitis caused by tick-borne encephalitis virus (disorder),3.1432,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
1322,NCT00119210,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
1357,NCT00123214,sleep deprivation,248256006,Not getting enough sleep (disorder),7.9688,"[194437008, 44186003]","['Disorders of initiating and maintaining sleep (disorder)', 'Dyssomnia (disorder)']",Disorders of initiating and maintaining sleep (disorder)
1367,NCT00124267,"malaria, cerebral",53622003,Cerebral malaria (disorder),1.8365,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
1368,NCT00124683,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
1388,NCT00126672,tuberous sclerosis,7199000,Tuberous sclerosis syndrome (disorder),0.0044,"[363235000, 126950007]","['Hereditary disorder of nervous system (disorder)', 'Neoplasm of nervous system (disorder)']",Hereditary disorder of nervous system (disorder)
1401,NCT00129246,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
1403,NCT00129272,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
1441,NCT00133757,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
1442,NCT00133757,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
1456,NCT00135746,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
1467,NCT00136747,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
1468,NCT00136760,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
1469,NCT00136786,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
1481,NCT00137735,carpal tunnel syndrome,57406009,Carpal tunnel syndrome (disorder),0.0,"[397828008, 128189008]","['Median neuropathy (disorder)', 'Mononeuropathy (disorder)']",Median neuropathy (disorder)
1511,NCT00140621,fabry disease,16652001,Fabry's disease (disorder),0.0041,"[363235000, 238028008]","['Hereditary disorder of nervous system (disorder)', 'Sphingolipidosis (disorder)']",Hereditary disorder of nervous system (disorder)
1545,NCT00142831,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
1569,NCT00145249,"meningitis, cryptococcal",14232007,Cryptococcal meningitis (disorder),2.0943,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
1577,NCT00146211,huntington disease,58756001,Huntington's chorea (disorder),0.0,"[15802004, 271700006, 363235000, 257277002, 78689005]","['Dystonia (disorder)', 'Chorea (disorder)', 'Hereditary disorder of nervous system (disorder)', 'Combined disorder of muscle AND peripheral nerve (disorder)', 'Chronic brain syndrome (disorder)']",Dystonia (disorder)
1604,NCT00149669,"substance abuse, intravenous",145101000119102,Intravenous cocaine abuse (disorder),11.3694,"[1187220002, 91388009]","['Disorder caused by cocaine (disorder)', 'Psychoactive substance abuse (disorder)']",Disorder caused by cocaine (disorder)
1671,NCT00158158,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
1672,NCT00158171,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[91388009, 56294008]","['Psychoactive substance abuse (disorder)', 'Nicotine dependence (disorder)']",Psychoactive substance abuse (disorder)
1718,NCT00161928,"meningitis, meningococcal",192644005,Meningococcal meningitis (disorder),2.192,"[128117002, 7180009]","['Infectious disease of central nervous system (disorder)', 'Meningitis (disorder)']",Infectious disease of central nervous system (disorder)
1719,NCT00161967,"encephalitis, tick-borne",712986001,Encephalitis caused by tick-borne encephalitis virus (disorder),3.1432,"[128117002, 45170000]","['Infectious disease of central nervous system (disorder)', 'Encephalitis (disorder)']",Infectious disease of central nervous system (disorder)
1753,NCT00167609,myotonic dystrophy,1177122009,Myotonic dystrophy (disorder),0.0,"[193237003, 73297009]","['Myotonic disorder (disorder)', 'Muscular dystrophy (disorder)']",Myotonic disorder (disorder)
