,nct_id,canonical_BioLinkBERT-base_conditions,snomed_termid,linkbert_snomed_term_canonical_conditions,linkbert_cdist_conditions,Top_Concept,Top_Concept_Canonical,Top_Concept_Canonical_First
57,NCT00000210,aids,62479008,Acquired immune deficiency syndrome (disorder),0.0069,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
59,NCT00000210,intravenous heroin and cocaine dependence,145101000119102,Intravenous cocaine abuse (disorder),10.8608,"[1187220002, 66214007]","['Disorder caused by cocaine (disorder)', 'Substance abuse (disorder)']",Disorder caused by cocaine (disorder)
61,NCT00000211,aids,62479008,Acquired immune deficiency syndrome (disorder),0.0069,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
63,NCT00000211,intravenous heroin and cocaine dependence,145101000119102,Intravenous cocaine abuse (disorder),10.8608,"[1187220002, 66214007]","['Disorder caused by cocaine (disorder)', 'Substance abuse (disorder)']",Disorder caused by cocaine (disorder)
65,NCT00000212,cocaine,387085005,Cocaine,0.002,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Cocaine
66,NCT00000212,iv cocaine abuse,145101000119102,Intravenous cocaine abuse (disorder),5.8825,"[1187220002, 66214007]","['Disorder caused by cocaine (disorder)', 'Substance abuse (disorder)']",Disorder caused by cocaine (disorder)
67,NCT00000213,cocaine,387085005,Cocaine,0.002,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Cocaine
68,NCT00000213,iv cocaine abuse,145101000119102,Intravenous cocaine abuse (disorder),5.8825,"[1187220002, 66214007]","['Disorder caused by cocaine (disorder)', 'Substance abuse (disorder)']",Disorder caused by cocaine (disorder)
69,NCT00000214,cocaine,387085005,Cocaine,0.002,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Cocaine
71,NCT00000214,iv,722019000,Oculootoradial syndrome (disorder),11.8935,"[232208008, 15188001, 276654001, 11164009, 88230002]","['Ear, nose and throat disorder (disorder)', 'Hearing loss (disorder)', 'Congenital malformation (disorder)', 'Autosomal dominant hereditary disorder (disorder)', 'Disorder of skeletal system (disorder)']","Ear, nose and throat disorder (disorder)"
73,NCT00000215,cocaine,387085005,Cocaine,0.002,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Cocaine
74,NCT00000215,iv cocaine abuse,145101000119102,Intravenous cocaine abuse (disorder),5.8825,"[1187220002, 66214007]","['Disorder caused by cocaine (disorder)', 'Substance abuse (disorder)']",Disorder caused by cocaine (disorder)
77,NCT00000216,cocaine abusing,78267003,Cocaine abuse (disorder),8.6475,"[1187220002, 66214007]","['Disorder caused by cocaine (disorder)', 'Substance abuse (disorder)']",Disorder caused by cocaine (disorder)
80,NCT00000217,cocaine craving,78267003,Cocaine abuse (disorder),10.5081,"[1187220002, 66214007]","['Disorder caused by cocaine (disorder)', 'Substance abuse (disorder)']",Disorder caused by cocaine (disorder)
82,NCT00000218,cocaine craving,78267003,Cocaine abuse (disorder),10.5081,"[1187220002, 66214007]","['Disorder caused by cocaine (disorder)', 'Substance abuse (disorder)']",Disorder caused by cocaine (disorder)
83,NCT00000240,cocaine,387085005,Cocaine,0.002,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Cocaine
85,NCT00000241,methamphetamine,387499002,Methamphetamine,0.0,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Methamphetamine
88,NCT00000242,cocaine dependence,31956009,Cocaine dependence (disorder),0.0037,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
89,NCT00000242,cocaine-dependence,31956009,Cocaine dependence (disorder),2.268,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
98,NCT00000246,benzodiazepine detoxification,372664007,Benzodiazepine detoxification,11.5808,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Benzodiazepine detoxification
99,NCT00000248,cocaine dependence,31956009,Cocaine dependence (disorder),0.0037,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
101,NCT00000249,cold-pressor pain,66551002,Psychogenic headache (disorder),12.5831,"[230461009, 723916001]","['Headache disorder (disorder)', 'Bodily distress disorder (disorder)']",Headache disorder (disorder)
102,NCT00000254,cold,82272006,Common cold (disorder),0.0068,"[232208008, 40733004, 50043002]","['Ear, nose and throat disorder (disorder)', 'Infectious disease (disorder)', 'Disorder of respiratory system (disorder)']","Ear, nose and throat disorder (disorder)"
109,NCT00000266,cocaine abusers,78267003,Cocaine abuse (disorder),7.9814,"[1187220002, 66214007]","['Disorder caused by cocaine (disorder)', 'Substance abuse (disorder)']",Disorder caused by cocaine (disorder)
110,NCT00000266,cocaine dependence,31956009,Cocaine dependence (disorder),0.0037,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
115,NCT00000267,cocaine dependence,31956009,Cocaine dependence (disorder),0.0037,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
119,NCT00000268,attention deficit disorder,35253001,"Attention deficit hyperactivity disorder, predominantly inattentive type (disorder)",0.0048,"[229712006, 129104009]","['Disorders of attention and motor control (disorder)', 'Developmental mental disorder (disorder)']",Disorders of attention and motor control (disorder)
120,NCT00000268,cocaine,387085005,Cocaine,0.002,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Cocaine
121,NCT00000269,cocaine dependence,31956009,Cocaine dependence (disorder),0.0037,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
124,NCT00000270,cocaine,387085005,Cocaine,0.002,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Cocaine
125,NCT00000271,cocaine,387085005,Cocaine,0.002,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Cocaine
128,NCT00000273,heroin,387341002,Heroin,0.0024,"[372752008, 312413002, 373265006]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)', 'Analgesic (substance)']",Heroin
129,NCT00000274,cocaine dependence,31956009,Cocaine dependence (disorder),0.0037,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
134,NCT00000275,attention-deficit hyperactivity disorder,406506008,Attention deficit hyperactivity disorder (disorder),1.1584,"[229712006, 129104009]","['Disorders of attention and motor control (disorder)', 'Developmental mental disorder (disorder)']",Disorders of attention and motor control (disorder)
135,NCT00000275,cocaine dependence,31956009,Cocaine dependence (disorder),0.0037,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
139,NCT00000278,alcohol abuse,15167005,Alcohol abuse (disorder),0.002,"[719848005, 66214007]","['Disorder caused by alcohol (disorder)', 'Substance abuse (disorder)']",Disorder caused by alcohol (disorder)
140,NCT00000278,cocaine -,387085005,Cocaine -,2.3323,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Cocaine -
145,NCT00000284,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[1254812006, 66214007]","['Substance dependence (disorder)', 'Substance abuse (disorder)']",Substance dependence (disorder)
147,NCT00000286,cocaine abusers,78267003,Cocaine abuse (disorder),7.9814,"[1187220002, 66214007]","['Disorder caused by cocaine (disorder)', 'Substance abuse (disorder)']",Disorder caused by cocaine (disorder)
148,NCT00000286,cocaine users,78267003,Cocaine abuse (disorder),9.2265,"[1187220002, 66214007]","['Disorder caused by cocaine (disorder)', 'Substance abuse (disorder)']",Disorder caused by cocaine (disorder)
151,NCT00000288,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[1254812006, 66214007]","['Substance dependence (disorder)', 'Substance abuse (disorder)']",Substance dependence (disorder)
153,NCT00000289,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[1254812006, 66214007]","['Substance dependence (disorder)', 'Substance abuse (disorder)']",Substance dependence (disorder)
155,NCT00000290,cocaine,387085005,Cocaine,0.002,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Cocaine
156,NCT00000291,cocaine,387085005,Cocaine,0.002,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Cocaine
158,NCT00000293,cocaine use,78267003,Cocaine abuse (disorder),6.4331,"[1187220002, 66214007]","['Disorder caused by cocaine (disorder)', 'Substance abuse (disorder)']",Disorder caused by cocaine (disorder)
164,NCT00000296,tobacco use disorder,89765005,Tobacco dependence syndrome (disorder),8.4497,"[1254812006, 66214007]","['Substance dependence (disorder)', 'Substance abuse (disorder)']",Substance dependence (disorder)
170,NCT00000304,cocaine,387085005,Cocaine,0.002,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Cocaine
171,NCT00000306,cocaine,387085005,Cocaine,0.002,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Cocaine
172,NCT00000306,cocaine and,387085005,Cocaine and,7.5768,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Cocaine and
174,NCT00000307,alcoholic cocaine dependent,31956009,Cocaine dependence (disorder),9.8205,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
175,NCT00000308,cocaine dependent,31956009,Cocaine dependence (disorder),6.1073,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
176,NCT00000309,cocaine,387085005,Cocaine,0.002,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Cocaine
177,NCT00000310,cocaine,387085005,Cocaine,0.002,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Cocaine
180,NCT00000311,cocaine use,78267003,Cocaine abuse (disorder),6.4331,"[1187220002, 66214007]","['Disorder caused by cocaine (disorder)', 'Substance abuse (disorder)']",Disorder caused by cocaine (disorder)
182,NCT00000312,cocaine,387085005,Cocaine,0.002,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Cocaine
183,NCT00000312,cocaine addicts,31956009,Cocaine dependence (disorder),8.2931,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
185,NCT00000314,cocaine addicts,31956009,Cocaine dependence (disorder),8.2931,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
186,NCT00000315,cocaine use,78267003,Cocaine abuse (disorder),6.4331,"[1187220002, 66214007]","['Disorder caused by cocaine (disorder)', 'Substance abuse (disorder)']",Disorder caused by cocaine (disorder)
188,NCT00000315,prolonged cocaine abuse,78267003,Cocaine abuse (disorder),9.4435,"[1187220002, 66214007]","['Disorder caused by cocaine (disorder)', 'Substance abuse (disorder)']",Disorder caused by cocaine (disorder)
191,NCT00000316,cocaine use,78267003,Cocaine abuse (disorder),6.4331,"[1187220002, 66214007]","['Disorder caused by cocaine (disorder)', 'Substance abuse (disorder)']",Disorder caused by cocaine (disorder)
193,NCT00000316,prolonged cocaine abuse,78267003,Cocaine abuse (disorder),9.4435,"[1187220002, 66214007]","['Disorder caused by cocaine (disorder)', 'Substance abuse (disorder)']",Disorder caused by cocaine (disorder)
196,NCT00000317,cocaine,387085005,Cocaine,0.002,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Cocaine
197,NCT00000317,cocaine dependence,31956009,Cocaine dependence (disorder),0.0037,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
199,NCT00000317,methadone,387286002,Methadone,0.0,"[372752008, 312413002, 373265006]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)', 'Analgesic (substance)']",Methadone
202,NCT00000321,aids,62479008,Acquired immune deficiency syndrome (disorder),0.0069,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
203,NCT00000321,methamphetamine,387499002,Methamphetamine,0.0,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Methamphetamine
205,NCT00000324,cocaine dependence,31956009,Cocaine dependence (disorder),0.0037,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
207,NCT00000332,cocaine,387085005,Cocaine,0.002,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Cocaine
208,NCT00000332,cocaine dependent,31956009,Cocaine dependence (disorder),6.1073,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
209,NCT00000333,cocaine,387085005,Cocaine,0.002,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Cocaine
210,NCT00000336,cocaine,387085005,Cocaine,0.002,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Cocaine
211,NCT00000336,cocaine dependence,31956009,Cocaine dependence (disorder),0.0037,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
213,NCT00000337,chronic crack abusers,229003004,Chronic crack abusers,11.8983,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Chronic crack abusers
215,NCT00000338,"chronic, crack dependent",191831000,"Cocaine dependence, continuous (disorder)",10.9747,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
217,NCT00000340,attention deficit hyperactivity disorder,406506008,Attention deficit hyperactivity disorder (disorder),0.0041,"[229712006, 129104009]","['Disorders of attention and motor control (disorder)', 'Developmental mental disorder (disorder)']",Disorders of attention and motor control (disorder)
218,NCT00000340,cocaine and/or methamphetamine dependent,31956009,Cocaine dependence (disorder),9.9593,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
220,NCT00000342,cocaine,387085005,Cocaine,0.002,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Cocaine
221,NCT00000342,cocaine dependence,31956009,Cocaine dependence (disorder),0.0037,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
227,NCT00000347,cocaine and,387085005,Cocaine and,7.5768,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Cocaine and
228,NCT00000347,cocaine dependence,31956009,Cocaine dependence (disorder),0.0037,"[1187220002, 1254812006]","['Disorder caused by cocaine (disorder)', 'Substance dependence (disorder)']",Disorder caused by cocaine (disorder)
230,NCT00000352,methadone,387286002,Methadone,0.0,"[372752008, 312413002, 373265006]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)', 'Analgesic (substance)']",Methadone
237,NCT00000356,methadone,387286002,Methadone,0.0,"[372752008, 312413002, 373265006]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)', 'Analgesic (substance)']",Methadone
238,NCT00000356,methadone maintenance treatment,387286002,Methadone maintenance treatment,9.8472,"[372752008, 312413002, 373265006]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)', 'Analgesic (substance)']",Methadone maintenance treatment
243,NCT00000361,autoimmune inner ear disease,232308006,Autoimmune disorder of inner ear (disorder),3.0655,"[232208008, 85828009]","['Ear, nose and throat disorder (disorder)', 'Autoimmune disease (disorder)']","Ear, nose and throat disorder (disorder)"
275,NCT00000378,late :,5639000,Late tooth eruption (disorder),13.5208,"[50410009, 76712006]","['Disorder of upper digestive tract (disorder)', 'Disorder of digestive organ (disorder)']",Disorder of upper digestive tract (disorder)
294,NCT00000388,attention deficit hyperactivity disorder,406506008,Attention deficit hyperactivity disorder (disorder),0.0041,"[229712006, 129104009]","['Disorders of attention and motor control (disorder)', 'Developmental mental disorder (disorder)']",Disorders of attention and motor control (disorder)
301,NCT00000390,aids related,62479008,Acquired immune deficiency syndrome (disorder),5.6088,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
308,NCT00000393,aids,62479008,Acquired immune deficiency syndrome (disorder),0.0069,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
317,NCT00000439,alcohol dependence,66590003,Alcohol dependence (disorder),0.0,"[719848005, 1254812006]","['Disorder caused by alcohol (disorder)', 'Substance dependence (disorder)']",Disorder caused by alcohol (disorder)
322,NCT00000446,alcoholism,7200002,Alcoholism (disorder),0.0,"[719848005, 1254812006]","['Disorder caused by alcohol (disorder)', 'Substance dependence (disorder)']",Disorder caused by alcohol (disorder)
325,NCT00000448,alcoholic,53527002,Alcoholic,7.112,"[372752008, 312413002]","['Central nervous system agent (substance)', 'Substance categorized by structure (substance)']",Alcoholic
326,NCT00000448,alcoholism,7200002,Alcoholism (disorder),0.0,"[719848005, 1254812006]","['Disorder caused by alcohol (disorder)', 'Substance dependence (disorder)']",Disorder caused by alcohol (disorder)
329,NCT00000458,alcoholics,7200002,Alcoholism (disorder),8.0417,"[719848005, 1254812006]","['Disorder caused by alcohol (disorder)', 'Substance dependence (disorder)']",Disorder caused by alcohol (disorder)
332,NCT00000469,asymptomatic carotid stenosis,1204156004,Asymptomatic stenosis of intracranial carotid artery (disorder),5.7675,"[27550009, 230738008]","['Disorder of blood vessel (disorder)', 'Asymptomatic cerebrovascular disease (disorder)']",Disorder of blood vessel (disorder)
343,NCT00000527,recurrent stenosis,371809004,Recurrent angina following placement of coronary artery stent (disorder),11.1627,"[56265001, 58184002, 48125009, 738668004]","['Heart disease (disorder)', 'Recurrent disease (disorder)', 'Injury of trunk (disorder)', 'Perioperative complication (disorder)']",Heart disease (disorder)
345,NCT00000599,coronary bypass graft lesions,36605004,Complication of bypass graft (disorder),10.2645,"[738668004, 88797001]","['Perioperative complication (disorder)', 'Complication of surgical procedure (disorder)']",Perioperative complication (disorder)
346,NCT00000599,"coronary, carotid, and femoral artery atherosclerosis",443502000,Atherosclerosis of coronary artery (disorder),9.8892,"[56265001, 27550009]","['Heart disease (disorder)', 'Disorder of blood vessel (disorder)']",Heart disease (disorder)
351,NCT00000639,acute cryptococcal meningitis,14232007,Cryptococcal meningitis (disorder),8.7972,"[40733004, 7180009]","['Infectious disease (disorder)', 'Meningitis (disorder)']",Infectious disease (disorder)
352,NCT00000639,aids,62479008,Acquired immune deficiency syndrome (disorder),0.0069,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
356,NCT00000643,aids,62479008,Acquired immune deficiency syndrome (disorder),0.0069,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
358,NCT00000643,"toxoplasmosis, cerebral",192701001,Toxoplasma encephalitis (disorder),1.9927,"[40733004, 45170000]","['Infectious disease (disorder)', 'Encephalitis (disorder)']",Infectious disease (disorder)
363,NCT00000657,aids,62479008,Acquired immune deficiency syndrome (disorder),0.0069,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
364,NCT00000657,aids dementia complex,421529006,Dementia with acquired immunodeficiency syndrome (disorder),3.6464,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
367,NCT00000666,aids,62479008,Acquired immune deficiency syndrome (disorder),0.0069,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
372,NCT00000666,toxoplasmic encephalitis,192701001,Toxoplasma encephalitis (disorder),6.6046,"[40733004, 45170000]","['Infectious disease (disorder)', 'Encephalitis (disorder)']",Infectious disease (disorder)
373,NCT00000674,acute phase of toxoplasmic encephalitis,822021000000103,Acute encephalitis (disorder),11.2967,"[127341005, 45170000, 128482007]","['Acute nervous system disorder (disorder)', 'Encephalitis (disorder)', 'Acute inflammatory disease (disorder)']",Acute nervous system disorder (disorder)
374,NCT00000674,acute toxoplasmic encephalitis,192701001,Toxoplasma encephalitis (disorder),8.7181,"[40733004, 45170000]","['Infectious disease (disorder)', 'Encephalitis (disorder)']",Infectious disease (disorder)
375,NCT00000674,aids,62479008,Acquired immune deficiency syndrome (disorder),0.0069,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
377,NCT00000674,toxoplasmic encephalitis,192701001,Toxoplasma encephalitis (disorder),6.6046,"[40733004, 45170000]","['Infectious disease (disorder)', 'Encephalitis (disorder)']",Infectious disease (disorder)
378,NCT00000677,acute cryptococcal meningitis,14232007,Cryptococcal meningitis (disorder),8.7972,"[40733004, 7180009]","['Infectious disease (disorder)', 'Meningitis (disorder)']",Infectious disease (disorder)
381,NCT00000677,"meningitis, cryptococcal",14232007,Cryptococcal meningitis (disorder),2.0943,"[40733004, 7180009]","['Infectious disease (disorder)', 'Meningitis (disorder)']",Infectious disease (disorder)
382,NCT00000702,aids dementia complex,421529006,Dementia with acquired immunodeficiency syndrome (disorder),3.6464,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
387,NCT00000708,acute cryptococcal meningitis,14232007,Cryptococcal meningitis (disorder),8.7972,"[40733004, 7180009]","['Infectious disease (disorder)', 'Meningitis (disorder)']",Infectious disease (disorder)
388,NCT00000708,aids,62479008,Acquired immune deficiency syndrome (disorder),0.0069,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
389,NCT00000708,"meningitis, cryptococcal",14232007,Cryptococcal meningitis (disorder),2.0943,"[40733004, 7180009]","['Infectious disease (disorder)', 'Meningitis (disorder)']",Infectious disease (disorder)
390,NCT00000709,aids,62479008,Acquired immune deficiency syndrome (disorder),0.0069,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
391,NCT00000709,aids dementia complex,421529006,Dementia with acquired immunodeficiency syndrome (disorder),3.6464,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
395,NCT00000738,aids dementia complex,421529006,Dementia with acquired immunodeficiency syndrome (disorder),3.6464,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
398,NCT00000738,hiv-associated motor/cognitive complex,421529006,Dementia with acquired immunodeficiency syndrome (disorder),11.7473,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
401,NCT00000776,aids,62479008,Acquired immune deficiency syndrome (disorder),0.0069,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
404,NCT00000776,"meningitis, cryptococcal",14232007,Cryptococcal meningitis (disorder),2.0943,"[40733004, 7180009]","['Infectious disease (disorder)', 'Meningitis (disorder)']",Infectious disease (disorder)
412,NCT00000794,acute toxoplasmic encephalitis,192701001,Toxoplasma encephalitis (disorder),8.7181,"[40733004, 45170000]","['Infectious disease (disorder)', 'Encephalitis (disorder)']",Infectious disease (disorder)
413,NCT00000794,aids,62479008,Acquired immune deficiency syndrome (disorder),0.0069,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
414,NCT00000794,toxoplasmic encephalitis,192701001,Toxoplasma encephalitis (disorder),6.6046,"[40733004, 45170000]","['Infectious disease (disorder)', 'Encephalitis (disorder)']",Infectious disease (disorder)
421,NCT00000842,hiv-associated sensory neuropathy,1259099000,Autoimmune sensory disorder of nerve (disorder),9.7119,"[85828009, 95662005]","['Autoimmune disease (disorder)', 'Sensory neuropathy (disorder)']",Autoimmune disease (disorder)
422,NCT00000842,painful sensory neuropathy,789588003,Peripheral sensory neuropathy (disorder),5.6944,"[95662005, 302226006]","['Sensory neuropathy (disorder)', 'Peripheral nerve disease (disorder)']",Sensory neuropathy (disorder)
423,NCT00000867,aids dementia complex,421529006,Dementia with acquired immunodeficiency syndrome (disorder),3.6464,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
425,NCT00000945,acquired immunodeficiency syndrome,62479008,Acquired immune deficiency syndrome (disorder),0.0,"[234532001, 40733004]","['Immunodeficiency disorder (disorder)', 'Infectious disease (disorder)']",Immunodeficiency disorder (disorder)
