,nct_id,aact_snomed_term_canonical_conditions,aact_top_concept_canonical_first_conditions
63,NCT00000274,Substance-related disorders|Disorder caused by cocaine (disorder),Substance-related disorders|Disorder caused by cocaine (disorder)
64,NCT00000275,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
65,NCT00000276,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
66,NCT00000277,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
67,NCT00000278,Disorder caused by alcohol (disorder)|Disorder caused by cocaine (disorder),Disorder caused by alcohol (disorder)|Disorder caused by cocaine (disorder)
68,NCT00000279,Substance-related disorders,Substance-related disorders
69,NCT00000280,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
70,NCT00000282,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
71,NCT00000284,Tobacco dependence syndrome (disorder),Psychoactive substance abuse (disorder)
72,NCT00000285,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
73,NCT00000286,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
74,NCT00000288,Tobacco dependence syndrome (disorder),Psychoactive substance abuse (disorder)
75,NCT00000289,Tobacco dependence syndrome (disorder),Psychoactive substance abuse (disorder)
76,NCT00000290,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
77,NCT00000291,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
78,NCT00000292,Substance-related disorders|Substance withdrawal syndrome (disorder)|Disorder caused by cocaine (disorder),Substance-related disorders|Substance withdrawal syndrome (disorder)|Disorder caused by cocaine (disorder)
79,NCT00000293,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
80,NCT00000294,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
81,NCT00000295,Tobacco dependence syndrome (disorder),Psychoactive substance abuse (disorder)
82,NCT00000296,Tobacco dependence syndrome (disorder),Psychoactive substance abuse (disorder)
83,NCT00000297,Tobacco dependence syndrome (disorder),Psychoactive substance abuse (disorder)
84,NCT00000301,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
85,NCT00000303,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
86,NCT00000304,Substance-related disorders|Disorder caused by cocaine (disorder),Substance-related disorders|Disorder caused by cocaine (disorder)
87,NCT00000305,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
88,NCT00000306,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
89,NCT00000307,Disorder caused by alcohol (disorder)|Disorder caused by cocaine (disorder),Disorder caused by alcohol (disorder)|Disorder caused by cocaine (disorder)
90,NCT00000308,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
91,NCT00000309,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
92,NCT00000310,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
93,NCT00000311,Substance-related disorders|Disorder caused by cocaine (disorder),Substance-related disorders|Disorder caused by cocaine (disorder)
94,NCT00000312,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
95,NCT00000313,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
96,NCT00000314,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
97,NCT00000315,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
98,NCT00000316,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
99,NCT00000317,Substance-related disorders|Disorder caused by cocaine (disorder),Substance-related disorders|Disorder caused by cocaine (disorder)
100,NCT00000318,Substance-related disorders,Substance-related disorders
101,NCT00000319,Substance-related disorders,Substance-related disorders
102,NCT00000321,Substance-related disorders,Substance-related disorders
103,NCT00000322,Organic mental disorder caused by amphetamine and/or amfetamine derivative (disorder),Organic mental disorder caused by amphetamine and/or amfetamine derivative (disorder)
104,NCT00000324,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
105,NCT00000332,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
106,NCT00000333,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
107,NCT00000336,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
108,NCT00000337,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
109,NCT00000338,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
110,NCT00000339,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
111,NCT00000340,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
112,NCT00000342,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
113,NCT00000346,Organic mental disorder caused by amphetamine and/or amfetamine derivative (disorder),Organic mental disorder caused by amphetamine and/or amfetamine derivative (disorder)
114,NCT00000347,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
115,NCT00000348,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
116,NCT00000349,Disorder caused by cocaine (disorder),Disorder caused by cocaine (disorder)
117,NCT00000352,Substance-related disorders,Substance-related disorders
118,NCT00000353,Substance-related disorders,Substance-related disorders
119,NCT00000354,Substance-related disorders,Substance-related disorders
120,NCT00000355,Substance-related disorders,Substance-related disorders
121,NCT00000356,Substance-related disorders,Substance-related disorders
122,NCT00000357,Substance-related disorders,Substance-related disorders
123,NCT00000358,Substance-related disorders,Substance-related disorders
124,NCT00000361,Sensorineural hearing loss (disorder),Hearing disorder (disorder)
125,NCT00000367,Depressive disorder (disorder),Depressive disorder (disorder)
126,NCT00000368,Panic disorder (disorder)|Agoraphobia (disorder),Anxiety disorder (disorder)
127,NCT00000369,Bipolar disorder (disorder),Bipolar disorder (disorder)
128,NCT00000371,Schizophrenia (disorder),Schizophrenia (disorder)
129,NCT00000372,Schizophrenia (disorder),Schizophrenia (disorder)
130,NCT00000373,Obsessive-compulsive disorder (disorder),Obsessive-compulsive disorder (disorder)
131,NCT00000374,Schizophrenia (disorder),Schizophrenia (disorder)
132,NCT00000376,Personality disorder (disorder)|Anxiety disorder (disorder)|Depressive disorder (disorder),Personality disorder (disorder)|Anxiety disorder (disorder)|Depressive disorder (disorder)
133,NCT00000377,Depressive disorder (disorder),Depressive disorder (disorder)
134,NCT00000378,Depressive disorder (disorder),Depressive disorder (disorder)
135,NCT00000379,Posttraumatic stress disorder (disorder),Anxiety disorder (disorder)
136,NCT00000380,Disorder of sleep-wake cycle (disorder),Dyssomnia (disorder)
137,NCT00000381,Anxiety disorder (disorder),Anxiety disorder (disorder)
138,NCT00000384,Obsessive-compulsive disorder (disorder),Obsessive-compulsive disorder (disorder)
139,NCT00000385,Aggressive unsocial conduct disorder (disorder),Disruptive behavior disorder (disorder)
140,NCT00000388,Antisocial personality disorder (disorder),Personality disorder (disorder)
141,NCT00000389,Anxiety disorder (disorder)|Obsessive-compulsive disorder (disorder)|Separation anxiety (disorder),Anxiety disorder (disorder)|Obsessive-compulsive disorder (disorder)
142,NCT00000390,Depressive disorder (disorder),Depressive disorder (disorder)
143,NCT00000392,Cognitive disorder (disorder),Cognitive disorder (disorder)
144,NCT00000393,Cognitive disorder (disorder),Cognitive disorder (disorder)
145,NCT00000428,Fibromyalgia (disorder),Fibromyalgia (disorder)
146,NCT00000439,Bipolar disorder (disorder),Bipolar disorder (disorder)
147,NCT00000446,Posttraumatic stress disorder (disorder),Anxiety disorder (disorder)
148,NCT00000448,Eating disorder (disorder),Behavioral syndrome associated with physiological disturbance and physical factors (disorder)
149,NCT00000458,Depressive disorder (disorder),Depressive disorder (disorder)
150,NCT00000469,Cerebrovascular disease (disorder)|Carotid artery stenosis (disorder),Cerebrovascular disease (disorder)|Disorder of carotid artery (disorder)
151,NCT00000479,Cerebrovascular disease (disorder),Cerebrovascular disease (disorder)
152,NCT00000514,Cerebrovascular disease (disorder),Cerebrovascular disease (disorder)
153,NCT00000517,Cerebrovascular disease (disorder)|Cerebrovascular accident (disorder),Cerebrovascular disease (disorder)|Cerebrovascular accident (disorder)
154,NCT00000527,Cerebrovascular disease (disorder)|Carotid artery stenosis (disorder),Cerebrovascular disease (disorder)|Disorder of carotid artery (disorder)
155,NCT00000599,Disorder of carotid artery (disorder)|Cerebrovascular disease (disorder),Disorder of carotid artery (disorder)|Cerebrovascular disease (disorder)
156,NCT00000600,Disorder of carotid artery (disorder)|Cerebrovascular disease (disorder)|Cerebral arteriosclerosis (disorder),Disorder of carotid artery (disorder)|Cerebrovascular disease (disorder)|Cerebral arteriosclerosis (disorder)
157,NCT00000613,Depressive disorder (disorder),Depressive disorder (disorder)
158,NCT00000639,Cryptococcal meningitis (disorder),Infectious disease of central nervous system (disorder)
159,NCT00000643,Toxoplasma encephalitis (disorder),Infectious disease of central nervous system (disorder)
160,NCT00000648,Neurosyphilis (disorder),Infectious disease of central nervous system (disorder)
161,NCT00000657,Dementia with acquired immunodeficiency syndrome (disorder),Dementia with acquired immunodeficiency syndrome (disorder)
162,NCT00000666,Toxoplasma encephalitis (disorder),Infectious disease of central nervous system (disorder)
163,NCT00000674,Toxoplasma encephalitis (disorder),Infectious disease of central nervous system (disorder)
164,NCT00000677,Cryptococcal meningitis (disorder),Infectious disease of central nervous system (disorder)
165,NCT00000702,Dementia with acquired immunodeficiency syndrome (disorder),Dementia with acquired immunodeficiency syndrome (disorder)
166,NCT00000708,Cryptococcal meningitis (disorder),Infectious disease of central nervous system (disorder)
167,NCT00000709,Dementia with acquired immunodeficiency syndrome (disorder),Dementia with acquired immunodeficiency syndrome (disorder)
168,NCT00000738,Dementia with acquired immunodeficiency syndrome (disorder),Dementia with acquired immunodeficiency syndrome (disorder)
169,NCT00000776,Cryptococcal meningitis (disorder),Infectious disease of central nervous system (disorder)
170,NCT00000793,Disorder of the peripheral nervous system (disorder),Disorder of the peripheral nervous system (disorder)
171,NCT00000794,Toxoplasma encephalitis (disorder),Infectious disease of central nervous system (disorder)
172,NCT00000817,Disorder of the peripheral nervous system (disorder),Disorder of the peripheral nervous system (disorder)
173,NCT00000842,Disorder of the peripheral nervous system (disorder),Disorder of the peripheral nervous system (disorder)
174,NCT00000867,Dementia with acquired immunodeficiency syndrome (disorder),Dementia with acquired immunodeficiency syndrome (disorder)
175,NCT00000945,Progressive multifocal leukoencephalopathy (disorder),Infectious disease of central nervous system (disorder)
176,NCT00000966,Toxoplasma encephalitis (disorder),Infectious disease of central nervous system (disorder)
177,NCT00000973,Toxoplasma encephalitis (disorder),Infectious disease of central nervous system (disorder)
178,NCT00001017,Cryptococcal meningitis (disorder),Infectious disease of central nervous system (disorder)
179,NCT00001048,Progressive multifocal leukoencephalopathy (disorder),Infectious disease of central nervous system (disorder)
180,NCT00001146,Mood disorder (disorder)|Bipolar disorder (disorder),Mood disorder (disorder)|Bipolar disorder (disorder)
181,NCT00001234,Glucosylceramide beta-glucosidase deficiency (disorder),Sphingolipidosis (disorder)
182,NCT00001251,Neoplasm of meninges (disorder),Neoplasm of nervous system (disorder)
183,NCT00001261,Polymyositis (disorder)|Inclusion body myositis (disorder)|Dermatomyositis (disorder),Myositis (disorder)
184,NCT00001262,Menkes kinky-hair syndrome (disorder),Hereditary disorder of nervous system (disorder)
185,NCT00001287,Demyelinating disease of central nervous system (disorder),Demyelinating disease of central nervous system (disorder)
186,NCT00001328,Neoplasm of brain (disorder),Neoplasm of nervous system (disorder)
187,NCT00001333,Neoplasm of meninges (disorder),Neoplasm of nervous system (disorder)
188,NCT00001344,Cranial neuralgia (disorder)|Neuropathy due to diabetes mellitus (disorder),Cranial neuralgia (disorder)|Neuropathy due to diabetes mellitus (disorder)
189,NCT00001365,Parkinson's disease (disorder)|Degenerative brain disorder (disorder),Parkinsonism (disorder)|Degenerative brain disorder (disorder)
190,NCT00001410,Glucosylceramide beta-glucosidase deficiency (disorder),Sphingolipidosis (disorder)
191,NCT00001416,Glucosylceramide beta-glucosidase deficiency (disorder),Sphingolipidosis (disorder)
192,NCT00001421,Polymyositis (disorder)|Dermatomyositis (disorder),Myositis (disorder)
193,NCT00001482,Mood disorder (disorder)|Anxiety disorder (disorder)|Psychotic disorder (disorder),Mood disorder (disorder)|Anxiety disorder (disorder)|Psychotic disorder (disorder)
194,NCT00001483,Depressive disorder (disorder)|Bipolar disorder (disorder),Depressive disorder (disorder)|Bipolar disorder (disorder)
195,NCT00001487,Depressive disorder (disorder)|Mood disorder (disorder),Depressive disorder (disorder)|Mood disorder (disorder)
196,NCT00001502,Neoplasm of brain (disorder),Neoplasm of nervous system (disorder)
197,NCT00001520,General paresis - neurosyphilis (disorder),Infectious disease of central nervous system (disorder)
198,NCT00001550,Stiff person spectrum disorder (disorder)|Spasm of cerebral arteries (disorder)|Muscle strain (disorder),Spinal cord disorder (disorder)|Spasm of cerebral arteries (disorder)|Muscle strain (disorder)
199,NCT00001565,Neoplasm of brain (disorder),Neoplasm of nervous system (disorder)
200,NCT00001656,Asperger's disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder),Pervasive developmental disorder (disorder)|Psychotic disorder (disorder)|Schizophrenia (disorder)
201,NCT00001658,Tic disorder (disorder)|Obsessive-compulsive disorder (disorder)|Mental disorder (disorder),Tic disorder (disorder)|Obsessive-compulsive disorder (disorder)|Mental disorder (disorder)
202,NCT00001662,Alzheimer's disease (disorder)|Dementia (disorder),Alzheimer's disease (disorder)|Dementia (disorder)
203,NCT00001669,Multiple sclerosis (disorder),Multiple sclerosis (disorder)
204,NCT00001723,Sleep apnea (disorder),Sleep apnea (disorder)
205,NCT00001725,Nervus intermedius neuralgia (disorder)|Trigeminal neuralgia (disorder),Facial nerve disorder (disorder)|Trigeminal nerve disorder (disorder)
206,NCT00001768,Neurodevelopmental disorder (disorder)|Schizophrenia (disorder),Neurodevelopmental disorder (disorder)|Schizophrenia (disorder)
207,NCT00001777,Dementia (disorder),Dementia (disorder)
208,NCT00001781,Multiple sclerosis (disorder),Multiple sclerosis (disorder)
209,NCT00001783,General paresis - neurosyphilis (disorder)|Cerebrovascular accident (disorder),Infectious disease of central nervous system (disorder)|Cerebrovascular accident (disorder)
210,NCT00001784,Spasm of cerebral arteries (disorder)|Dystonia (disorder),Spasm of cerebral arteries (disorder)|Dystonia (disorder)
211,NCT00001785,Myelopathy caused by Human T-lymphotropic virus 1 (disorder)|Spinal cord disorder (disorder),Infectious disease of central nervous system (disorder)|Spinal cord disorder (disorder)
212,NCT00001860,Acromegaly (disorder)|Neoplasm of pituitary gland (disorder),Disorder of pituitary gland (disorder)
213,NCT00001864,Amblyopia (disorder)|Strabismus (disorder),Disorder of vision (disorder)|Strabismus (disorder)
214,NCT00001925,Essential tremor (disorder),Essential tremor (disorder)
215,NCT00001929,Movement disorder (disorder)|Parkinson's disease (disorder),Movement disorder (disorder)|Parkinsonism (disorder)
216,NCT00001930,Chorea (disorder)|Huntington's chorea (disorder),Chorea (disorder)|Dystonia (disorder)
217,NCT00001931,Parkinson's disease (disorder),Parkinsonism (disorder)
218,NCT00001933,Alzheimer's disease (disorder),Alzheimer's disease (disorder)
219,NCT00001934,Multiple sclerosis (disorder),Multiple sclerosis (disorder)
220,NCT00001956,Central pain syndrome (disorder),Central pain syndrome (disorder)
221,NCT00001986,Essential tremor (disorder),Essential tremor (disorder)
222,NCT00001994,Toxoplasma encephalitis (disorder),Infectious disease of central nervous system (disorder)
223,NCT00002010,Meningitis (disorder),Meningitis (disorder)
224,NCT00002019,Cryptococcal meningitis (disorder),Infectious disease of central nervous system (disorder)
225,NCT00002040,Cryptococcal meningitis (disorder),Infectious disease of central nervous system (disorder)
226,NCT00002044,Combined disorder of muscle AND peripheral nerve (disorder)|Dementia with acquired immunodeficiency syndrome (disorder),Combined disorder of muscle AND peripheral nerve (disorder)|Dementia with acquired immunodeficiency syndrome (disorder)
227,NCT00002064,Toxoplasma encephalitis (disorder),Infectious disease of central nervous system (disorder)
228,NCT00002068,Cryptococcal meningitis (disorder),Infectious disease of central nervous system (disorder)
229,NCT00002074,Cryptococcal meningitis (disorder),Infectious disease of central nervous system (disorder)
230,NCT00002075,Cryptococcal meningitis (disorder),Infectious disease of central nervous system (disorder)
231,NCT00002076,Cryptococcal meningitis (disorder),Infectious disease of central nervous system (disorder)
232,NCT00002077,Cryptococcal meningitis (disorder),Infectious disease of central nervous system (disorder)
233,NCT00002083,Disorder of the peripheral nervous system (disorder),Disorder of the peripheral nervous system (disorder)
234,NCT00002113,Cryptococcal meningitis (disorder),Infectious disease of central nervous system (disorder)
235,NCT00002163,Dementia with acquired immunodeficiency syndrome (disorder),Dementia with acquired immunodeficiency syndrome (disorder)
236,NCT00002209,Dementia with acquired immunodeficiency syndrome (disorder),Dementia with acquired immunodeficiency syndrome (disorder)
237,NCT00002246,Dementia with acquired immunodeficiency syndrome (disorder),Dementia with acquired immunodeficiency syndrome (disorder)
238,NCT00002270,Progressive multifocal leukoencephalopathy (disorder),Infectious disease of central nervous system (disorder)
239,NCT00002274,Progressive multifocal leukoencephalopathy (disorder),Infectious disease of central nervous system (disorder)
240,NCT00002294,Cryptococcal meningitis (disorder),Infectious disease of central nervous system (disorder)
241,NCT00002305,Cryptococcal meningitis (disorder),Infectious disease of central nervous system (disorder)
242,NCT00002306,Cryptococcal meningitis (disorder),Infectious disease of central nervous system (disorder)
243,NCT00002316,Cryptococcal meningitis (disorder),Infectious disease of central nervous system (disorder)
244,NCT00002395,Progressive multifocal leukoencephalopathy (disorder),Infectious disease of central nervous system (disorder)
245,NCT00002520,Tobacco dependence syndrome (disorder),Psychoactive substance abuse (disorder)
246,NCT00002594,Neoplasm of central nervous system (disorder)|Neoplasm of brain (disorder),Neoplasm of nervous system (disorder)
247,NCT00002875,Neoplasm of central nervous system (disorder)|Neoplasm of brain (disorder),Neoplasm of nervous system (disorder)
248,NCT00002944,Neoplasm of central nervous system (disorder)|Neoplasm of brain (disorder),Neoplasm of nervous system (disorder)
249,NCT00003141,Neoplasm of central nervous system (disorder)|Neoplasm of brain (disorder),Neoplasm of nervous system (disorder)
250,NCT00003203,Neoplasm of central nervous system (disorder)|Neoplasm of brain (disorder),Neoplasm of nervous system (disorder)
251,NCT00003483,Intracranial meningioma (disorder),Neoplasm of nervous system (disorder)
252,NCT00003514,Neoplasm of pituitary gland (disorder),Disorder of pituitary gland (disorder)
253,NCT00003573,Neoplasm of central nervous system (disorder)|Neoplasm of brain (disorder),Neoplasm of nervous system (disorder)
254,NCT00003625,Neoplasm of central nervous system (disorder)|Neoplasm of brain (disorder),Neoplasm of nervous system (disorder)
255,NCT00003935,Neoplasm of central nervous system (disorder)|Neoplasm of brain (disorder),Neoplasm of nervous system (disorder)
256,NCT00004268,Orthostatic hypotension (disorder),Orthostatic hypotension (disorder)
257,NCT00004286,Chronic inflammatory demyelinating polyradiculoneuropathy (disorder),Polyneuropathy (disorder)
258,NCT00004293,Glucosylceramide beta-glucosidase deficiency (disorder),Sphingolipidosis (disorder)
259,NCT00004294,Glucosylceramide beta-glucosidase deficiency (disorder),Sphingolipidosis (disorder)
260,NCT00004297,Epilepsy (disorder),Seizure disorder (disorder)
261,NCT00004300,Intellectual disability (disorder),Intellectual disability (disorder)
262,NCT00004310,Obsessive-compulsive disorder (disorder),Obsessive-compulsive disorder (disorder)
263,NCT00004314,Lesch-Nyhan syndrome (disorder),Lesch-Nyhan syndrome (disorder)
264,NCT00004338,Wilson's disease (disorder),Chorea (disorder)
265,NCT00004339,Wilson's disease (disorder),Chorea (disorder)
266,NCT00004357,Dermatomyositis (disorder),Myositis (disorder)
267,NCT00004373,Anxiety disorder (disorder)|Panic disorder (disorder),Anxiety disorder (disorder)
268,NCT00004376,Gilles de la Tourette's syndrome (disorder),Tic disorder (disorder)
269,NCT00004386,Ornithine carbamoyltransferase deficiency (disorder),Disorder of the urea cycle metabolism (disorder)
270,NCT00004393,Gilles de la Tourette's syndrome (disorder),Tic disorder (disorder)
271,NCT00004401,Infection caused by Clostridium botulinum (disorder),Infection caused by Clostridium botulinum (disorder)
272,NCT00004403,Epilepsy (disorder),Seizure disorder (disorder)
273,NCT00004407,Neuropathy due to diabetes mellitus (disorder),Neuropathy due to diabetes mellitus (disorder)
274,NCT00004418,Adrenoleukodystrophy (disorder),Hereditary disorder of nervous system (disorder)
275,NCT00004431,Trigeminal neuralgia (disorder),Trigeminal nerve disorder (disorder)
276,NCT00004433,Gilles de la Tourette's syndrome (disorder),Tic disorder (disorder)
277,NCT00004442,Adrenoleukodystrophy (disorder)|Zellweger syndrome (disorder)|Infantile Refsum's disease (disorder),Hereditary disorder of nervous system (disorder)|Zellweger syndrome (disorder)|Infantile Refsum's disease (disorder)
278,NCT00004446,Depersonalization disorder (disorder),Dissociative disorder (disorder)
279,NCT00004450,Adrenoleukodystrophy (disorder),Hereditary disorder of nervous system (disorder)
280,NCT00004451,Parkinson's disease (disorder),Parkinsonism (disorder)
281,NCT00004454,Mucopolysaccharidosis type II (disorder),Mucopolysaccharidosis type II (disorder)
282,NCT00004478,Orthostatic hypotension (disorder)|Multiple system atrophy (disorder),Orthostatic hypotension (disorder)|Disorder of autonomic nervous system (disorder)
283,NCT00004479,Near syncope (disorder),Near syncope (disorder)
284,NCT00004480,Hyperhidrosis (disorder),Hyperhidrosis (disorder)
285,NCT00004488,Glucosylceramide beta-glucosidase deficiency (disorder),Sphingolipidosis (disorder)
286,NCT00004498,Ornithine carbamoyltransferase deficiency (disorder),Disorder of the urea cycle metabolism (disorder)
287,NCT00004554,Depressive disorder (disorder),Depressive disorder (disorder)
288,NCT00004576,Movement disorder (disorder)|Parkinson's disease (disorder),Movement disorder (disorder)|Parkinsonism (disorder)
289,NCT00004637,Epilepsy (disorder),Seizure disorder (disorder)
290,NCT00004646,Duchenne muscular dystrophy (disorder),Muscular dystrophy (disorder)
291,NCT00004647,Phantom limb syndrome without pain (disorder)|Neuropathy due to diabetes mellitus (disorder),Phantom limb (disorder)|Neuropathy due to diabetes mellitus (disorder)
292,NCT00004652,Gilles de la Tourette's syndrome (disorder),Tic disorder (disorder)
293,NCT00004682,Myasthenia gravis (disorder),Neuromuscular junction disorder (disorder)
294,NCT00004685,Facioscapulohumeral muscular dystrophy (disorder),Muscular dystrophy (disorder)
295,NCT00004686,Giant cell arteritis (disorder),Giant cell arteritis (disorder)
296,NCT00004727,Cerebral infarction (disorder)|Cerebrovascular accident (disorder),Cerebral infarction (disorder)|Cerebrovascular accident (disorder)
