,nct_id,start_date,start_year,allocation,masking,were_results_reported,lead_or_collaborator,sponsor_name,agency_class,phase,agency_class_refined
116056,NCT00031590,2001-04-30,2001.0,,None (Open Label),True,lead,Children's Hospital of Philadelphia,OTHER,Phase 2,HOSPITAL
116119,NCT00031798,2002-04-01,2002.0,Randomized,Double,False,lead,Wake Forest University Health Sciences,OTHER,Phase 3,UNIVERSITY
116244,NCT00032734,2001-06-30,2001.0,Randomized,Double,False,lead,Sanofi,INDUSTRY,Phase 2,INDUSTRY
116346,NCT00032916,2001-06-30,2001.0,Randomized,Double,False,lead,National Institute on Drug Abuse (NIDA),NIH,Phase 1,NIH
116350,NCT00032929,2001-03-31,2001.0,Randomized,Quadruple,False,lead,National Institute on Drug Abuse (NIDA),NIH,Phase 3,NIH
116414,NCT00032955,2001-02-28,2001.0,,None (Open Label),False,lead,"University of California, Los Angeles",OTHER,Phase 3,UNIVERSITY
116438,NCT00032968,2001-01-31,2001.0,Randomized,None (Open Label),False,lead,"University of California, Los Angeles",OTHER,Phase 3,UNIVERSITY
116524,NCT00033033,2001-07-31,2001.0,Randomized,Quadruple,False,lead,National Institute on Drug Abuse (NIDA),NIH,Phase 2,NIH
116548,NCT00033046,2001-06-30,2001.0,,Double,False,lead,National Institute on Drug Abuse (NIDA),NIH,Phase 1,NIH
116552,NCT00033059,2001-07-31,2001.0,Randomized,Double,False,lead,National Institute on Drug Abuse (NIDA),NIH,Phase 1,NIH
116554,NCT00033072,2001-09-30,2001.0,Randomized,Single,False,lead,National Institute on Drug Abuse (NIDA),NIH,Phase 1,NIH
116556,NCT00033085,2001-05-31,2001.0,Randomized,Double,False,lead,National Institute on Drug Abuse (NIDA),NIH,Phase 2,NIH
116562,NCT00033098,2001-11-30,2001.0,,Double,False,lead,National Institute on Drug Abuse (NIDA),NIH,Phase 1,NIH
116568,NCT00033111,2001-06-30,2001.0,Randomized,Triple,False,lead,National Institute on Drug Abuse (NIDA),NIH,Phase 2,NIH
116600,NCT00033189,2001-09-30,2001.0,Non-Randomized,None (Open Label),False,lead,Cooperative International Neuromuscular Research Group,NETWORK,Phase 2,NETWORK
116606,NCT00033813,2002-01-31,2002.0,Non-Randomized,None (Open Label),False,lead,Cooperative International Neuromuscular Research Group,NETWORK,Phase 2,NETWORK
116613,NCT00033891,2002-04-10,2002.0,Randomized,Quadruple,False,lead,National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS),NIH,Phase 2,NIH
116619,NCT00034021,2002-06-30,2002.0,Randomized,Double,False,lead,National Center for Complementary and Integrative Health (NCCIH),NIH,Phase 2,NIH
116623,NCT00034229,2002-04-30,2002.0,,,False,lead,National Institute of Mental Health (NIMH),NIH,Phase 2,NIH
116625,NCT00034242,2002-04-30,2002.0,,,False,lead,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Phase 2,NIH
116628,NCT00034580,2001-08-31,2001.0,Randomized,Double,False,lead,Eli Lilly and Company,INDUSTRY,Phase 4,INDUSTRY
116670,NCT00034697,2001-06-28,2001.0,Randomized,Double,False,lead,Merck Sharp & Dohme LLC,INDUSTRY,Phase 2,INDUSTRY
116680,NCT00034710,2002-03-31,2002.0,Randomized,Double,False,lead,NeurogesX,INDUSTRY,Phase 2,INDUSTRY
116744,NCT00034749,2001-04-30,2001.0,Randomized,Double,False,lead,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY,Phase 3,INDUSTRY
116768,NCT00034762,2000-12-31,2000.0,Randomized,Double,False,lead,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY,Phase 3,INDUSTRY
116776,NCT00034775,2001-08-31,2001.0,Non-Randomized,None (Open Label),False,lead,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY,Phase 3,INDUSTRY
116781,NCT00034788,2000-12-31,2000.0,Randomized,Double,False,lead,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY,Phase 3,INDUSTRY
116787,NCT00034801,2001-09-30,2001.0,Randomized,Double,False,lead,Eli Lilly and Company,INDUSTRY,Phase 4,INDUSTRY
116997,NCT00034814,2002-01-31,2002.0,,,False,lead,"Teva Branded Pharmaceutical Products R&D, Inc.",INDUSTRY,Phase 2,INDUSTRY
117003,NCT00034892,2002-03-31,2002.0,Randomized,Double,False,lead,AstraZeneca,INDUSTRY,Phase 3,INDUSTRY
117835,NCT00034905,2001-07-31,2001.0,,,False,lead,AstraZeneca,INDUSTRY,Phase 4,INDUSTRY
118033,NCT00035191,2001-10-31,2001.0,Randomized,Double,False,lead,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY,Phase 3,INDUSTRY
118105,NCT00035230,2001-07-31,2001.0,Randomized,Double,False,lead,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY,Phase 3,INDUSTRY
118117,NCT00035412,2001-12-31,2001.0,Randomized,Double,False,lead,National Center for Complementary and Integrative Health (NCCIH),NIH,Phase 2,NIH
118119,NCT00035438,2002-05-31,2002.0,Randomized,Double,False,lead,National Center for Complementary and Integrative Health (NCCIH),NIH,Phase 2,NIH
118123,NCT00035529,2001-11-30,2001.0,Randomized,Double,False,lead,Bristol-Myers Squibb,INDUSTRY,Phase 2,INDUSTRY
118153,NCT00035802,2002-01-31,2002.0,Randomized,Quadruple,False,lead,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY,Phase 3,INDUSTRY
118161,NCT00035815,2003-06-30,2003.0,Randomized,Quadruple,True,lead,Mayo Clinic,OTHER,Phase 3,OTHER
118641,NCT00035958,2002-08-31,2002.0,Randomized,None (Open Label),False,lead,"Children's Hospital Medical Center, Cincinnati",OTHER,Phase 2/Phase 3,HOSPITAL
118650,NCT00036088,2001-08-31,2001.0,Randomized,Double,False,lead,Eli Lilly and Company,INDUSTRY,Phase 4,INDUSTRY
120810,NCT00036101,2002-02-28,2002.0,,,False,lead,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY,Phase 3,INDUSTRY
120864,NCT00036114,2000-03-31,2000.0,,,False,lead,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY,Phase 3,INDUSTRY
120987,NCT00036127,2002-04-30,2002.0,,,False,lead,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY,Phase 2/Phase 3,INDUSTRY
121035,NCT00036205,2000-08-31,2000.0,Non-Randomized,None (Open Label),False,lead,Pfizer,INDUSTRY,Phase 3,INDUSTRY
122355,NCT00036218,2001-12-31,2001.0,Randomized,Double,False,lead,Pfizer,INDUSTRY,Phase 3,INDUSTRY
123579,NCT00036296,2006-12-31,2006.0,Randomized,Quadruple,False,lead,"Teva Branded Pharmaceutical Products R&D, Inc.",INDUSTRY,Phase 1/Phase 2,INDUSTRY
123597,NCT00036309,2002-05-31,2002.0,,,False,lead,Eli Lilly and Company,INDUSTRY,Phase 3,INDUSTRY
123599,NCT00036335,2002-03-31,2002.0,Randomized,Double,False,lead,Eli Lilly and Company,INDUSTRY,Phase 3,INDUSTRY
123674,NCT00036348,2000-03-31,2000.0,,,False,lead,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY,Phase 3,INDUSTRY
123712,NCT00036361,2002-07-31,2002.0,Non-Randomized,None (Open Label),False,lead,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY,Phase 3,INDUSTRY
123722,NCT00036413,2002-01-31,2002.0,Randomized,Double,False,lead,Novartis Pharmaceuticals,INDUSTRY,Phase 2,INDUSTRY
123725,NCT00036582,2002-05-31,2002.0,,,False,lead,National Institute of Mental Health (NIMH),NIH,Phase 3,NIH
123727,NCT00036881,2002-05-31,2002.0,Randomized,Double,False,lead,Alliance for Clinical Trials in Oncology,OTHER,Phase 3,OTHER
123765,NCT00037102,2001-07-31,2001.0,,None (Open Label),False,lead,MidAmerica Neuroscience Research Foundation at Rowe Neurology Institute,OTHER,Phase 4,OTHER
123774,NCT00037115,2002-05-31,2002.0,Non-Randomized,None (Open Label),False,lead,MidAmerica Neuroscience Research Foundation at Rowe Neurology Institute,OTHER,Phase 4,OTHER
123834,NCT00037674,2001-01-31,2001.0,Randomized,Double,False,lead,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY,Phase 3,INDUSTRY
123872,NCT00038389,2001-10-31,2001.0,Non-Randomized,None (Open Label),False,lead,M.D. Anderson Cancer Center,OTHER,Phase 1,OTHER
123919,NCT00038896,2001-04-30,2001.0,,,False,lead,Wyeth is now a wholly owned subsidiary of Pfizer,INDUSTRY,Phase 3,INDUSTRY
123923,NCT00039832,2002-03-31,2002.0,,,False,lead,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Phase 2,NIH
123947,NCT00039988,2001-11-30,2001.0,Randomized,Double,False,lead,National Institute of Allergy and Infectious Diseases (NIAID),NIH,Not Applicable,NIH
123955,NCT00040040,2002-06-30,2002.0,Randomized,Double,False,lead,National Institute on Drug Abuse (NIDA),NIH,Phase 1,NIH
123963,NCT00040053,2002-06-30,2002.0,Randomized,Double,False,lead,National Institute on Drug Abuse (NIDA),NIH,Phase 2,NIH
123991,NCT00040209,2002-06-30,2002.0,,,False,lead,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Phase 2,NIH
123994,NCT00040261,2002-06-30,2002.0,,,False,lead,National Institute of Mental Health (NIMH),NIH,Phase 3,NIH
123996,NCT00040326,2002-07-31,2002.0,Randomized,Double,False,lead,"University of California, Los Angeles",OTHER,Phase 3,UNIVERSITY
124144,NCT00040404,2002-03-31,2002.0,Randomized,Quadruple,False,lead,Cephalon,INDUSTRY,Phase 2/Phase 3,INDUSTRY
125947,NCT00040573,2002-06-30,2002.0,Non-Randomized,None (Open Label),False,lead,TransMolecular,INDUSTRY,Phase 1/Phase 2,INDUSTRY
126049,NCT00041392,2001-12-31,2001.0,Randomized,Triple,True,lead,Duke University,OTHER,Phase 2,UNIVERSITY
126061,NCT00041535,2002-07-05,2002.0,,,False,lead,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Phase 2,NIH
126073,NCT00041678,2000-01-31,2000.0,,,False,lead,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY,Phase 3,INDUSTRY
126091,NCT00041717,2002-07-31,2002.0,Randomized,Double,True,lead,Acorda Therapeutics,INDUSTRY,Phase 3,INDUSTRY
126633,NCT00041795,2002-01-31,2002.0,Randomized,Double,False,lead,NeoTherapeutics,INDUSTRY,Phase 2,INDUSTRY
126657,NCT00041938,2002-10-31,2002.0,Randomized,Double,True,lead,Columbia University,OTHER,Phase 3,UNIVERSITY
128193,NCT00042146,2001-12-31,2001.0,Randomized,None (Open Label),False,lead,Laval University,OTHER,Phase 4,UNIVERSITY
128211,NCT00042172,2002-06-30,2002.0,Randomized,Double,False,lead,University of Iowa,OTHER,Phase 4,UNIVERSITY
128237,NCT00042224,2000-12-31,2000.0,Randomized,Single,True,lead,Northwell Health,OTHER,Phase 1/Phase 2,OTHER
128243,NCT00042237,2001-09-30,2001.0,Randomized,None (Open Label),False,lead,Butler Hospital,OTHER,Phase 1,HOSPITAL
128247,NCT00042367,2000-04-04,2000.0,Non-Randomized,None (Open Label),False,lead,Baylor College of Medicine,OTHER,Not Applicable,OTHER
128328,NCT00042380,2002-07-31,2002.0,,,False,lead,National Institute of Mental Health (NIMH),NIH,Phase 2,NIH
128336,NCT00043550,2001-11-30,2001.0,Randomized,Quadruple,True,lead,University of Pennsylvania,OTHER,Phase 3,UNIVERSITY
128346,NCT00043589,2002-06-30,2002.0,Randomized,Double,False,lead,Stanford University,OTHER,Not Applicable,UNIVERSITY
128358,NCT00043654,2002-08-07,2002.0,,,False,lead,National Institute of Mental Health (NIMH),NIH,Phase 2,NIH
128384,NCT00043849,2002-07-31,2002.0,Randomized,Double,False,lead,National Institute on Aging (NIA),NIH,Phase 4,NIH
128510,NCT00043875,2000-05-31,2000.0,Randomized,Double,False,lead,GlaxoSmithKline,INDUSTRY,Phase 2,INDUSTRY
131435,NCT00043901,2000-12-01,2000.0,Randomized,Double,False,lead,GlaxoSmithKline,INDUSTRY,Phase 4,INDUSTRY
132479,NCT00043914,2002-01-14,2002.0,,None (Open Label),False,lead,GlaxoSmithKline,INDUSTRY,Phase 4,INDUSTRY
132482,NCT00044005,2002-09-30,2002.0,Randomized,None (Open Label),True,lead,"Sumitomo Pharma America, Inc.",INDUSTRY,Phase 2,INDUSTRY
132560,NCT00044044,2002-07-31,2002.0,Randomized,Triple,True,lead,"Sumitomo Pharma America, Inc.",INDUSTRY,Phase 2,INDUSTRY
132662,NCT00044070,2000-12-31,2000.0,Randomized,Double,False,lead,Astellas Pharma Inc,INDUSTRY,Phase 2,INDUSTRY
135866,NCT00044083,2002-08-31,2002.0,Randomized,Triple,True,lead,National Institute of Mental Health (NIMH),NIH,Phase 2,NIH
135873,NCT00044187,2001-04-30,2001.0,Randomized,Double,False,lead,Eli Lilly and Company,INDUSTRY,Phase 4,INDUSTRY
135985,NCT00044278,2000-09-30,2000.0,Non-Randomized,None (Open Label),False,lead,GlaxoSmithKline,INDUSTRY,Phase 2,INDUSTRY
139345,NCT00044395,2002-07-31,2002.0,Randomized,Double,False,lead,Eli Lilly and Company,INDUSTRY,Phase 3,INDUSTRY
141100,NCT00044408,2002-07-31,2002.0,Randomized,Double,False,lead,"Chromaderm, Inc.",INDUSTRY,Phase 3,INDUSTRY
142500,NCT00044421,2002-07-31,2002.0,Randomized,Double,False,lead,Eli Lilly and Company,INDUSTRY,Phase 3,INDUSTRY
146760,NCT00044616,2001-02-28,2001.0,Randomized,Double,False,lead,University of Pennsylvania,OTHER,Phase 4,UNIVERSITY
146768,NCT00044629,2001-09-30,2001.0,Randomized,Double,False,lead,Duke University,OTHER,Phase 2,UNIVERSITY
146774,NCT00044642,2000-12-31,2000.0,Randomized,Double,False,lead,Nathan Kline Institute for Psychiatric Research,OTHER,Phase 4,OTHER
146786,NCT00044655,2001-07-31,2001.0,Randomized,Single,True,lead,Icahn School of Medicine at Mount Sinai,OTHER,Phase 4,OTHER
146792,NCT00044681,2002-10-31,2002.0,Randomized,Double,False,lead,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY,Phase 3,INDUSTRY
146802,NCT00044772,2001-11-30,2001.0,,,False,lead,Wyeth is now a wholly owned subsidiary of Pfizer,INDUSTRY,Phase 3,INDUSTRY
146804,NCT00044798,2001-09-30,2001.0,Randomized,Triple,False,lead,University of Iowa,OTHER,Phase 3,UNIVERSITY
146812,NCT00044915,2000-12-31,2000.0,Randomized,Double,False,lead,Bayer,INDUSTRY,Phase 2,INDUSTRY
153960,NCT00045916,2001-02-28,2001.0,Randomized,Triple,False,lead,New York State Psychiatric Institute,OTHER,Phase 4,OTHER
154008,NCT00045968,2006-12-31,2006.0,Randomized,Quadruple,False,lead,Northwest Biotherapeutics,INDUSTRY,Phase 3,INDUSTRY
157110,NCT00046163,2002-09-05,2002.0,Randomized,Double,False,lead,Shire,INDUSTRY,Phase 4,INDUSTRY
157119,NCT00046293,2002-09-24,2002.0,,,False,lead,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Phase 2,NIH
157128,NCT00046358,2002-09-30,2002.0,,,False,lead,National Institute of Mental Health (NIMH),NIH,Phase 4,NIH
157176,NCT00046722,2003-01-31,2003.0,Randomized,Double,False,lead,Center for Medicinal Cannabis Research,OTHER,Phase 1/Phase 2,OTHER
157180,NCT00046761,2002-11-30,2002.0,Randomized,Double,False,lead,Ono Pharma USA Inc,INDUSTRY,Phase 2/Phase 3,INDUSTRY
