,nct_id,canonical_BioLinkBERT-base_interventions,canonical_aact_interventions,aact_intervention_types,canonical_BioLinkBERT-base_conditions,canonical_aact_conditions,Disease Class
20,NCT00000361,cyclophosphamide|methotrexate|prednisone,methotrexate|corticosteroids,Drug,autoimmune inner ear disease|hearing loss|rapidly progressive sensorineural hearing loss,"hearing loss, sensorineural",Neurologic Manifestations
21,NCT00000368,paroxetine,,Behavioral,agoraphobia|panic disorder|pd,agoraphobia,Diseases of the nervous system
22,NCT00000368,paroxetine,paroxetine or other medication - algorithm used,Drug,agoraphobia|panic disorder|pd,agoraphobia,Diseases of the nervous system
23,NCT00000371,antipsychotic|antipsychotics|conventional|cycloserine,cycloserine,Drug,negative symptoms|schizophrenia|schizophrenic,schizophrenia,Diseases of the nervous system
24,NCT00000372,clozapine|cycloserine|glycine,clozapine|glycine|cycloserine,Drug,schizophrenia|schizophrenic,schizophrenia,Diseases of the nervous system
25,NCT00000374,antipsychotic|olanzapine|risperidone,risperidone|olanzapine,Drug,first-episode schizophrenia,schizophrenia,Diseases of the nervous system
26,NCT00000428,amitriptyline|fl|fluoxetine,amitriptyline plus fluoxitine|amitriptyline,Drug,fibromyalgia,fibromyalgia,Neuromuscular Diseases
27,NCT00000469,lovastatin|warfarin,lovastatin|aspirin|acetylsalicylic acid,Drug,asymptomatic carotid stenosis|atherosclerotic plaques,cerebrovascular disorders|carotid stenosis,Central Nervous System Diseases
28,NCT00000479,acetylsalicylic acid|aspirin|vitamin e,,Behavioral,cancer|cardiovascular disease,cerebrovascular disorders,Central Nervous System Diseases
29,NCT00000479,acetylsalicylic acid|aspirin|vitamin e,vitamin e|aspirin|acetylsalicylic acid,Drug,cancer|cardiovascular disease,cerebrovascular disorders,Central Nervous System Diseases
30,NCT00000514,,atenolol|chlorthalidone|reserpine,Drug,isolated systolic hypertension|stroke,cerebrovascular disorders,Central Nervous System Diseases
31,NCT00000517,oral anticoagulant,warfarin,Drug,atrial fibrillation|embolic stroke|rheumatic heart disease|systemic emboli,cerebrovascular disorders|stroke,Central Nervous System Diseases
32,NCT00000527,platelet-inhibiting drugs,dipyridamole|aspirin|acetylsalicylic acid,Drug,carotid endarterectomy|recurrent stenosis,cerebrovascular disorders|carotid stenosis,Central Nervous System Diseases
33,NCT00000599,colestipol hydrochloride|lipid lowering|niacin,,Behavioral,"atherosclerosis|coronary bypass graft lesions|coronary, carotid, and femoral artery atherosclerosis",cerebrovascular disorders|carotid artery diseases,Central Nervous System Diseases
34,NCT00000599,colestipol hydrochloride|lipid lowering|niacin,colestipol|niacin,Drug,"atherosclerosis|coronary bypass graft lesions|coronary, carotid, and femoral artery atherosclerosis",cerebrovascular disorders|carotid artery diseases,Central Nervous System Diseases
35,NCT00000600,antioxidants|vitamin e,vitamin c|ascorbic acid|vitamin e,Drug,common carotid artery intima-media thickening|early atherosclerosis,cerebrovascular disorders|carotid artery diseases|intracranial arteriosclerosis,Central Nervous System Diseases
36,NCT00000639,amphotericin b|fluconazole|flucytosine|itraconazole,amphotericin b|flucytosine|fluconazole|itraconazole,Drug,acute cryptococcal meningitis|aids|cryptococcus neoformans|hiv infection|meningitis,"meningitis, cryptococcal",Central Nervous System Diseases
37,NCT00000643,leucovorin calcium|pyrimethamine,pyrimethamine|leucovorin calcium,Drug,"aids|hiv-infected|toxoplasmosis, cerebral","toxoplasmosis, cerebral",Central Nervous System Diseases
38,NCT00000648,benzylpenicillin|ceftriaxone,ceftriaxone sodium|penicillin g potassium,Drug,hiv|hiv seropositive|neurosyphilis|syphilis,neurosyphilis,Central Nervous System Diseases
39,NCT00000657,"2 ', 3'- dideoxyinosine|didanosine|zidovudine",didanosine|zidovudine,Drug,aids|aids dementia complex|hiv|progression of the aids dementia complex,aids dementia complex,Central Nervous System Diseases
40,NCT00000666,clindamycin|pyrimethamine|sulfadiazine,pyrimethamine,Drug,aids|hiv|infected|latent toxoplasma gondii|latent toxoplasma gondii infection|toxoplasmic encephalitis,"toxoplasmosis, cerebral",Central Nervous System Diseases
41,NCT00000674,clindamycin|leucovorin calcium|pyrimethamine|sulfadiazine|sulfonamide,pyrimethamine|leucovorin calcium|clindamycin,Drug,acute phase of toxoplasmic encephalitis|acute toxoplasmic encephalitis|aids|encephalitis|marrow toxicity|toxoplasma|toxoplasmic encephalitis,"toxoplasmosis, cerebral",Central Nervous System Diseases
42,NCT00000677,amphotericin b|sch 39304,sch 39304,Drug,"acute cryptococcal meningitis|hiv|hiv-infected|meningitis, cryptococcal","meningitis, cryptococcal",Central Nervous System Diseases
43,NCT00000702,zidovudine,zidovudine,Drug,aids dementia complex|central nervous system (cns) human immunodeficiency virus (|hiv infection|hiv) infection|human immunodeficiency virus,aids dementia complex,Central Nervous System Diseases
44,NCT00000708,"amphotericin b|fluconazole|flucytosine|uk-49, 858",amphotericin b|flucytosine|fluconazole,Drug,"acute cryptococcal meningitis|aids|meningitis, cryptococcal","meningitis, cryptococcal",Central Nervous System Diseases
45,NCT00000709,zidovudine,zidovudine,Drug,aids|aids dementia complex|dementia|hiv|low cd4 + lymphocyte counts,aids dementia complex,Central Nervous System Diseases
46,NCT00000738,nimodipine,nimodipine|zidovudine,Drug,aids dementia complex|hiv|hiv-1|hiv-associated motor/cognitive complex|hiv-infected,aids dementia complex,Central Nervous System Diseases
47,NCT00000776,corticosteroids|dexamethasone,amphotericin b|flucytosine|dexamethasone|fluconazole,Drug,"aids|intracranial hypertension|meningitis|meningitis, cryptococcal","meningitis, cryptococcal",Central Nervous System Diseases
48,NCT00000793,amitriptyline|amitriptyline hydrochloride|benztropine mesylate|mexiletine|mexiletine hydrochloride,benztropine mesylate|mexiletine hydrochloride|amitriptyline hydrochloride,Drug,hiv infection|hiv-related|pain|painful hiv-related neuropathy|painful neuropathies|painful neuropathy|painful peripheral neuropathy,peripheral nervous system diseases,Neuromuscular Diseases
49,NCT00000794,atovaquone|pyrimethamine|sulfadiazine,pyrimethamine|sulfadiazine|atovaquone|clarithromycin|leucovorin calcium,Drug,acute toxoplasmic encephalitis|aids|toxoplasmic encephalitis|toxoplasmosis,"toxoplasmosis, cerebral",Central Nervous System Diseases
50,NCT00000817,amitriptyline,amitriptyline hydrochloride,Drug,hiv infection|hiv-infected|pain|peripheral nervous system diseases,peripheral nervous system diseases,Neuromuscular Diseases
51,NCT00000817,amitriptyline,,Procedure,hiv infection|hiv-infected|pain|peripheral nervous system diseases,peripheral nervous system diseases,Neuromuscular Diseases
52,NCT00000842,cenegermin|nerve growth factor|recombinant human nerve growth factor,"nerve growth factor, recombinant human",Drug,hiv-associated painful sensory neuropathy|hiv-associated sensory neuropathy,peripheral nervous system diseases,Neuromuscular Diseases
53,NCT00000867,antiretroviral|antiretroviral therapy|memantine|zidovudine,memantine,Drug,aids dementia complex,aids dementia complex,Central Nervous System Diseases
54,NCT00000945,cidofovir|cidovir,cidofovir|probenecid,Drug,"acquired immunodeficiency syndrome|cytomegalovirus|hiv|leukoencephalopathy, progressive multifocal|progressive multifocal leukoencephalopathy","leukoencephalopathy, progressive multifocal",Central Nervous System Diseases
55,NCT00000966,azithromycin|pyrimethamine,pyrimethamine|leucovorin calcium|azithromycin,Drug,aids|encephalitis|toxoplasma gondii|toxoplasmic encephalitis,"toxoplasmosis, cerebral",Central Nervous System Diseases
56,NCT00000973,pyrimethamine|sulfadiazine|zidovudine,pyrimethamine|zidovudine|leucovorin calcium,Drug,aids|encephalitis|hiv positive|toxoplasma gondii|toxoplasmic encephalitis|toxoplasmosis,"toxoplasmosis, cerebral",Central Nervous System Diseases
57,NCT00001017,"amphotericin b|fluconazole|uk-49, 858",amphotericin b|fluconazole,Drug,"acquired immunodeficiency syndrome|acute cm|aids|cryptococcal|meningitis, cryptococcal","meningitis, cryptococcal",Central Nervous System Diseases
58,NCT00001048,antiretroviral|ara-c|cytarabine|didanosine|zalcitabine|zidovudine,cytarabine|zalcitabine|filgrastim|didanosine|zidovudine,Drug,"human immunodeficiency virus|jc virus|leukoencephalopathy, progressive multifocal|papovavirus|progressive multifocal leukoencephalopathy","leukoencephalopathy, progressive multifocal",Central Nervous System Diseases
59,NCT00001234,glucocerebrosidase and ceramidtrihexosidase (a-galactosidase a,,Genetic,2 gaucher's disease|fabry disease|gaucher disease|gaucher's or,gaucher disease,Central Nervous System Diseases
60,NCT00001251,cyclophosphamide|mafosfamide|preactivated derivative of,mafosfamide,Drug,chemotherapy|leukemias|lymphomas|malignancies refractory to conventional therapy|meningeal malignancies refractory to conventional therapy|radiation therapy,meningeal neoplasms,Nervous System Neoplasms
61,NCT00001261,high-dose|intravenous immunoglobulin|ivig,gamma globulin,Drug,"dermatomyositis|dm|ibm|myositis|myositis, inclusion body|pm|pm, dm, and|polymyositis",polymyositis|dermatomyositis,Diseases of the nervous system|Neuromuscular Diseases
62,NCT00001261,high-dose|intravenous immunoglobulin|ivig,gamma globulin,Drug,"dermatomyositis|dm|ibm|myositis|myositis, inclusion body|pm|pm, dm, and|polymyositis","myositis, inclusion body",Neuromuscular Diseases
63,NCT00001262,copper|copper histidine,copper histidine,Drug,menkes disease|menkes kinky hair syndrome,menkes kinky hair syndrome,Neurologic Manifestations
64,NCT00001287,high-dose|intravenous immunoglobulin|ivig,intravenous immunoglobulin (ivig),Drug,chronic inflammatory demyelinating polyneuropathy|chronic inflammatory demylinating polyneuropathy,demyelinating diseases,Demyelinating Diseases
65,NCT00001328,ganciclovir|herpes-thymidine kinase tk|thymidine kinase|tk,,Device,brain neoplasms|malignant brain tumor|malignant brain tumors|tumor,brain neoplasms,Nervous System Neoplasms
66,NCT00001328,ganciclovir|herpes-thymidine kinase tk|thymidine kinase|tk,cytovene (ganciclovir sodium),Drug,brain neoplasms|malignant brain tumor|malignant brain tumors|tumor,brain neoplasms,Nervous System Neoplasms
67,NCT00001333,topoisomerase i inhibitor|topotecan,topotecan,Drug,chemotherapy|meningeal malignancies|radiation therapy|refractory to conventional therapy,meningeal neoplasms,Nervous System Neoplasms
68,NCT00001344,dextromethorphan|memantine|nmda antagonist|nmda receptor antagonists,dextromethorphan,Drug,diabetic neuropathy pain|neuralgia|neuropathic pain|pain|painful distal symmetrical diabetic neuropathy|painful neuropathies|post-herpetic neuralgia,neuralgia|diabetic neuropathies,Neuromuscular Diseases
69,NCT00001365,dextromethorphan|nmda receptor antagonist,dextromethorphan,Drug,neurodegenerative diseases|parkinson disease,parkinson disease,Central Nervous System Diseases
70,NCT00001365,dextromethorphan|nmda receptor antagonist,dextromethorphan,Drug,neurodegenerative diseases|parkinson disease,neurodegenerative diseases,Neurodegenerative Diseases
71,NCT00001410,peg-glucocerbrosidase|peg-glucocerebrosidase|polyethylene glycol,lysodase,Drug,2|gaucher disease|i|type 1|type 1 or type 3 gaucher disease|type 2 gaucher disease|type 3 gaucher disease,gaucher disease,Central Nervous System Diseases
72,NCT00001416,calcitriol|ceredase|ergocalciferol|vitamin d,ceredase™,Drug,gaucher disease|type 1 gaucher's disease|type i|type i gaucher's disease,gaucher disease,Central Nervous System Diseases
73,NCT00001421,methimazole,methimazole,Drug,dermatomyositis|myositis|polymyositis,polymyositis|dermatomyositis,Diseases of the nervous system|Neuromuscular Diseases
74,NCT00001502,bradykinin|carboplatin|rmp-7,rmp-7 and carboplatin,Drug,brain neoplasms|cns tumors|refractory brain tumors,brain neoplasms,Nervous System Neoplasms
75,NCT00001520,neostigmine|rocuronium|succinylcholine,neostigmine,Drug,- induced paralysis,paralysis,Neurologic Manifestations
76,NCT00001550,high|intravenous immunoglobulin|ivig,ivig,Drug,stiff-mann syndrome|stiff-person syndrome|stiffness,stiff-person syndrome,Autoimmune Diseases of the Nervous System
77,NCT00001550,high|intravenous immunoglobulin|ivig,ivig,Drug,stiff-mann syndrome|stiff-person syndrome|stiffness,spasm|muscle rigidity,Neurologic Manifestations
78,NCT00001565,phenylbutyric acid,phenylbutyric acid,Drug,refractory malignancy|tumor,brain neoplasms,Nervous System Neoplasms
79,NCT00001656,atypical neuroleptics|clozapine|olanzapine,clozapine|olanzapine,Drug,psychotic disorders|schizophrenia,schizophrenia,Diseases of the nervous system
80,NCT00001658,amoxicillin,amoxicillin,Drug,autoimmune neuropsychiatric disorders|autoimmune reaction|group a beta-hemolytic streptococcus|obsessive-compulsive disorder|pediatric autoimmune neuropsychiatric disorders associated with streptococcal infections|strep throat|strep throat infections|streptococcal infections|tic disorders,tic disorders,Central Nervous System Diseases
81,NCT00001662,ampalex|cx516,cx516 (ampalex),Drug,alzheimer disease,dementia,Diseases of the nervous system|Central Nervous System Diseases
82,NCT00001662,ampalex|cx516,cx516 (ampalex),Drug,alzheimer disease,alzheimer disease,Neurodegenerative Diseases
83,NCT00001669,cep-151|insulin-like growth factor-1|rhigf|rhigf-1,rhigf-1 (cep-151),Drug,eae|multiple sclerosis,multiple sclerosis,Demyelinating Diseases
84,NCT00001723,hoffmann laroch|orlistat,orlistat,Drug,hyperlipidemia|hypertension|impaired glucose tolerance|insulin resistance|obese|obesity|severely obese|sleep apnea syndromes|steatosis|type 2 diabetes,sleep apnea syndromes,Sleep Wake Disorders
85,NCT00001725,dextromethorphan|lorazepam|topiramate,dextromethorphan,Drug,oral and facial pain|orofacial (mouth and face) pain|orofacial neuralgias|pain|trigeminal nerve damage,facial neuralgia|trigeminal neuralgia,Cranial Nerve Diseases
86,NCT00001768,intravenous immunoglobulin|intravenous immunoglobulin ivig|ivig,intravenous immunoglobulin,Drug,- onset schizophrenia|autoimmune diseases|autoimmunity|disorders|early onset-obsessive compulsive disorder|idiopathic thrombocytopenic purpura|obsessive-compulsive disorder|rheumatoid arthritis|schizophrenia|tourette syndrome,schizophrenia,Diseases of the nervous system
87,NCT00001777,sertraline,sertraline,Drug,agitation|dementia|depression|frontal lobe dementia|violent/impulsive behaviors,dementia,Diseases of the nervous system|Central Nervous System Diseases
88,NCT00001781,cgp 77116|cgp77116,cgp 77116,Drug,active ms|multiple sclerosis,multiple sclerosis,Demyelinating Diseases
89,NCT00001783,amphetamine|amphetamines|dextroamphetamine,0-15 water,Drug,stroke,stroke,Central Nervous System Diseases
90,NCT00001783,amphetamine|amphetamines|dextroamphetamine,0-15 water,Drug,stroke,paralysis,Neurologic Manifestations
91,NCT00001784,lidocaine|mexiletine,mexiletine,Drug,dystonia|focal dystonia,dystonia,Diseases of the nervous system|Neurologic Manifestations
92,NCT00001784,lidocaine|mexiletine,mexiletine,Drug,dystonia|focal dystonia,spasm,Neurologic Manifestations
93,NCT00001785,human interferon|interferon|interferon beta|interferon beta-1a|recombinant|recombinant human interferon beta-1a,recombinant human interferon beta-1a,Drug,"early htlv-1-associated myelopathy|ham/tsp|htlv|htlv-1|htlv-1 associated myelopathy|human t cell leukemia virus|multiple sclerosis|paraparesis, tropical spastic","paraparesis, tropical spastic|spinal cord diseases",Central Nervous System Diseases
94,NCT00001860,octreotide,sandostatin lar depot versus transsphenoidal surgery,Drug,acromegalic|acromegalics|acromegaly|macroadenoma|macroadenomas|pituitary adenoma|surgery|transs,pituitary neoplasms|acromegaly,Central Nervous System Diseases
95,NCT00001864,atropine,,Device,amblyopia,strabismus,Cranial Nerve Diseases
96,NCT00001864,atropine,,Device,amblyopia,amblyopia,Neurologic Manifestations
97,NCT00001864,atropine,atropine,Drug,amblyopia,strabismus,Cranial Nerve Diseases
98,NCT00001864,atropine,atropine,Drug,amblyopia,amblyopia,Neurologic Manifestations
99,NCT00001925,ethanol,ethanol,Drug,"essential palatal|physiologic and pathologic tremors|physiological|symptomatic palatal,|tremor",tremor,Neurologic Manifestations
100,NCT00001929,eliprodil|nmda-receptor blockade,eliprodil,Drug,parkinson disease,parkinson disease|movement disorders,Central Nervous System Diseases
101,NCT00001930,amantadine|nmda-receptor blockade,amantadine,Drug,"characterized by involuntary movements in the face and extremities,|huntington disease|parkinson disease",chorea,Central Nervous System Diseases
102,NCT00001930,amantadine|nmda-receptor blockade,amantadine,Drug,"characterized by involuntary movements in the face and extremities,|huntington disease|parkinson disease",huntington disease,Neurodegenerative Diseases
103,NCT00001931,dopamine agonist|n-0923|n-9023,n-0923,Drug,parkinson disease|parkinsonian,parkinson disease,Central Nervous System Diseases
104,NCT00001933,nefiracetam|nefiracetame,nefiracetam,Drug,alzheimer disease|alzheimer's|alzheimer's type dementia|dementia|mild to moderate intellectual impairment,alzheimer disease,Neurodegenerative Diseases
105,NCT00001934,humanized monoclonal antibody against the interleukin-2 receptor alpha subunit|il-2r-alpha|zenapax,zenapax,Drug,ms|multiple sclerosis,multiple sclerosis,Demyelinating Diseases
106,NCT00001956,ketorolac|lidocaine|pain,,Procedure,molar|oral surgery|pain|removal of third molars,hyperalgesia,Neurologic Manifestations
107,NCT00001986,caprylic alcohol,caprylic alcohol,Drug,essential tremor,essential tremor,Central Nervous System Diseases
108,NCT00001994,566c80|atovaquone|pyrimethamine-sulfadiazine,atovaquone,Drug,aids|central nervous system (cns) toxoplasmosis|cns toxoplasmosis|human immunodeficiency virus|toxoplasmic encephalitis,"toxoplasmosis, cerebral",Central Nervous System Diseases
109,NCT00002019,amphotericin b|amphotericin b lipid complex|fungizone,"amphotericin b|amphotericin b, lipid-based",Drug,"acquired immunodeficiency syndrome|aids|meningitis, cryptococcal","meningitis, cryptococcal",Central Nervous System Diseases
110,NCT00002040,fluconazole,fluconazole,Drug,- aids|acute cryptococcal meningitis|aids,"meningitis, cryptococcal",Central Nervous System Diseases
111,NCT00002044,zidovudine,zidovudine,Drug,aids-related dementia|dementia|hiv)|human immunodeficiency virus|neuromuscular complications|neuromuscular diseases,aids dementia complex,Central Nervous System Diseases
112,NCT00002044,zidovudine,zidovudine,Drug,aids-related dementia|dementia|hiv)|human immunodeficiency virus|neuromuscular complications|neuromuscular diseases,neuromuscular diseases,Neuromuscular Diseases
113,NCT00002064,clindamycin|pyrimethamine|sulfonamides,pyrimethamine|clindamycin,Drug,aids|central nervous system (cns) toxoplasma gondii|toxoplasmic encephalitis,"toxoplasmosis, cerebral",Central Nervous System Diseases
114,NCT00002068,"amphotericin b|fluconazole|flucytosine|uk-49, 858",amphotericin b|fluconazole,Drug,acute cryptococcal meningitis,"meningitis, cryptococcal",Central Nervous System Diseases
115,NCT00002074,"amphotericin b|fluconazole|uk-49, 858",amphotericin b|fluconazole,Drug,"acquired immunodeficiency syndrome|aids|meningitis, cryptococcal|relapse of","meningitis, cryptococcal",Central Nervous System Diseases
116,NCT00002075,"amphotericin b|fluconazole|flucytosine|uk-49, 858",amphotericin b|flucytosine|fluconazole,Drug,acute cryptococcal meningitis,"meningitis, cryptococcal",Central Nervous System Diseases
117,NCT00002076,fluconazole,fluconazole,Drug,acute cryptococcal meningitis|aids,"meningitis, cryptococcal",Central Nervous System Diseases
118,NCT00002077,fluconazole,fluconazole,Drug,- aids|acute cryptococcal meningitis|aids,"meningitis, cryptococcal",Central Nervous System Diseases
119,NCT00002083,peptide t,peptide t,Drug,aids|human immunodeficiency virus|infection|painful peripheral neuropathy,peripheral nervous system diseases,Neuromuscular Diseases
120,NCT00002113,amphotericin b|fluconazole|flucytosine,flucytosine|fluconazole,Drug,acute cryptococcal meningitis|aids,"meningitis, cryptococcal",Central Nervous System Diseases
121,NCT00002163,1592u89|antiretroviral,abacavir sulfate,Drug,aids dementia complex,aids dementia complex,Central Nervous System Diseases
122,NCT00002209,combined reverse transcriptase|cpi-1189|lu 02-584|protease inhibitor,cpi-1189,Drug,advanced hiv infection|aids dementia|and|hiv|hiv infected|infected|therapy,aids dementia complex,Central Nervous System Diseases
123,NCT00002246,stavudine|zidovudine,stavudine,Drug,adc|aids dementia complex|hiv|hiv-positive,aids dementia complex,Central Nervous System Diseases
124,NCT00002270,alpha interferon|ifn-a2b|recombinant alpha interferon|zidovudine,interferon alfa-2b|zidovudine,Drug,"hiv-1 infection|leukoencephalopathy, progressive multifocal|progressive multifocal leukoencephalopathy","leukoencephalopathy, progressive multifocal",Central Nervous System Diseases
125,NCT00002274,"2 ', 3'- dideoxyinosine|didanosine|zidovudine",didanosine,Drug,acquired immunodeficiency syndrome,"leukoencephalopathy, progressive multifocal",Central Nervous System Diseases
126,NCT00002294,"fluconazole|uk-49, 858",fluconazole,Drug,"acquired immunodeficiency syndrome|aids|meningitis, cryptococcal","meningitis, cryptococcal",Central Nervous System Diseases
127,NCT00002305,"amphotericin b|fluconazole|flucytosine|uk-49, 858",amphotericin b|flucytosine|fluconazole,Drug,acute cryptococcal meningitis,"meningitis, cryptococcal",Central Nervous System Diseases
128,NCT00002306,"amphotericin b|fluconazole|uk-49, 858",fluconazole,Drug,acute cryptococcal meningitis,"meningitis, cryptococcal",Central Nervous System Diseases
129,NCT00002316,amphotericin b|rmp-7,amphotericin b|lobradimil,Drug,"hiv infection|meningitis, cryptococcal","meningitis, cryptococcal",Central Nervous System Diseases
130,NCT00002395,topotecan|topotecan hcl,topotecan,Drug,aids|aids-related progressive multifocal leukoencephalopathy|hiv|hiv-infected|jc virus|pml,"leukoencephalopathy, progressive multifocal",Central Nervous System Diseases
131,NCT00002594,chemotherapy|cyclophosphamide|melphalan and,,Biological,cns germ cell tumors|germ cell tumors|recurrent medulloblastoma|tumor,brain neoplasms|central nervous system neoplasms,Nervous System Neoplasms
132,NCT00002594,chemotherapy|cyclophosphamide|melphalan and,melphalan|cyclophosphamide,Drug,cns germ cell tumors|germ cell tumors|recurrent medulloblastoma|tumor,brain neoplasms|central nervous system neoplasms,Nervous System Neoplasms
133,NCT00002594,chemotherapy|cyclophosphamide|melphalan and,,Procedure,cns germ cell tumors|germ cell tumors|recurrent medulloblastoma|tumor,brain neoplasms|central nervous system neoplasms,Nervous System Neoplasms
134,NCT00002875,chemotherapy|cisplatin|crani|cyclophosphamide|lomustine|radiation therapy|vincristine,,Biological,medulloblastoma|newly diagnosed medulloblastoma|newly-diagnosed average risk medulloblastomamedulloblastoma|tumor,brain neoplasms|central nervous system neoplasms,Nervous System Neoplasms
135,NCT00002875,chemotherapy|cisplatin|crani|cyclophosphamide|lomustine|radiation therapy|vincristine,cisplatin|cyclophosphamide|vincristine sulfate|mesna|lomustine,Drug,medulloblastoma|newly diagnosed medulloblastoma|newly-diagnosed average risk medulloblastomamedulloblastoma|tumor,brain neoplasms|central nervous system neoplasms,Nervous System Neoplasms
136,NCT00002875,chemotherapy|cisplatin|crani|cyclophosphamide|lomustine|radiation therapy|vincristine,,Radiation,medulloblastoma|newly diagnosed medulloblastoma|newly-diagnosed average risk medulloblastomamedulloblastoma|tumor,brain neoplasms|central nervous system neoplasms,Nervous System Neoplasms
137,NCT00002944,,carboplatin|vincristine sulfate|procarbazine hydrochloride|thioguanine|tioguanine|lomustine,Drug,brain|low-grade astrocytomas|progressive low grade astrocytoma|residual tumors of|tumor,brain neoplasms|central nervous system neoplasms,Nervous System Neoplasms
138,NCT00003141,,etoposide|thiotepa|cisplatin|cyclophosphamide|carboplatin|vincristine sulfate,Drug,malignant brain or|malignant brain tumors|spinal cord neoplasms|tumor,brain neoplasms|central nervous system neoplasms,Nervous System Neoplasms
139,NCT00003203,"carboplatin|carboplatin,|chemotherapy|radiation|radiation therapy|radiotherapy|vincristine",,Biological,high-risk central nervous system embryonal tumors|high-risk cns embryonal tumors|newly diagnosed|tumor,brain neoplasms|central nervous system neoplasms,Nervous System Neoplasms
140,NCT00003203,"carboplatin|carboplatin,|chemotherapy|radiation|radiation therapy|radiotherapy|vincristine",cisplatin|cyclophosphamide|carboplatin|vincristine sulfate,Drug,high-risk central nervous system embryonal tumors|high-risk cns embryonal tumors|newly diagnosed|tumor,brain neoplasms|central nervous system neoplasms,Nervous System Neoplasms
141,NCT00003203,"carboplatin|carboplatin,|chemotherapy|radiation|radiation therapy|radiotherapy|vincristine",,Procedure,high-risk central nervous system embryonal tumors|high-risk cns embryonal tumors|newly diagnosed|tumor,brain neoplasms|central nervous system neoplasms,Nervous System Neoplasms
142,NCT00003203,"carboplatin|carboplatin,|chemotherapy|radiation|radiation therapy|radiotherapy|vincristine",,Radiation,high-risk central nervous system embryonal tumors|high-risk cns embryonal tumors|newly diagnosed|tumor,brain neoplasms|central nervous system neoplasms,Nervous System Neoplasms
143,NCT00003483,,antineoplaston therapy (atengenal + astugenal),Drug,meningioma,meningioma,Nervous System Neoplasms
144,NCT00003514,as2,antineoplaston a10|antineoplaston as2-1,Drug,cancer|metastatic|metastatic or incurable neuroendocrine tumors|neuroendocrine tumor,pituitary neoplasms,Central Nervous System Diseases
145,NCT00003514,as2,,Procedure,cancer|metastatic|metastatic or incurable neuroendocrine tumors|neuroendocrine tumor,pituitary neoplasms,Central Nervous System Diseases
146,NCT00003573,chemotherapy|combination chemotherapy|dose intensive adjuvant chemotherapy|etoposide|radiation|radiation therapy|radiotherapy,,Biological,advanced medulloblastoma|newly diagnosed|newly diagnosed high stage medulloblastoma|tumor,brain neoplasms|central nervous system neoplasms,Nervous System Neoplasms
