,nct_id,canonical_BioLinkBERT-base_interventions,canonical_aact_interventions,aact_intervention_types,canonical_BioLinkBERT-base_conditions,canonical_aact_conditions,Disease Class
20,NCT00000197,propranolol,propranolol,Drug,cocaine dependence|cocaine-related disorders,cocaine-related disorders,Diseases Category
21,NCT00000198,cocaine|piracetam,piracetam,Drug,cocaine dependent|cocaine-related disorders,cocaine-related disorders,Diseases Category
22,NCT00000199,piracetam,piracetam,Drug,cocaine-related disorders,cocaine-related disorders,Diseases Category
23,NCT00000200,buprenorphine|cocaine|methadone,methadone,Drug,opiate-dependent cocaine users,cocaine-related disorders,Diseases Category
24,NCT00000201,cocaine,selegiline,Drug,,cocaine-related disorders,Diseases Category
25,NCT00000210,buprenorphine,buprenorphine,Drug,aids|concurrent intravenous heroin and cocaine dependence|substance-related disorders,heroin dependence|cocaine-related disorders,Diseases Category|unknown
26,NCT00000211,buprenorphine,buprenorphine,Drug,aids|concurrent intravenous heroin and cocaine dependence|substance-related disorders,heroin dependence|cocaine-related disorders,Diseases Category|unknown
27,NCT00000212,cocaine|desipramine dmi,desipramine,Drug,cocaine|iv cocaine abuse,cocaine-related disorders,Diseases Category
28,NCT00000213,cocaine|fluoxetine,fluoxetine,Drug,cocaine|iv cocaine abuse,cocaine-related disorders,Diseases Category
29,NCT00000214,buprenorpine|cocaine,buprenorphine,Drug,cocaine|cocaine users|iv cocaine abuse|opiate dependent,cocaine-related disorders,Diseases Category
30,NCT00000215,cocaine|pergolide,pergolide,Drug,cocaine|cocaine users|iv cocaine abuse|opiate dependent,cocaine-related disorders,Diseases Category
31,NCT00000216,buprenorphine|methadone,buprenorphine,Drug,cocaine ab|cocaine abusing|opiate addicts|opioid addicts,cocaine-related disorders|opioid-related disorders|substance-related disorders,Diseases Category|unknown
32,NCT00000217,carbamazepine|desipramine,carbamazepine,Drug,cocaine|substance-related disorders,cocaine-related disorders|substance-related disorders,Diseases Category
33,NCT00000218,carbamazepine|desipramine,carbamazepine,Drug,cocaine,cocaine-related disorders|substance-related disorders,Diseases Category
34,NCT00000240,buprenorphine,buprenorphine,Drug,cocaine|opioid and,cocaine-related disorders|opioid-related disorders,Diseases Category|unknown
35,NCT00000241,desipramine|flupenthixol decanoate|flupentixol,flupentixol,Drug,methamphetamine|methamphetamine dependence|methamphetamine smoking,substance-related disorders,Diseases Category
36,NCT00000242,carbamazepine,carbamazepine,Drug,cocaine dependence|cocaine-dependence|cocaine-related disorders|mood disorders,cocaine-related disorders|substance-related disorders,Diseases Category
37,NCT00000244,dynorphin|dynorphin 1-13|iv dynorphin,dynorphin 1 - 13,Drug,acute heroin abstinence|acute opiate withdrawal|heroin addiction|opiate,substance withdrawal syndrome|opioid-related disorders,Diseases Category|unknown
38,NCT00000245,desipramine,desipramine,Drug,cocaine-related disorders,cocaine-related disorders|substance-related disorders,Diseases Category
39,NCT00000246,benzodiazepine antagonist|flumazenil,flumazenil,Drug,acute benzodiazepine withdrawal|rapid benzodiazepine detoxification,substance-related disorders,Diseases Category
40,NCT00000248,pergolide,pergolide,Drug,cocaine dependence|cocaine-related disorders,cocaine-related disorders,Diseases Category
41,NCT00000249,nitrous oxide,20% n2o|30% n2o|40% n2o,Drug,cold-pressor pain,substance-related disorders|opioid-related disorders,Diseases Category|unknown
42,NCT00000250,nitrous oxide,40% n2o|0% n2o,Drug,,substance-related disorders|opioid-related disorders,Diseases Category|unknown
43,NCT00000251,isoflurane|nitrous oxide,30% n2o|0.4% isoflurane|0.2% isoflurane,Drug|Other,,substance-related disorders|opioid-related disorders,Diseases Category|unknown
44,NCT00000252,nitrous oxide,0% n2o|10% n2o|20% n2o|30% n2o|40% n2o,Drug,,substance-related disorders|opioid-related disorders,Diseases Category|unknown
45,NCT00000253,nitrous oxide,20% n2o|30% n2o|10% n2o|40% n2o,Drug,,substance-related disorders|opioid-related disorders,Diseases Category|unknown
46,NCT00000254,isoflurane|nitrous oxide,0.6% isoflurane|0.2% isoflurane|40% nitrous oxide|0.4% isoflurane,Drug|Other,cold-water immersion pain,substance-related disorders|opioid-related disorders,Diseases Category|unknown
47,NCT00000255,nitrous oxide,nitrous oxide,Drug,,substance-related disorders|opioid-related disorders,Diseases Category|unknown
48,NCT00000256,nitrous oxide|opiate,80% n2o|20% n2o|60% n2o|40% n2o,Drug,,substance-related disorders|opioid-related disorders,Diseases Category|unknown
49,NCT00000257,nitrous oxide|opiate,0% n2o and 40% n2o|0% n2o and 20% n2o|0% n2o and 30% n2o|0% n2o and 10% n2o,Drug,alcohol,substance-related disorders|opioid-related disorders|alcohol-related disorders,Diseases Category|unknown
50,NCT00000259,isoflurane|nitrous oxide|sevoflurane,15 % nitrous oxide|0.3 % sevoflurane|0.6% sevoflurane|30% nitrous oxide,Drug|Other,pain,substance-related disorders|opioid-related disorders,Diseases Category|unknown
51,NCT00000260,nitrous oxide|opiate,nitrous oxide,Drug,,substance-related disorders|opioid-related disorders,Diseases Category|unknown
52,NCT00000261,nitrous oxide|sevoflurane,0.2% sevoflurane|0.4% sevoflurane|0.6% sevoflurane|30% nitrous oxide,Drug|Other,alcohol,substance-related disorders|opioid-related disorders|alcohol-related disorders,Diseases Category|unknown
53,NCT00000262,nitrous oxide|sevoflurane,0.2% sevoflurane|0.4% sevoflurane|30% nitrous oxide,Drug|Other,pain,substance-related disorders|opioid-related disorders,Diseases Category|unknown
54,NCT00000263,ethanol|nitrous oxide,30% nitrous oxide,Drug|Other,pain,substance-related disorders|opioid-related disorders,Diseases Category|unknown
55,NCT00000264,ethanol|nitrous oxide,30% nitrous oxide,Drug|Other,,substance-related disorders|opioid-related disorders,Diseases Category|unknown
56,NCT00000266,flupentixol,flupentixol,Drug,cocaine dependence|cocaine-related disorders|schizoaffective illness|schizophrenia|schizophrenic cocaine abusers,cocaine-related disorders,Diseases Category
57,NCT00000267,risperidone,risperidone,Drug,cocaine dependence|cocaine-related disorders|schizoaffective illness|schizophrenia,cocaine-related disorders,Diseases Category
58,NCT00000268,,bupropion,Drug,attention deficit disorder|cocaine-related disorders,cocaine-related disorders,Diseases Category
59,NCT00000269,pergolide,pergolide,Drug,cocaine dependence|cocaine-related disorders|substance abusers,cocaine-related disorders|substance-related disorders,Diseases Category
60,NCT00000270,,cocaine,Drug,cocaine,cocaine-related disorders,Diseases Category
61,NCT00000271,desipramine,desipramine,Drug,cocaine|dysthymia|major depression,cocaine-related disorders|substance-related disorders,Diseases Category
62,NCT00000273,buprenorphine|levacetylmethadol|methadone|methoclocinnamox|naltrexone,opiates,Drug,heroin abuse|smoked heroin,heroin dependence|substance-related disorders|opioid-related disorders,Diseases Category|unknown
63,NCT00000274,flupentixol|haloperidol,flupentixol,Drug,cocaine dependence|cocaine-related disorders|schizoaffective illness|schizophrenia|schizophrenic,cocaine-related disorders|substance-related disorders,Diseases Category
64,NCT00000275,buproprion,flupentixol,Drug,attention-deficit hyperactivity disorder|cocaine dependence|cocaine-related disorders,cocaine-related disorders,Diseases Category
65,NCT00000276,dopamine,bupropion,Drug,cocaine-related disorders,cocaine-related disorders,Diseases Category
66,NCT00000277,mazindol,mazindol,Drug,cocaine-related disorders,cocaine-related disorders,Diseases Category
67,NCT00000278,disulfiram,disulfiram,Drug,cocaine-alcohol abuse,cocaine-related disorders|alcohol-related disorders,Diseases Category
68,NCT00000279,,clonidine,Drug,opiate detoxification,substance-related disorders|opioid-related disorders,Diseases Category|unknown
69,NCT00000280,,nimodipine,Drug,cocaine-related disorders,cocaine-related disorders,Diseases Category
70,NCT00000282,pemoline,pemoline,Drug,cocaine-related disorders,cocaine-related disorders,Diseases Category
71,NCT00000284,cotinine|nicotine,cotinine fumarate,Drug,nicotine dependence|tobacco use disorder|tobacco withdrawal,tobacco use disorder,Diseases Category
72,NCT00000285,cocaine|phenytoin,phenytoin,Drug,cocaine,cocaine-related disorders,Diseases Category
73,NCT00000286,cocaine|nefazedone|nefazodone,nefazodone,Drug,cocaine abusers|cocaine users|depressed and non-depressed,cocaine-related disorders,Diseases Category
74,NCT00000288,cotinine,cotinine fumarate,Drug,nicotine dependence|tobacco use disorder,tobacco use disorder,Diseases Category
75,NCT00000289,nicotine|ondansetron,ondansetron,Drug,nicotine dependence|tobacco use disorder|tobacco withdrawal,tobacco use disorder,Diseases Category
76,NCT00000290,cocaine,cocaine,Drug,cocaine use,cocaine-related disorders,Diseases Category
77,NCT00000291,labetalol,labetalol,Drug,cocaine|cocaine use,cocaine-related disorders,Diseases Category
78,NCT00000293,nefazodone,nefazodone,Drug,cocaine use|cocaine-related disorders|dependence|depressed|non-depressed|relapse,cocaine-related disorders,Diseases Category
79,NCT00000294,carvedilol|cocaine,carvedilol,Drug,cocaine,cocaine-related disorders,Diseases Category
80,NCT00000295,progesterone,micronized progesterone,Drug,smokers,tobacco use disorder,Diseases Category
81,NCT00000296,cotinine|nicotine,cotinine fumarate,Drug,nicotine dependence|tobacco use disorder|tobacco withdrawal,tobacco use disorder,Diseases Category
82,NCT00000297,labetalol|nicotine,labetalol,Drug,,tobacco use disorder,Diseases Category
83,NCT00000301,amantadine,amantadine,Drug,cocaine|cocaine-related disorders|dependence,cocaine-related disorders,Diseases Category
84,NCT00000303,baclofen,baclofen,Drug,cocaine|cocaine-related disorders|dependence,cocaine-related disorders,Diseases Category
85,NCT00000304,dextroamphetamine|dextroamphetamine sulfate,dextroamphetamine,Drug,cocaine,cocaine-related disorders|substance-related disorders,Diseases Category
86,NCT00000305,amphetamine cocaine|cocaine|dextroamphetamine,dextroamphetamine,Drug,,cocaine-related disorders,Diseases Category
87,NCT00000306,dextroamphetamine|dextroamphetamine sulfate,dextroamphetamine,Drug,cocaine|opiate dependent,cocaine-related disorders|opioid-related disorders,Diseases Category|unknown
88,NCT00000307,naltrexone,naltrexone,Drug,alcoholic cocaine dependent,cocaine-related disorders|alcohol-related disorders,Diseases Category
89,NCT00000308,,dextroamphetamine,Drug,cocaine dependent,cocaine-related disorders,Diseases Category
90,NCT00000309,cocaine|risperidone,risperidone,Drug,cocaine,cocaine-related disorders,Diseases Category
91,NCT00000310,cocaine|risperidone,risperidone,Drug,cocaine,cocaine-related disorders,Diseases Category
92,NCT00000311,buprenorphine|methadone,buprenorphine|methadone,Drug,agonist maintenance treatment|cocaine use|opioid and,cocaine-related disorders|opioid-related disorders|substance-related disorders,Diseases Category|unknown
93,NCT00000312,,m-chlorophenylpiperazine,Drug,cocaine|cocaine addicts,cocaine-related disorders,Diseases Category
94,NCT00000313,,fenfluramine,Drug,,cocaine-related disorders,Diseases Category
95,NCT00000314,fenfluramine|m-chlorophenylpiperazine,m-chlorophenylpiperazine,Drug,cocaine addicts,cocaine-related disorders,Diseases Category
96,NCT00000315,,cocaine,Drug,cocaine-related disorders|withdrawal|withdrawal from cocaine use,cocaine-related disorders,Diseases Category
97,NCT00000316,,cocaine,Drug,cocaine-related disorders|withdrawal|withdrawal from cocaine use,cocaine-related disorders,Diseases Category
98,NCT00000317,amoxapine|risperidone,risperidone,Drug|Behavioral,cocaine|cocaine dependence|cocaine-related disorders|methadone maintenance|opiate-dependent,cocaine-related disorders|substance-related disorders,Diseases Category
99,NCT00000318,buprenorphine,buprenorphine,Drug,,substance-related disorders|opioid-related disorders,Diseases Category|unknown
100,NCT00000319,buprenorphine,buprenorphine,Drug,opioid-dependent,substance-related disorders|opioid-related disorders,Diseases Category|unknown
101,NCT00000321,desipramine|sertraline,desipramine,Drug,aids|methamphetamine|methamphetamine dependent,substance-related disorders,Diseases Category
102,NCT00000322,tyrosine,,Behavioral,methamphetamine dependence,amphetamine-related disorders,Diseases Category
103,NCT00000324,tryptophan,tryptophan,Drug,cocaine dependence|cocaine-related disorders,cocaine-related disorders,Diseases Category
104,NCT00000325,cocaine,,Behavioral,psychostimulant abuse,cocaine-related disorders,Diseases Category
105,NCT00000332,nimodipine,nimodipine,Drug,cocaine|cocaine dependent,cocaine-related disorders,Diseases Category
106,NCT00000333,atropine|benzatropine|benztropine|da reuptake inhibitor,benztropine|benzatropine,Drug,cocaine,cocaine-related disorders,Diseases Category
107,NCT00000336,selegiline,selegiline,Drug,cocaine|cocaine dependence|cocaine-related disorders,cocaine-related disorders,Diseases Category
108,NCT00000337,cocaine|selegeline|selegiline,selegiline,Drug,chronic crack abusers|chronic crack dependent,cocaine-related disorders,Diseases Category
109,NCT00000338,cocaine|lisuride,lisuride,Drug,"chronic, crack dependent",cocaine-related disorders,Diseases Category
110,NCT00000339,cocaine|risperidone,risperidone,Drug,,cocaine-related disorders,Diseases Category
111,NCT00000340,pemoline,pemoline,Drug,attention deficit hyperactivity disorder|cocaine and|methamphetamine dependent|stimulant dependence,cocaine-related disorders,Diseases Category
112,NCT00000342,risperidone,risperidone,Drug,cocaine|cocaine dependence|cocaine-related disorders,cocaine-related disorders,Diseases Category
113,NCT00000347,risperidone,risperidone,Drug,amphetamine-related disorders|cocaine|cocaine dependence|cocaine-related disorders,cocaine-related disorders,Diseases Category
114,NCT00000348,cocaine|dihydrexidine,dihydrexidine,Drug,,cocaine-related disorders,Diseases Category
115,NCT00000349,cocaine|flupentixol,flupentixol,Drug,,cocaine-related disorders,Diseases Category
116,NCT00000352,dextromethorphan|methadone,dextromethorphan,Drug,methadone|opioid dependent|opioid tolerance,substance-related disorders|opioid-related disorders,Diseases Category|unknown
117,NCT00000353,buprenorphine|buprenorphine/nx|naloxone,buprenorphine/naloxone,Drug,opiate dependence,substance-related disorders|opioid-related disorders,Diseases Category|unknown
118,NCT00000354,lofexidine,lofexidine,Drug,opiate withdrawal|opioid withdrawal,substance-related disorders|opioid-related disorders,Diseases Category|unknown
119,NCT00000355,buprenorphine|naloxone,buprenorphine,Drug,opiate addicts,substance-related disorders|opioid-related disorders,Diseases Category|unknown
120,NCT00000356,l-alpha-acetylmethadol,levacetylmethadol,Drug,methadone|methadone maintenance treatment|opiate dependence,substance-related disorders|opioid-related disorders,Diseases Category|unknown
121,NCT00000357,buprenorphine,buprenorphine,Drug,opiate dependence,substance-related disorders|opioid-related disorders,Diseases Category|unknown
122,NCT00000358,lofexidine,lofexidine,Drug,opiate withdrawal|opioid withdrawal,substance-related disorders|opioid-related disorders,Diseases Category|unknown
123,NCT00000361,cyclophosphamide|methotrexate|prednisone,corticosteroids|methotrexate,Drug,autoimmune inner ear disease|hearing loss|rapidly progressive sensorineural hearing loss,"hearing loss, sensorineural",Neurologic Manifestations
124,NCT00000367,,treatment of depression|suicide prevention treatment,Drug,depression|suicidal|suicide,depression,Psychiatry and Psychology Category
125,NCT00000368,paroxetine,paroxetine or other medication - algorithm used,Drug|Behavioral,agoraphobia|panic disorder|pd,agoraphobia|panic disorder,Diseases of the nervous system|Psychiatry and Psychology Category
126,NCT00000369,,lithium carbonate,Drug,bipolar i|bipolar i disorder|lithium|manic or depressed episode|manic/depressive,bipolar disorder,Psychiatry and Psychology Category
127,NCT00000371,antipsychotic|antipsychotics|conventional|cycloserine,cycloserine,Drug,negative symptoms|schizophrenia|schizophrenic,schizophrenia,Diseases of the nervous system
128,NCT00000372,clozapine|cycloserine|glycine,clozapine|glycine|cycloserine,Drug,schizophrenia|schizophrenic,schizophrenia,Diseases of the nervous system
129,NCT00000373,fluvoxamine|haloperidol,olanzapine + fluoxetine,Drug,obsessive-compulsive disorder|tourette syndrome,obsessive-compulsive disorder,Psychiatry and Psychology Category
130,NCT00000374,antipsychotic|olanzapine|risperidone,olanzapine|risperidone,Drug,first-episode schizophrenia,schizophrenia,Diseases of the nervous system
131,NCT00000376,antidepressant|desipramine,desipramine,Drug|Behavioral,anxiety disorders|depression|drug-resistant depression|personality disorders|refractory to medication,depression|drug-resistant depression|personality disorders|anxiety disorders,Psychiatry and Psychology Category|unknown
132,NCT00000377,nortriptyline,nortriptyline,Drug,depression|late-life depression|major depression,depression,Psychiatry and Psychology Category
133,NCT00000378,antidepressant|antidepressants|nortriptyline|serotonin re-uptake inhibitor|sertraline|ssri|ssris|tca|tcas|tricyclic antidepressant,sertraline|nortriptyline,Drug,depressive disorder|late-life|major depression|unipolar major depression,depression|depressive disorder,Psychiatry and Psychology Category
134,NCT00000379,fluoxetine,fluoxetine,Drug|Behavioral,"stress disorders, post-traumatic","stress disorders, post-traumatic",Psychiatry and Psychology Category
135,NCT00000380,growth hormone releasing hormone,somatorelin,Drug,estrogen replacement therapy|sleep disturbances|sleep impairment|sleep wake disorders,sleep wake disorders,Diseases Category
136,NCT00000381,fluoxetine,fluoxetine,Drug,anxiety|anxiety disorders|generalized anxiety disorder|major depression|obsessive-compulsive disorder|panic disorder,anxiety disorders,Psychiatry and Psychology Category
137,NCT00000384,cbt|es|serine|sertraline,sertraline,Drug|Behavioral,obsessive-compulsive disorder,obsessive-compulsive disorder,Psychiatry and Psychology Category
138,NCT00000385,lithium,lithium,Drug,aggressive conduct disorder|severe aggression,conduct disorder|aggression,unknown|Psychiatry and Psychology Category
139,NCT00000388,,anti-adhd medication,Drug,attention deficit hyperactivity disorder,attention deficit disorder with hyperactivity|substance-related disorders|antisocial personality disorder,unknown|Psychiatry and Psychology Category
140,NCT00000389,fluvoxamine,fluvoxamine,Drug,"anxiety disorders|anxiety, separation|generalized anxiety disorder|obsessive-compulsive disorder|social phobia","generalized anxiety disorder|anxiety disorders|obsessive-compulsive disorder|anxiety, separation|social phobia",Psychiatry and Psychology Category|unknown
141,NCT00000390,imipramine hydrochloride,imipramine hydrochloride,Drug,aids related depression|depression|hiv infection,depression,Psychiatry and Psychology Category
142,NCT00000392,peptide t,peptide t,Drug,cognitive impairment|hiv|hiv-infected|hiv-positive,cognition disorders|hiv infections,unknown|Psychiatry and Psychology Category
143,NCT00000393,d-ala-1-peptide-t-amide|peptide t,peptide t,Drug,aids|cognitive dysfunction|hiv|impairment,cognition disorders|hiv infections,unknown|Psychiatry and Psychology Category
144,NCT00000428,amitriptyline|fl|fluoxetine,amitriptyline plus fluoxitine|amitriptyline,Drug,fibromyalgia,fibromyalgia,Neuromuscular Diseases
145,NCT00000439,depacon|sodium valproate|valproate|valproic acid,sodium valproate,Drug,alcohol dependence|bipolar alcoholics|bipolar disorder|comorbid,bipolar disorder|alcoholism,unknown|Psychiatry and Psychology Category
146,NCT00000446,sertraline,sertraline (zoloft),Drug,"alcohol|alcoholism|stress disorders, post-traumatic","stress disorders, post-traumatic|alcoholism",unknown|Psychiatry and Psychology Category
147,NCT00000448,naltrexone,naltrexone,Drug,alcoholic|alcoholism|depression|feeding and eating disorders,feeding and eating disorders|alcoholism,unknown|Psychiatry and Psychology Category
148,NCT00000458,sertraline,sertraline (zoloft),Drug|Behavioral,depressed alcoholics|depression,depression|alcoholism,unknown|Psychiatry and Psychology Category
149,NCT00000469,lovastatin|warfarin,lovastatin|aspirin|acetylsalicylic acid,Drug,asymptomatic carotid stenosis|atherosclerotic plaques,heart diseases|cerebrovascular disorders|cardiovascular diseases|cerebral arteriosclerosis|carotid stenosis|vascular diseases,Central Nervous System Diseases|unknown
150,NCT00000479,acetylsalicylic acid|aspirin|vitamin e,aspirin|acetylsalicylic acid|vitamin e,Drug|Behavioral,cancer|cardiovascular disease,myocardial infarction|coronary disease|heart diseases|cerebrovascular disorders|cardiovascular diseases|myocardial ischemia|vascular diseases,Central Nervous System Diseases|unknown
151,NCT00000514,,chlorthalidone|reserpine|atenolol,Drug,isolated systolic hypertension|stroke,heart diseases|hypertension|cerebrovascular disorders|cardiovascular diseases,Central Nervous System Diseases|unknown
152,NCT00000517,oral anticoagulant,warfarin,Drug,atrial fibrillation|embolic stroke|rheumatic heart disease|systemic emboli,atrial fibrillation|heart diseases|cerebral embolism and thrombosis|cerebrovascular disorders|cardiovascular diseases|thrombophlebitis|stroke|arrhythmia,Central Nervous System Diseases|unknown
153,NCT00000527,platelet-inhibiting drugs,aspirin|acetylsalicylic acid|dipyridamole,Drug,carotid endarterectomy|recurrent stenosis,heart diseases|cerebrovascular disorders|cardiovascular diseases|carotid stenosis|vascular diseases,Central Nervous System Diseases|unknown
154,NCT00000599,colestipol hydrochloride|lipid lowering|niacin,colestipol|niacin,Drug|Behavioral,"atherosclerosis|coronary bypass graft lesions|coronary, carotid, and femoral artery atherosclerosis",carotid artery diseases|coronary disease|atherosclerosis|heart diseases|coronary arteriosclerosis|cerebrovascular disorders|cardiovascular diseases|cerebral arteriosclerosis|arterial occlusive diseases|myocardial ischemia,Central Nervous System Diseases|unknown
155,NCT00000600,antioxidants|vitamin e,vitamin c|ascorbic acid|vitamin e,Drug,common carotid artery intima-media thickening|early atherosclerosis,carotid artery diseases|atherosclerosis|heart diseases|cerebrovascular disorders|cardiovascular diseases|intracranial arteriosclerosis|vascular diseases,Central Nervous System Diseases|unknown
156,NCT00000613,genistein|phytoestrogen,genistein,Drug|Behavioral,heart disease|postmenopausal,coronary disease|heart diseases|cardiovascular diseases|depression|myocardial ischemia|bone diseases|osteoporosis|postmenopause,unknown|Psychiatry and Psychology Category
157,NCT00000639,amphotericin b|fluconazole|flucytosine|itraconazole,flucytosine|amphotericin b|itraconazole|fluconazole,Drug,acute cryptococcal meningitis|aids|cryptococcus neoformans|hiv infection|meningitis,"hiv infections|meningitis, cryptococcal",Central Nervous System Diseases|unknown
158,NCT00000643,leucovorin calcium|pyrimethamine,pyrimethamine|leucovorin calcium,Drug,"aids|hiv-infected|toxoplasmosis, cerebral","toxoplasmosis, cerebral|hiv infections",Central Nervous System Diseases|unknown
159,NCT00000648,benzylpenicillin|ceftriaxone,ceftriaxone sodium|penicillin g potassium,Drug,hiv|hiv seropositive|neurosyphilis|syphilis,neurosyphilis|hiv infections,Central Nervous System Diseases|unknown
160,NCT00000657,"2 ', 3'- dideoxyinosine|didanosine|zidovudine",didanosine|zidovudine,Drug,aids|aids dementia complex|hiv|progression of the aids dementia complex,aids dementia complex|hiv infections,Central Nervous System Diseases|unknown
161,NCT00000666,clindamycin|pyrimethamine|sulfadiazine,pyrimethamine,Drug,aids|hiv|infected|latent toxoplasma gondii|latent toxoplasma gondii infection|toxoplasmic encephalitis,"toxoplasmosis, cerebral|hiv infections",Central Nervous System Diseases|unknown
162,NCT00000674,clindamycin|leucovorin calcium|pyrimethamine|sulfadiazine|sulfonamide,pyrimethamine|clindamycin|leucovorin calcium,Drug,acute phase of toxoplasmic encephalitis|acute toxoplasmic encephalitis|aids|encephalitis|marrow toxicity|toxoplasma|toxoplasmic encephalitis,"toxoplasmosis, cerebral|hiv infections",Central Nervous System Diseases|unknown
163,NCT00000677,amphotericin b|sch 39304,sch 39304,Drug,"acute cryptococcal meningitis|hiv|hiv-infected|meningitis, cryptococcal","hiv infections|meningitis, cryptococcal",Central Nervous System Diseases|unknown
164,NCT00000702,zidovudine,zidovudine,Drug,aids dementia complex|central nervous system (cns) human immunodeficiency virus (|hiv infection|hiv) infection|human immunodeficiency virus,aids dementia complex|hiv infections,Central Nervous System Diseases|unknown
165,NCT00000708,"amphotericin b|fluconazole|flucytosine|uk-49, 858",flucytosine|amphotericin b|fluconazole,Drug,"acute cryptococcal meningitis|aids|meningitis, cryptococcal","hiv infections|meningitis, cryptococcal",Central Nervous System Diseases|unknown
166,NCT00000709,zidovudine,zidovudine,Drug,aids|aids dementia complex|dementia|hiv|low cd4 + lymphocyte counts,aids dementia complex|hiv infections,Central Nervous System Diseases|unknown
167,NCT00000738,nimodipine,zidovudine|nimodipine,Drug,aids dementia complex|hiv|hiv-1|hiv-associated motor/cognitive complex|hiv-infected,aids dementia complex|hiv infections,Central Nervous System Diseases|unknown
168,NCT00000776,corticosteroids|dexamethasone,dexamethasone|flucytosine|amphotericin b|fluconazole,Drug,"aids|intracranial hypertension|meningitis|meningitis, cryptococcal","hiv infections|meningitis, cryptococcal",Central Nervous System Diseases|unknown
169,NCT00000793,amitriptyline|amitriptyline hydrochloride|benztropine mesylate|mexiletine|mexiletine hydrochloride,mexiletine hydrochloride|benztropine mesylate|amitriptyline hydrochloride,Drug,hiv infection|hiv-related|pain|painful hiv-related neuropathy|painful neuropathies|painful neuropathy|painful peripheral neuropathy,peripheral nervous system diseases|hiv infections,Neuromuscular Diseases|unknown
170,NCT00000794,atovaquone|pyrimethamine|sulfadiazine,leucovorin calcium|atovaquone|clarithromycin|pyrimethamine|sulfadiazine,Drug,acute toxoplasmic encephalitis|aids|toxoplasmic encephalitis|toxoplasmosis,"toxoplasmosis, cerebral|hiv infections",Central Nervous System Diseases|unknown
171,NCT00000817,amitriptyline,amitriptyline hydrochloride,Drug|Procedure,hiv infection|hiv-infected|pain|peripheral nervous system diseases,peripheral nervous system diseases|hiv infections,Neuromuscular Diseases|unknown
172,NCT00000842,cenegermin|nerve growth factor|recombinant human nerve growth factor,"nerve growth factor, recombinant human",Drug,hiv-associated painful sensory neuropathy|hiv-associated sensory neuropathy,peripheral nervous system diseases|hiv infections,Neuromuscular Diseases|unknown
