,Neurological Disease,Source,Disease Class
68,Abnormal Movements,MeSH,Central Nervous System Diseases
69,Abnormal Proliferation Cortical Malformations,MeSH,Nervous System Malformations
70,Abnormal Reflex,MeSH,Neurologic Manifestations
71,Abnormal Reflexes,MeSH,Neurologic Manifestations
72,Abnormal VEP - [visual evoked potential],ICD,Diseases of the nervous system
73,Abnormal brain function studies,ICD,Diseases of the nervous system
74,Abnormal brain scan,ICD,Diseases of the nervous system
75,Abnormal caloric test,ICD,Diseases of the nervous system
76,Abnormal chromosomal findings not elsewhere classified,ICD,Diseases of the nervous system
77,Abnormal cytological findings in cerebrospinal fluid,ICD,Diseases of the nervous system
78,Abnormal echoencephalogram,ICD,Diseases of the nervous system
79,Abnormal head movements,ICD,Diseases of the nervous system
80,Abnormal histological findings in cerebrospinal fluid,ICD,Diseases of the nervous system
81,Abnormal immunological findings in cerebrospinal fluid,ICD,Diseases of the nervous system
82,Abnormal involuntary movements,ICD,Diseases of the nervous system
83,"Abnormal level of drugs, medicaments and biological substances in cerebrospinal fluid",ICD,Diseases of the nervous system
84,Abnormal level of enzymes in cerebrospinal fluid,ICD,Diseases of the nervous system
85,Abnormal level of hormones in cerebrospinal fluid,ICD,Diseases of the nervous system
86,Abnormal level of substances chiefly nonmedicinal as to source in cerebrospinal fluid,ICD,Diseases of the nervous system
87,Abnormal microbiological findings in cerebrospinal fluid,ICD,Diseases of the nervous system
88,Abnormal neuronal migration,ICD,Diseases of the nervous system
89,Abnormal or painful amputation stump,ICD,Diseases of the nervous system
90,Abnormal posture,ICD,Diseases of the nervous system
91,Abnormal reflex,ICD,Diseases of the nervous system
92,Abnormal response to nerve stimulation,ICD,Diseases of the nervous system
93,Abnormal results of function studies of central nervous system,ICD,Diseases of the nervous system
94,Abnormal results of function studies of peripheral nervous system or special senses,ICD,Diseases of the nervous system
95,Abnormalities of gait and mobility,ICD,Diseases of the nervous system
96,Abnormalities of vascular origin causing spinal cord compression,ICD,Diseases of the nervous system
97,"Abnormalities, Congenital, Nervous System",MeSH,Nervous System Malformations
98,"Abnormalities, Nervous System",MeSH,Nervous System Malformations
99,Abnormality of gait,ICD,Diseases of the nervous system
100,Abnormality of tonus and reflex,ICD,Diseases of the nervous system
101,"Abnormality, Nervous System",MeSH,Nervous System Malformations
102,Abrasion of buccal mucosa,ICD,Diseases of the nervous system
103,Abrasion of ear,ICD,Diseases of the nervous system
104,Abrasion of eyelid or periocular area,ICD,Diseases of the nervous system
105,Abrasion of lip or oral cavity,ICD,Diseases of the nervous system
106,Abrasion of neck,ICD,Diseases of the nervous system
107,Abrasion of nose,ICD,Diseases of the nervous system
108,Abrasion of other or unspecified sites of head,ICD,Diseases of the nervous system
109,Abrasion of scalp,ICD,Diseases of the nervous system
110,Abrasion of supraorbital region,ICD,Diseases of the nervous system
111,Abrasion of temple,ICD,Diseases of the nervous system
112,Abrasion of throat,ICD,Diseases of the nervous system
113,Abscess causing spinal cord compression,ICD,Diseases of the nervous system
114,Abscess of the corpus callosum,ICD,Diseases of the nervous system
115,"Abscess, Brain",MeSH,Central Nervous System Diseases
116,"Abscess, Epidural",MeSH,Central Nervous System Diseases
117,"Abscess, Extradural",MeSH,Central Nervous System Diseases
118,Absence Epilepsy,MeSH,Central Nervous System Diseases
119,Absence episode,ICD,Diseases of the nervous system
120,"Absence of Brain, Congenital",MeSH,Nervous System Malformations
121,"Absence of Cerebral Hemispheres, Congenital",MeSH,Nervous System Malformations
122,Absence of Corpus Callosum,MeSH,Nervous System Malformations
123,Absence of Voice,MeSH,Neurologic Manifestations
124,"Absence seizures, atypical",ICD,Diseases of the nervous system
125,"Absence seizures, typical",ICD,Diseases of the nervous system
126,Absence status epilepticus,ICD,Diseases of the nervous system
127,Abuse of antacids,ICD,Diseases of the nervous system
128,Abuse of anxiolytics,ICD,Diseases of the nervous system
129,Abuse of herbal or folk remedies,ICD,Diseases of the nervous system
130,Abuse of hormones,ICD,Diseases of the nervous system
131,Abuse of hypnotics,ICD,Diseases of the nervous system
132,Abuse of laxatives,ICD,Diseases of the nervous system
133,Abuse of salicylism,ICD,Diseases of the nervous system
134,Abuse of steroids,ICD,Diseases of the nervous system
135,Abuse of vitamins,ICD,Diseases of the nervous system
136,Acalculia,MeSH|ICD,Diseases of the nervous system|Neurologic Manifestations
137,Acalculias,MeSH,Neurologic Manifestations
138,Acalvaria,ICD,Diseases of the nervous system
139,"Acanthocytoses, Chorea",MeSH,Central Nervous System Diseases
140,Acanthocytosis with Neurologic Disorder,MeSH,Central Nervous System Diseases
141,"Acanthocytosis, Chorea",MeSH,Central Nervous System Diseases
142,Acarophobia,ICD,Diseases of the nervous system
143,"Acathisia, Drug Induced",MeSH,Neurotoxicity Syndromes
144,"Acathisia, Drug-Induced",MeSH,Neurotoxicity Syndromes
145,Accessory Nerve Disease,MeSH,Cranial Nerve Diseases
146,Accessory Nerve Diseases,MeSH,Cranial Nerve Diseases
147,Accessory Nerve Injuries,MeSH,Cranial Nerve Diseases
148,Accessory Nerve Injury,MeSH,Cranial Nerve Diseases
149,Accessory Nerve Trauma,MeSH,Cranial Nerve Diseases
150,Accessory Nerve Traumas,MeSH,Cranial Nerve Diseases
151,"Accessory Neuropathies, Traumatic",MeSH,Cranial Nerve Diseases
152,"Accessory Neuropathy, Traumatic",MeSH,Cranial Nerve Diseases
153,Acephaly,ICD,Diseases of the nervous system
154,Acetazolamide-responsive myotonia,ICD,Diseases of the nervous system
155,Acid Alpha Glucosidase Deficiency,MeSH,Central Nervous System Diseases
156,Acid Alpha-Glucosidase Deficiencies,MeSH,Central Nervous System Diseases
157,Acid Alpha-Glucosidase Deficiency,MeSH,Central Nervous System Diseases
158,Acid Ceramidase Deficiencies,MeSH,Central Nervous System Diseases
159,Acid Ceramidase Deficiency,MeSH,Central Nervous System Diseases
160,Acid Maltase Deficiency Disease,MeSH,Central Nervous System Diseases
161,Acid beta-Glucosidase Deficiency,MeSH,Central Nervous System Diseases
162,Acid beta-Glucosidase Deficiency Disease,MeSH,Central Nervous System Diseases
163,"Acidemia, Argininosuccinate",MeSH,Central Nervous System Diseases
164,"Acidemias, Argininosuccinate",MeSH,Central Nervous System Diseases
165,"Aciduria, Argininosuccinic",MeSH,Central Nervous System Diseases
166,"Acidurias, Argininosuccinic",MeSH,Central Nervous System Diseases
167,Acne excoriee,ICD,Diseases of the nervous system
168,Acoustic Neurilemmoma,MeSH,Cranial Nerve Diseases
169,Acoustic Neurilemmomas,MeSH,Cranial Nerve Diseases
170,Acoustic Neurilemoma,MeSH,Cranial Nerve Diseases
171,Acoustic Neurilemomas,MeSH,Cranial Nerve Diseases
172,Acoustic Neurinoma,MeSH,Cranial Nerve Diseases
173,Acoustic Neurinomas,MeSH,Cranial Nerve Diseases
174,"Acoustic Neurofibromatoses, Bilateral",MeSH,Cranial Nerve Diseases
175,"Acoustic Neurofibromatosis, Bilateral",MeSH,Cranial Nerve Diseases
176,Acoustic Neuroma,MeSH,Cranial Nerve Diseases
177,Acoustic Neuromas,MeSH,Cranial Nerve Diseases
178,Acoustic Perceptual Disorder,MeSH,Neurologic Manifestations
179,Acoustic Perceptual Disorders,MeSH,Neurologic Manifestations
180,Acoustic Schwannoma,MeSH,Cranial Nerve Diseases
181,Acoustic Schwannomas,MeSH,Cranial Nerve Diseases
182,Acoustic Tumor,MeSH,Cranial Nerve Diseases
183,Acoustic Tumors,MeSH,Cranial Nerve Diseases
184,Acquired Aphasia with Convulsive Disorder,MeSH,Central Nervous System Diseases
185,Acquired Childhoood Aphasia with Convulsive Disorder,MeSH,Central Nervous System Diseases
186,Acquired Dyslexia,MeSH,Neurologic Manifestations
187,Acquired Epileptic Aphasia,MeSH,Central Nervous System Diseases
188,Acquired Epileptic Aphasias,MeSH,Central Nervous System Diseases
189,Acquired Epileptiform Aphasia,MeSH,Central Nervous System Diseases
190,Acquired Epileptiform Aphasias,MeSH,Central Nervous System Diseases
191,Acquired Oculomotor nerve palsy,ICD,Diseases of the nervous system
192,Acquired Reading Disabilities,MeSH,Neurologic Manifestations
193,Acquired Reading Disability,MeSH,Neurologic Manifestations
194,Acquired Word Blindness,MeSH,Neurologic Manifestations
195,Acquired Word Blindnesses,MeSH,Neurologic Manifestations
196,Acquired ataxia,ICD,Diseases of the nervous system
197,"Acquired brain deformity, not elsewhere classified",ICD,Diseases of the nervous system
198,Acquired conductive hearing loss,ICD,Diseases of the nervous system
199,Acquired epileptic aphasia,ICD,Diseases of the nervous system
200,Acquired hearing impairment,ICD,Diseases of the nervous system
201,Acquired idiopathic generalised anhidrosis,ICD,Diseases of the nervous system
202,Acquired mixed conductive and sensorineural hearing loss,ICD,Diseases of the nervous system
203,Acquired optic atrophy,ICD,Diseases of the nervous system
204,Acquired porencephalic cysts,ICD,Diseases of the nervous system
205,Acquired prion disease,ICD,Diseases of the nervous system
206,Acquired sensorineural hearing loss,ICD,Diseases of the nervous system
207,Acquired structural lesions of the autonomic nervous system,ICD,Diseases of the nervous system
208,Acquired trochlear nerve palsy,ICD,Diseases of the nervous system
209,Acquired-Immune Deficiency Syndrome Dementia Complex,MeSH,Central Nervous System Diseases
210,Acrocallosal Syndrome,MeSH,Nervous System Malformations
211,Acrocallosal Syndromes,MeSH,Nervous System Malformations
212,Acrodynia,MeSH,Neurotoxicity Syndromes
213,Acrodynic Erythema,MeSH,Neurotoxicity Syndromes
214,Acromegaly,MeSH,Central Nervous System Diseases
215,Acromegaly Due To Pituitary Adenoma,MeSH,Central Nervous System Diseases
216,Acroparaesthesia,ICD,Diseases of the nervous system
217,"Acroparaesthesia, simple",ICD,Diseases of the nervous system
218,"Acroparaesthesia, vasomotor",ICD,Diseases of the nervous system
219,Acrophobia,ICD,Diseases of the nervous system
220,Actin myopathy,ICD,Diseases of the nervous system
221,"Activator Deficiencies, GM2",MeSH,Central Nervous System Diseases
222,"Activator Deficiencies, Hexosaminidase",MeSH,Central Nervous System Diseases
223,Activator Deficiency GM2 Gangliosidosis,MeSH,Central Nervous System Diseases
224,"Activator Deficiency, GM2",MeSH,Central Nervous System Diseases
225,"Activator Deficiency, Hexosaminidase",MeSH,Central Nervous System Diseases
226,Activator Deficient Tay Sachs Disease,MeSH,Central Nervous System Diseases
227,Activator-Deficient Tay-Sachs Disease,MeSH,Central Nervous System Diseases
228,Activator-Deficient Tay-Sachs Diseases,MeSH,Central Nervous System Diseases
229,Acute Disseminated Encephalomyelitides,MeSH,Central Nervous System Diseases
230,Acute Disseminated Encephalomyelitis,MeSH,Central Nervous System Diseases
231,Acute Encephalitis Syndrome,MeSH,Central Nervous System Diseases
232,Acute Encephalitis Syndromes,MeSH,Central Nervous System Diseases
233,Acute Febrile Encephalopathies,MeSH,Central Nervous System Diseases
234,Acute Febrile Encephalopathy,MeSH,Central Nervous System Diseases
235,Acute Hemorrhagic Encephalomyelitides,MeSH,Autoimmune Diseases of the Nervous System
236,Acute Hemorrhagic Encephalomyelitis,MeSH,Autoimmune Diseases of the Nervous System
237,Acute Hemorrhagic Leukoencephalitides,MeSH,Autoimmune Diseases of the Nervous System
238,Acute Hemorrhagic Leukoencephalitis,MeSH,Autoimmune Diseases of the Nervous System
239,Acute Idiopathic Facial Neuropathy,MeSH,Cranial Nerve Diseases
240,Acute Inflammatory Facial Neuropathy,MeSH,Cranial Nerve Diseases
241,Acute Poliomyelitis,MeSH,Neuromuscular Diseases
242,"Acute Poliomyelitis, Epidemic",MeSH,Neuromuscular Diseases
243,Acute Subdural Hematoma,MeSH,"Trauma, Nervous System"
244,Acute Subdural Hematomas,MeSH,"Trauma, Nervous System"
245,Acute alcoholic myopathy,ICD,Diseases of the nervous system
246,Acute and transient psychotic disorder,ICD,Diseases of the nervous system
247,"Acute and transient psychotic disorder, first episode",ICD,Diseases of the nervous system
248,"Acute and transient psychotic disorder, first episode, currently symptomatic",ICD,Diseases of the nervous system
249,"Acute and transient psychotic disorder, first episode, in full remission",ICD,Diseases of the nervous system
250,"Acute and transient psychotic disorder, first episode, in partial remission",ICD,Diseases of the nervous system
251,"Acute and transient psychotic disorder, multiple episodes",ICD,Diseases of the nervous system
252,"Acute and transient psychotic disorder, multiple episodes, currently symptomatic",ICD,Diseases of the nervous system
253,"Acute and transient psychotic disorder, multiple episodes, in full remission",ICD,Diseases of the nervous system
254,"Acute and transient psychotic disorder, multiple episodes, in partial remission",ICD,Diseases of the nervous system
255,Acute anterior polioencephalomyelitis,ICD,Diseases of the nervous system
256,Acute arterial infarction of the spinal cord,ICD,Diseases of the nervous system
257,Acute ascending poliomyelitis,ICD,Diseases of the nervous system
258,Acute atrophic infantile spinal paralysis,ICD,Diseases of the nervous system
259,Acute atrophic spinal paralysis,ICD,Diseases of the nervous system
260,"Acute back pain, not otherwise specified",ICD,Diseases of the nervous system
261,Acute bulbar polioencephalitis,ICD,Diseases of the nervous system
262,Acute cerebrovascular disease,ICD,Diseases of the nervous system
263,Acute cerebrovascular insufficiency,ICD,Diseases of the nervous system
264,Acute disseminated encephalitis,ICD,Diseases of the nervous system
265,Acute disseminated encephalomyelitis,ICD,Diseases of the nervous system
266,Acute dystonic reaction,ICD,Diseases of the nervous system
267,Acute glossopharyngeal zoster neuropathy,ICD,Diseases of the nervous system
268,Acute haemorrhagic leukoencephalitis,ICD,Diseases of the nervous system
269,Acute headache associated with craniotomy,ICD,Diseases of the nervous system
270,Acute headache associated with mild traumatic injury to the head,ICD,Diseases of the nervous system
271,Acute headache associated with moderate or severe injury to the head,ICD,Diseases of the nervous system
272,Acute headache associated with traumatic injury to the head,ICD,Diseases of the nervous system
273,Acute headache associated with whiplash injury,ICD,Diseases of the nervous system
274,Acute herpetic geniculate ganglionitis,ICD,Diseases of the nervous system
275,Acute inflammatory demyelinating polyneuropathy,ICD,Diseases of the nervous system
276,Acute intoxication by the combined effects of fentanyl and heroin,ICD,Diseases of the nervous system
277,Acute intoxication due to fentanyl,ICD,Diseases of the nervous system
278,Acute methadone intoxication,ICD,Diseases of the nervous system
279,Acute methamphetamine intoxication,ICD,Diseases of the nervous system
280,Acute motor axonal neuropathy,ICD,Diseases of the nervous system
281,Acute motor sensory axonal neuropathy,ICD,Diseases of the nervous system
282,Acute multiple neuropathy,ICD,Diseases of the nervous system
283,Acute neuropathy of cranial nerve due to zoster,ICD,Diseases of the nervous system
284,Acute nonepidemic poliomyelitis,ICD,Diseases of the nervous system
285,Acute nonparalytic poliomyelitis,ICD,Diseases of the nervous system
286,Acute panautonomic neuropathy,ICD,Diseases of the nervous system
287,Acute paralytic bulbar poliomyelitis,ICD,Diseases of the nervous system
288,"Acute paralytic poliomyelitis, not elsewhere classified",ICD,Diseases of the nervous system
289,"Acute paralytic poliomyelitis, vaccine-associated",ICD,Diseases of the nervous system
290,"Acute paralytic poliomyelitis, wild virus, imported",ICD,Diseases of the nervous system
291,"Acute paralytic poliomyelitis, wild virus, indigenous",ICD,Diseases of the nervous system
292,Acute poliomyelitis,ICD,Diseases of the nervous system
293,Acute repetitive seizures,ICD,Diseases of the nervous system
294,Acute seizures due to alcohol withdrawal,ICD,Diseases of the nervous system
295,Acute seizures due to central nervous system infections or infestations,ICD,Diseases of the nervous system
296,Acute sensory ataxic neuropathy,ICD,Diseases of the nervous system
297,Acute sensory polyneuropathy,ICD,Diseases of the nervous system
298,Acute toxic encephalopathy,ICD,Diseases of the nervous system
299,Acute toxicity due to early brain irradiation,ICD,Diseases of the nervous system
300,Acute transverse myelitis in demyelinating disease of the central nervous system,ICD,Diseases of the nervous system
301,Acute traumatic subdural haemorrhage,ICD,Diseases of the nervous system
302,Acute trigeminal zoster neuropathy,ICD,Diseases of the nervous system
303,Acute trochlear nerve palsy,ICD,Diseases of the nervous system
304,Acute venous infarction of the spinal cord,ICD,Diseases of the nervous system
305,Acute vestibular syndrome,ICD,Diseases of the nervous system
306,Acute vestibular syndrome due to acute attack of episodic vestibular disorder,ICD,Diseases of the nervous system
307,Acute vestibular syndrome due to anxiety or fear-related disorders,ICD,Diseases of the nervous system
308,Acute vestibular syndrome due to cerebrovascular disease,ICD,Diseases of the nervous system
309,Acute vestibular syndrome due to injury to the head,ICD,Diseases of the nervous system
310,Acute whiplash associated disorder with complaint of neck pain with musculoskeletal signs,ICD,Diseases of the nervous system
311,Acute whiplash associated disorder with complaint of neck pain with neurological signs,ICD,Diseases of the nervous system
312,"Acute whiplash associated disorder with complaint of neck pain, stiffness or tenderness only",ICD,Diseases of the nervous system
313,Acute whiplash injury associated with pain disorders,ICD,Diseases of the nervous system
314,Addison Disease and Cerebral Sclerosis,MeSH,Central Nervous System Diseases
315,Adenohypophyseal Hyposecretion,MeSH,Central Nervous System Diseases
316,"Adenoma, Corticotroph",MeSH,Central Nervous System Diseases
317,"Adenoma, Lactotroph",MeSH,Central Nervous System Diseases
318,"Adenoma, Prolactin-Secreting, Pituitary",MeSH,Central Nervous System Diseases
319,"Adenoma, Somatotroph",MeSH,Central Nervous System Diseases
320,"Adenomas, Corticotroph",MeSH,Central Nervous System Diseases
321,"Adenomas, Lactotroph",MeSH,Central Nervous System Diseases
322,"Adenomas, Somatotroph",MeSH,Central Nervous System Diseases
323,Adhesive arachnoiditis,ICD,Diseases of the nervous system
324,Adie Pupil,MeSH,Neurologic Manifestations
325,Adie Syndrome,MeSH,Cranial Nerve Diseases
326,Adie's Pupil,MeSH,Neurologic Manifestations
327,Adie's Syndrome,MeSH,Cranial Nerve Diseases
328,Adies Pupil,MeSH,Neurologic Manifestations
329,Adjustment disorder,ICD,Diseases of the nervous system
330,Adjustment reaction with destructiveness,ICD,Diseases of the nervous system
331,Adolescent Myoclonic Epilepsy,MeSH,Central Nervous System Diseases
332,Adrenoleukodystrophy,MeSH|ICD,Diseases of the nervous system|Central Nervous System Diseases
333,"Adrenoleukodystrophy, X-Linked",MeSH,Central Nervous System Diseases
334,Adrenomyeloneuropathy,ICD,Diseases of the nervous system
335,Adult Krabbe disease,ICD,Diseases of the nervous system
336,Adult Neurologic Saturnism,MeSH,Neurotoxicity Syndromes
337,Adult Refsum Disease,MeSH,Nervous System Malformations
338,Adult Refsum Diseases,MeSH,Nervous System Malformations
339,Adult dermatomyositis,ICD,Diseases of the nervous system
340,Adult dermatomyositis with calcinosis,ICD,Diseases of the nervous system
341,Adult dermatomyositis with overlap to nonorgan specific systemic autoimmune disorders,ICD,Diseases of the nervous system
342,Adult intestinal botulism,ICD,Diseases of the nervous system
343,Adult metachromatic leukodystrophy,ICD,Diseases of the nervous system
344,"Adult onset spinal muscular atrophy, Type IV",ICD,Diseases of the nervous system
345,Adult-onset autosomal dominant leukodystrophy,ICD,Diseases of the nervous system
346,Adult-onset dystonia-parkinsonism,ICD,Diseases of the nervous system
347,Adult-onset familial primary dystonia,ICD,Diseases of the nervous system
348,Adult-onset leukodystrophy with axonal spheroids,ICD,Diseases of the nervous system
349,Adult-onset nemaline myopathy,ICD,Diseases of the nervous system
350,Adult-onset sporadic primary dystonia,ICD,Diseases of the nervous system
351,Adult-onset tics,ICD,Diseases of the nervous system
352,Advanced Alzheimer disease,ICD,Diseases of the nervous system
353,Advanced sleep-wake phase disorder,ICD,Diseases of the nervous system
354,Adverse outcome following fetal skin biopsy,ICD,Diseases of the nervous system
355,Adynamia Episodica Hereditaria,MeSH,Neuromuscular Diseases
356,Adynamia Episodica Hereditaria with or without Myotonia,MeSH,Neuromuscular Diseases
357,Aesthesioneuroblastoma,MeSH,Cranial Nerve Diseases
358,Aesthesioneuroblastomas,MeSH,Cranial Nerve Diseases
359,Age-associated cognitive decline,ICD,Diseases of the nervous system
360,"Ageneses, Corpus Callosum",MeSH,Nervous System Malformations
361,Agenesis of Corpus Callosum,MeSH,Nervous System Malformations
362,Agenesis of Corpus Callosum with Chorioretinal Abnormality,MeSH,Nervous System Malformations
363,Agenesis of Corpus Callosum with Infantile Spasms and Ocular Abnormalities,MeSH,Nervous System Malformations
364,"Agenesis, Corpus Callosum",MeSH,Nervous System Malformations
365,Ageusia,MeSH,Neurologic Manifestations
366,Agitated Emergence,MeSH,Neurologic Manifestations
367,Agitated depression single episode without psychotic symptoms,ICD,Diseases of the nervous system
368,Agitation or aggression in dementia,ICD,Diseases of the nervous system
369,"Agitation, Emergence",MeSH,Neurologic Manifestations
370,"Agitation, Psychomotor",MeSH,Neurologic Manifestations
371,"Agitations, Emergence",MeSH,Neurologic Manifestations
372,Agnosia,MeSH|ICD,Diseases of the nervous system|Neurologic Manifestations
373,Agnosia for Face,MeSH,Neurologic Manifestations
374,Agnosia for Faces,MeSH,Neurologic Manifestations
375,"Agnosia, Facial Recognition",MeSH,Neurologic Manifestations
376,"Agnosia, Visual Verbal",MeSH,Neurologic Manifestations
377,Agnosias,MeSH,Neurologic Manifestations
378,"Agnosias, Facial Recognition",MeSH,Neurologic Manifestations
379,"Agnosias, Visual Verbal",MeSH,Neurologic Manifestations
380,Agoraphobia,ICD,Diseases of the nervous system
381,Agrammatism,ICD,Diseases of the nervous system
382,Agraphia,MeSH|ICD,Diseases of the nervous system|Neurologic Manifestations
383,"Agraphia, Alexia Without",MeSH,Neurologic Manifestations
384,Agraphias,MeSH,Neurologic Manifestations
385,"Agraphias, Alexia Without",MeSH,Neurologic Manifestations
386,Agyria Pachygyria Band Spectrum,MeSH,Nervous System Malformations
387,Agyria-Pachygyria-Band Spectrum,MeSH,Nervous System Malformations
388,Aicardi Syndrome,MeSH,Nervous System Malformations
389,Aicardi syndrome,ICD,Diseases of the nervous system
390,Aicardi's Syndrome,MeSH,Nervous System Malformations
391,"Air embolism following infusion, transfusion or therapeutic injection",ICD,Diseases of the nervous system
392,"Airocele, Cranial",MeSH,Central Nervous System Diseases
393,"Airoceles, Cranial",MeSH,Central Nervous System Diseases
394,Airocoele,ICD,Diseases of the nervous system
395,Akathisia,ICD,Diseases of the nervous system
396,Akathisia due to drugs,ICD,Diseases of the nervous system
397,Akathisia not related to drugs,ICD,Diseases of the nervous system
398,"Akathisia, Drug Induced",MeSH,Neurotoxicity Syndromes
399,"Akathisia, Drug-Induced",MeSH,Neurotoxicity Syndromes
400,Akinesia,ICD,Diseases of the nervous system
401,Akinetic Autism,MeSH,Central Nervous System Diseases
402,Akinetic Mutism,MeSH,Central Nervous System Diseases
403,Akinetic Mutisms,MeSH,Central Nervous System Diseases
404,Akinetic mutism,ICD,Diseases of the nervous system
405,Alalia,ICD,Diseases of the nervous system
406,"Alcohol Abuse, Nervous System",MeSH,Neurotoxicity Syndromes
407,Alcohol Amnestic Disorder,MeSH,Neurotoxicity Syndromes
408,Alcohol Amnestic Disorders,MeSH,Neurotoxicity Syndromes
409,Alcohol Amnestic Syndrome,MeSH,Neurotoxicity Syndromes
410,Alcohol Amnestic Syndromes,MeSH,Neurotoxicity Syndromes
411,Alcohol Induced Amnestic Psychosis,MeSH,Neurotoxicity Syndromes
412,Alcohol Induced Amnestic Syndrome,MeSH,Neurotoxicity Syndromes
413,"Alcohol Induced Disorders, Nervous System",MeSH,Neurotoxicity Syndromes
414,Alcohol Induced Dysmnesic Psychosis,MeSH,Neurotoxicity Syndromes
415,Alcohol Induced Dysmnesic Syndrome,MeSH,Neurotoxicity Syndromes
416,Alcohol Induced Korsakoff Syndrome,MeSH,Neurotoxicity Syndromes
