,Neurological Disease,Disease Class,Source
110,Functional Hearing Loss,Diseases Category,MeSH
111,"Hearing Loss, Psychogenic",Diseases Category,MeSH
112,Psychogenic Hearing Loss,Diseases Category,MeSH
113,"Hearing Loss, Nonorganic",Diseases Category,MeSH
114,Nonorganic Hearing Loss,Diseases Category,MeSH
115,"Coprophagia, Human",Psychiatry and Psychology Category,MeSH
116,Human Coprophagy,Psychiatry and Psychology Category,MeSH
117,"Coprophagy, Human",Psychiatry and Psychology Category,MeSH
118,Human Cecotrophy,Psychiatry and Psychology Category,MeSH
119,"Cecotrophy, Human",Psychiatry and Psychology Category,MeSH
120,Cognitive Exhaustion,Diseases Category,MeSH
121,Cognitive Exhaustions,Diseases Category,MeSH
122,"Exhaustion, Cognitive",Diseases Category,MeSH
123,"Fatigue, Mental",Diseases Category,MeSH
124,Cognitive Weariness,Diseases Category,MeSH
125,Cognitive Wearinesses,Diseases Category,MeSH
126,"Weariness, Cognitive",Diseases Category,MeSH
127,Mental Fog,Diseases Category,MeSH
128,"Fog, Mental",Diseases Category,MeSH
129,Brain Fog,Diseases Category,MeSH
130,"Fog, Brain",Diseases Category,MeSH
131,Alert Fatigue Health Personnel,Diseases Category,MeSH
132,Health Personnel Alert Fatigue,Diseases Category,MeSH
133,Alarm Fatigue,Diseases Category,MeSH
134,"Fatigue, Alarm",Diseases Category,MeSH
135,"Fatigue, Compassion",Diseases Category,MeSH
136,Vicarious Trauma,Diseases Category,MeSH
137,"Trauma, Vicarious",Diseases Category,MeSH
138,"Traumas, Vicarious",Diseases Category,MeSH
139,Vicarious Traumas,Diseases Category,MeSH
140,Secondary Trauma,Diseases Category,MeSH
141,Secondary Traumas,Diseases Category,MeSH
142,"Trauma, Secondary",Diseases Category,MeSH
143,"Traumas, Secondary",Diseases Category,MeSH
144,Secondary Traumatization,Diseases Category,MeSH
145,Secondary Traumatizations,Diseases Category,MeSH
146,"Traumatization, Secondary",Diseases Category,MeSH
147,"Traumatizations, Secondary",Diseases Category,MeSH
148,Secondary Traumatic Stress,Diseases Category,MeSH
149,"Stress, Secondary Traumatic",Diseases Category,MeSH
150,"Stresses, Secondary Traumatic",Diseases Category,MeSH
151,"Traumatic Stress, Secondary",Diseases Category,MeSH
152,Vicarious Traumatization,Diseases Category,MeSH
153,"Traumatization, Vicarious",Diseases Category,MeSH
154,"Behavior, Obsessive",Psychiatry and Psychology Category,MeSH
155,"Behaviors, Obsessive",Psychiatry and Psychology Category,MeSH
156,Obsessive Behaviors,Psychiatry and Psychology Category,MeSH
157,Obsessions,Psychiatry and Psychology Category,MeSH
158,Obsession,Psychiatry and Psychology Category,MeSH
159,Stalkings,Psychiatry and Psychology Category,MeSH
160,"Behavior, Paranoid",Psychiatry and Psychology Category,MeSH
161,"Behaviors, Paranoid",Psychiatry and Psychology Category,MeSH
162,Paranoid Behaviors,Psychiatry and Psychology Category,MeSH
163,"Polydipsias, Psychogenic",Diseases Category,MeSH
164,Psychogenic Polydipsia,Diseases Category,MeSH
165,Psychogenic Polydipsias,Diseases Category,MeSH
166,"Polydipsia, Primary",Diseases Category,MeSH
167,"Polydipsias, Primary",Diseases Category,MeSH
168,Primary Polydipsia,Diseases Category,MeSH
169,Primary Polydipsias,Diseases Category,MeSH
170,"Behavior, Problem",Psychiatry and Psychology Category,MeSH
171,"Behaviors, Problem",Psychiatry and Psychology Category,MeSH
172,Problem Behaviors,Psychiatry and Psychology Category,MeSH
173,Behavioral Problem,Psychiatry and Psychology Category,MeSH
174,Behavioral Problems,Psychiatry and Psychology Category,MeSH
175,"Problem, Behavioral",Psychiatry and Psychology Category,MeSH
176,"Problems, Behavioral",Psychiatry and Psychology Category,MeSH
177,"Dysfunctional Behavior, Psychology",Psychiatry and Psychology Category,MeSH
178,"Behavior, Psychology Dysfunctional",Psychiatry and Psychology Category,MeSH
179,"Behaviors, Psychology Dysfunctional",Psychiatry and Psychology Category,MeSH
180,"Dysfunctional Behaviors, Psychology",Psychiatry and Psychology Category,MeSH
181,Psychology Dysfunctional Behavior,Psychiatry and Psychology Category,MeSH
182,Psychology Dysfunctional Behaviors,Psychiatry and Psychology Category,MeSH
183,Disruptive Behavior,Psychiatry and Psychology Category,MeSH
184,"Behavior, Disruptive",Psychiatry and Psychology Category,MeSH
185,"Behaviors, Disruptive",Psychiatry and Psychology Category,MeSH
186,Disruptive Behaviors,Psychiatry and Psychology Category,MeSH
187,"Language, Schizophrenic",Psychiatry and Psychology Category,MeSH
188,"Behavior, Self-Injurious",Psychiatry and Psychology Category,MeSH
189,Self Injurious Behavior,Psychiatry and Psychology Category,MeSH
190,Self-Injurious Behaviors,Psychiatry and Psychology Category,MeSH
191,Intentional Self Injury,Psychiatry and Psychology Category,MeSH
192,Intentional Self Injuries,Psychiatry and Psychology Category,MeSH
193,"Self Injury, Intentional",Psychiatry and Psychology Category,MeSH
194,Intentional Self Harm,Psychiatry and Psychology Category,MeSH
195,"Self Harm, Intentional",Psychiatry and Psychology Category,MeSH
196,Nonsuicidal Self Injury,Psychiatry and Psychology Category,MeSH
197,Nonsuicidal Self Injuries,Psychiatry and Psychology Category,MeSH
198,"Self Injury, Nonsuicidal",Psychiatry and Psychology Category,MeSH
199,Deliberate Self-Harm,Psychiatry and Psychology Category,MeSH
200,Deliberate Self Harm,Psychiatry and Psychology Category,MeSH
201,"Self-Harm, Deliberate",Psychiatry and Psychology Category,MeSH
202,Self-Injury,Psychiatry and Psychology Category,MeSH
203,Self Injury,Psychiatry and Psychology Category,MeSH
204,Non-Suicidal Self Injury,Psychiatry and Psychology Category,MeSH
205,Non Suicidal Self Injury,Psychiatry and Psychology Category,MeSH
206,Non-Suicidal Self Injuries,Psychiatry and Psychology Category,MeSH
207,"Self Injury, Non-Suicidal",Psychiatry and Psychology Category,MeSH
208,Self Harm,Psychiatry and Psychology Category,MeSH
209,"Harm, Self",Psychiatry and Psychology Category,MeSH
210,Self-Destructive Behavior,Psychiatry and Psychology Category,MeSH
211,"Behavior, Self-Destructive",Psychiatry and Psychology Category,MeSH
212,Self Destructive Behavior,Psychiatry and Psychology Category,MeSH
213,Self-Destructive Behaviors,Psychiatry and Psychology Category,MeSH
214,"Disorder, Excoriation",Psychiatry and Psychology Category,MeSH
215,Excoriation Disorders,Psychiatry and Psychology Category,MeSH
216,Pathologic Skin Picking Disorder,Psychiatry and Psychology Category,MeSH
217,Skin Picking,Psychiatry and Psychology Category,MeSH
218,"Picking, Skin",Psychiatry and Psychology Category,MeSH
219,Skin Picking Disorder,Psychiatry and Psychology Category,MeSH
220,"Disorder, Skin Picking",Psychiatry and Psychology Category,MeSH
221,"Picking Disorder, Skin",Psychiatry and Psychology Category,MeSH
222,Skin Picking Disorders,Psychiatry and Psychology Category,MeSH
223,Pathologic Skin Picking,Psychiatry and Psychology Category,MeSH
224,"Skin Picking, Pathologic",Psychiatry and Psychology Category,MeSH
225,Skin Picking Behaviors,Psychiatry and Psychology Category,MeSH
226,"Behavior, Skin Picking",Psychiatry and Psychology Category,MeSH
227,"Picking Behavior, Skin",Psychiatry and Psychology Category,MeSH
228,Skin Picking Behavior,Psychiatry and Psychology Category,MeSH
229,Dermatillomania,Psychiatry and Psychology Category,MeSH
230,Dermatillomanias,Psychiatry and Psychology Category,MeSH
231,Pathological Skin Picking Disorder,Psychiatry and Psychology Category,MeSH
232,"Mutilation, Self",Diseases Category,MeSH
233,Self Mutilating Behavior,Diseases Category,MeSH
234,"Behavior, Self Mutilating",Diseases Category,MeSH
235,"Mutilating Behavior, Self",Diseases Category,MeSH
236,Self Mutilating Behaviors,Diseases Category,MeSH
237,Autotomy Human,Diseases Category,MeSH
238,Autotomy Humans,Diseases Category,MeSH
239,Suicides,Psychiatry and Psychology Category,MeSH
240,Psychological Stresses,Psychiatry and Psychology Category,MeSH
241,Life Stress,Psychiatry and Psychology Category,MeSH
242,Life Stresses,Psychiatry and Psychology Category,MeSH
243,"Stress, Life",Psychiatry and Psychology Category,MeSH
244,"Stress, Psychologic",Psychiatry and Psychology Category,MeSH
245,Psychologic Stress,Psychiatry and Psychology Category,MeSH
246,"Stressor, Psychological",Psychiatry and Psychology Category,MeSH
247,Psychological Stressor,Psychiatry and Psychology Category,MeSH
248,Psychological Stressors,Psychiatry and Psychology Category,MeSH
249,Psychological Stress,Psychiatry and Psychology Category,MeSH
250,"Cumulative Stress, Psychological",Psychiatry and Psychology Category,MeSH
251,"Cumulative Stresses, Psychological",Psychiatry and Psychology Category,MeSH
252,Psychological Cumulative Stresses,Psychiatry and Psychology Category,MeSH
253,"Stress, Psychological Cumulative",Psychiatry and Psychology Category,MeSH
254,Psychological Cumulative Stress,Psychiatry and Psychology Category,MeSH
255,"Stress Measurement, Psychological",Psychiatry and Psychology Category,MeSH
256,"Measurement, Psychological Stress",Psychiatry and Psychology Category,MeSH
257,Psychological Stress Measurement,Psychiatry and Psychology Category,MeSH
258,Psychological Stress Measurements,Psychiatry and Psychology Category,MeSH
259,"Stress Overload, Psychological",Psychiatry and Psychology Category,MeSH
260,Psychological Stress Overload,Psychiatry and Psychology Category,MeSH
261,"Overload, Psychological Stress",Psychiatry and Psychology Category,MeSH
262,Psychological Stress Overloads,Psychiatry and Psychology Category,MeSH
263,Emotional Stress,Psychiatry and Psychology Category,MeSH
264,"Stress, Emotional",Psychiatry and Psychology Category,MeSH
265,"Stress Experience, Psychological",Psychiatry and Psychology Category,MeSH
266,Psychological Stress Experience,Psychiatry and Psychology Category,MeSH
267,"Experience, Psychological Stress",Psychiatry and Psychology Category,MeSH
268,Psychological Stress Experiences,Psychiatry and Psychology Category,MeSH
269,"Stress Experiences, Psychological",Psychiatry and Psychology Category,MeSH
270,Individual Stressors,Psychiatry and Psychology Category,MeSH
271,Individual Stressor,Psychiatry and Psychology Category,MeSH
272,"Stressor, Individual",Psychiatry and Psychology Category,MeSH
273,"Stress Processes, Psychological",Psychiatry and Psychology Category,MeSH
274,Psychological Stress Processe,Psychiatry and Psychology Category,MeSH
275,Psychological Stress Processes,Psychiatry and Psychology Category,MeSH
276,"Stress Processe, Psychological",Psychiatry and Psychology Category,MeSH
277,"Stressful Conditions, Psychological",Psychiatry and Psychology Category,MeSH
278,"Condition, Psychological Stressful",Psychiatry and Psychology Category,MeSH
279,Psychological Stressful Condition,Psychiatry and Psychology Category,MeSH
280,Psychological Stressful Conditions,Psychiatry and Psychology Category,MeSH
281,"Stressful Condition, Psychological",Psychiatry and Psychology Category,MeSH
282,Psychologically Stressful Conditions,Psychiatry and Psychology Category,MeSH
283,"Condition, Psychologically Stressful",Psychiatry and Psychology Category,MeSH
284,"Conditions, Psychologically Stressful",Psychiatry and Psychology Category,MeSH
285,Psychologically Stressful Condition,Psychiatry and Psychology Category,MeSH
286,"Stressful Condition, Psychologically",Psychiatry and Psychology Category,MeSH
287,Psychological Burnout,Psychiatry and Psychology Category,MeSH
288,Burn-out Syndrome,Psychiatry and Psychology Category,MeSH
289,Burn out Syndrome,Psychiatry and Psychology Category,MeSH
290,Burnout,Psychiatry and Psychology Category,MeSH
291,Burnout Syndrome,Psychiatry and Psychology Category,MeSH
292,Burn-out,Psychiatry and Psychology Category,MeSH
293,Burn out,Psychiatry and Psychology Category,MeSH
294,Psychological Burn-out,Psychiatry and Psychology Category,MeSH
295,"Burn-out, Psychological",Psychiatry and Psychology Category,MeSH
296,Psychological Burn out,Psychiatry and Psychology Category,MeSH
297,"Burnout, Student",Psychiatry and Psychology Category,MeSH
298,School Burnout,Psychiatry and Psychology Category,MeSH
299,Student Burnout,Psychiatry and Psychology Category,MeSH
300,"Burnout, School",Psychiatry and Psychology Category,MeSH
301,"Burden, Caregiver",Psychiatry and Psychology Category,MeSH
302,Caregiver Burdens,Psychiatry and Psychology Category,MeSH
303,Caregiver Stress,Psychiatry and Psychology Category,MeSH
304,Caregiver Stresses,Psychiatry and Psychology Category,MeSH
305,"Stress, Caregiver",Psychiatry and Psychology Category,MeSH
306,Care Burden,Psychiatry and Psychology Category,MeSH
307,Caregiving Stress,Psychiatry and Psychology Category,MeSH
308,Caregiving Stresses,Psychiatry and Psychology Category,MeSH
309,"Stress, Caregiving",Psychiatry and Psychology Category,MeSH
310,Caregiving Burnout,Psychiatry and Psychology Category,MeSH
311,"Burnout, Caregiving",Psychiatry and Psychology Category,MeSH
312,Caregiving Burnouts,Psychiatry and Psychology Category,MeSH
313,Care Giving Burden,Psychiatry and Psychology Category,MeSH
314,"Burden, Care Giving",Psychiatry and Psychology Category,MeSH
315,"Burnout, Caregiver",Psychiatry and Psychology Category,MeSH
316,Caregiver Burnout,Psychiatry and Psychology Category,MeSH
317,Caregiver Exhaustion,Psychiatry and Psychology Category,MeSH
318,"Exhaustion, Caregiver",Psychiatry and Psychology Category,MeSH
319,Emotional Exhaustions,Diseases Category,MeSH
320,"Exhaustion, Emotional",Diseases Category,MeSH
321,Emotional Fatigue,Diseases Category,MeSH
322,"Fatigue, Emotional",Diseases Category,MeSH
323,Financial Stresses,Psychiatry and Psychology Category,MeSH
324,"Stress, Financial",Psychiatry and Psychology Category,MeSH
325,Financial Burden,Psychiatry and Psychology Category,MeSH
326,"Burden, Financial",Psychiatry and Psychology Category,MeSH
327,Financial Burdens,Psychiatry and Psychology Category,MeSH
328,Financial Toxicity,Psychiatry and Psychology Category,MeSH
329,Financial Toxicities,Psychiatry and Psychology Category,MeSH
330,"Toxicity, Financial",Psychiatry and Psychology Category,MeSH
331,Socioeconomic Adversity,Psychiatry and Psychology Category,MeSH
332,"Adversity, Socioeconomic",Psychiatry and Psychology Category,MeSH
333,Socioeconomic Adversities,Psychiatry and Psychology Category,MeSH
334,Financial Pressures,Psychiatry and Psychology Category,MeSH
335,Financial Pressure,Psychiatry and Psychology Category,MeSH
336,"Pressure, Financial",Psychiatry and Psychology Category,MeSH
337,Financial Strain,Psychiatry and Psychology Category,MeSH
338,Financial Strains,Psychiatry and Psychology Category,MeSH
339,"Strain, Financial",Psychiatry and Psychology Category,MeSH
340,Insufficient Financial Resources,Psychiatry and Psychology Category,MeSH
341,"Financial Resource, Insufficient",Psychiatry and Psychology Category,MeSH
342,Insufficient Financial Resource,Psychiatry and Psychology Category,MeSH
343,"Resource, Insufficient Financial",Psychiatry and Psychology Category,MeSH
344,Financial Resource Strain,Psychiatry and Psychology Category,MeSH
345,Financial Resource Strains,Psychiatry and Psychology Category,MeSH
346,"Resource Strain, Financial",Psychiatry and Psychology Category,MeSH
347,"Strain, Financial Resource",Psychiatry and Psychology Category,MeSH
348,Economic Burden,Psychiatry and Psychology Category,MeSH
349,"Burden, Economic",Psychiatry and Psychology Category,MeSH
350,Economic Burdens,Psychiatry and Psychology Category,MeSH
351,Financial Challenges,Psychiatry and Psychology Category,MeSH
352,"Challenge, Financial",Psychiatry and Psychology Category,MeSH
353,Financial Challenge,Psychiatry and Psychology Category,MeSH
354,Financial Hardship,Psychiatry and Psychology Category,MeSH
355,Financial Hardships,Psychiatry and Psychology Category,MeSH
356,"Hardship, Financial",Psychiatry and Psychology Category,MeSH
357,Economic Hardship,Psychiatry and Psychology Category,MeSH
358,Economic Hardships,Psychiatry and Psychology Category,MeSH
359,"Hardship, Economic",Psychiatry and Psychology Category,MeSH
360,Occupational Stresses,Diseases Category,MeSH
361,"Stress, Occupational",Diseases Category,MeSH
362,Professional Stress,Diseases Category,MeSH
363,Professional Stresses,Diseases Category,MeSH
364,"Stress, Professional",Diseases Category,MeSH
365,Work-related Stress,Diseases Category,MeSH
366,"Stress, Work-related",Diseases Category,MeSH
367,Work related Stress,Diseases Category,MeSH
368,Work-related Stresses,Diseases Category,MeSH
369,Job-related Stress,Diseases Category,MeSH
370,Job related Stress,Diseases Category,MeSH
371,Job-related Stresses,Diseases Category,MeSH
372,"Stress, Job-related",Diseases Category,MeSH
373,Workplace Stress,Diseases Category,MeSH
374,"Stress, Workplace",Diseases Category,MeSH
375,"Stresses, Workplace",Diseases Category,MeSH
376,Workplace Stresses,Diseases Category,MeSH
377,Work Place Stress,Diseases Category,MeSH
378,"Stress, Work Place",Diseases Category,MeSH
379,Work Place Stresses,Diseases Category,MeSH
380,Work Stress,Diseases Category,MeSH
381,"Stress, Work",Diseases Category,MeSH
382,Work Stresses,Diseases Category,MeSH
383,Job Stress,Diseases Category,MeSH
384,Job Stresses,Diseases Category,MeSH
385,"Stress, Job",Diseases Category,MeSH
386,Job Control,Diseases Category,MeSH
387,Workplace Bullying,Diseases Category,MeSH
388,"Bullying, Workplace",Diseases Category,MeSH
389,Job Demands,Diseases Category,MeSH
390,"Demand, Job",Diseases Category,MeSH
391,Job Demand,Diseases Category,MeSH
392,Workplace Abuse,Diseases Category,MeSH
393,"Abuse, Workplace",Diseases Category,MeSH
394,Workplace Abuses,Diseases Category,MeSH
395,"Stress, Subjective",Psychiatry and Psychology Category,MeSH
396,Subjective Stresses,Psychiatry and Psychology Category,MeSH
397,"Disease, Nervous System",Diseases Category,MeSH
398,"Diseases, Nervous System",Diseases Category,MeSH
399,Nervous System Disease,Diseases Category,MeSH
400,Neurologic Disorders,Diseases Category,MeSH
401,"Disorder, Neurologic",Diseases Category,MeSH
402,"Disorders, Neurologic",Diseases Category,MeSH
403,Neurologic Disorder,Diseases Category,MeSH
404,Neurological Disorders,Diseases Category,MeSH
405,"Disorder, Neurological",Diseases Category,MeSH
406,"Disorders, Neurological",Diseases Category,MeSH
407,Neurological Disorder,Diseases Category,MeSH
408,Nervous System Disorders,Diseases Category,MeSH
409,"Disorder, Nervous System",Diseases Category,MeSH
410,"Disorders, Nervous System",Diseases Category,MeSH
411,Nervous System Disorder,Diseases Category,MeSH
412,"Manifestation, Neurologic",Diseases Category,MeSH
413,Neurological Manifestations,Diseases Category,MeSH
414,Neurologic Manifestation,Diseases Category,MeSH
415,Neurologic Signs and Symptoms,Diseases Category,MeSH
416,"Manifestations, Neurologic",Diseases Category,MeSH
417,"Manifestations, Neurological",Diseases Category,MeSH
418,"Manifestation, Neurological",Diseases Category,MeSH
419,Neurological Manifestation,Diseases Category,MeSH
420,Neurologic Deficits,Diseases Category,MeSH
421,"Deficit, Neurologic",Diseases Category,MeSH
422,"Deficits, Neurologic",Diseases Category,MeSH
423,Neurologic Deficit,Diseases Category,MeSH
424,Neurologic Symptoms,Diseases Category,MeSH
425,Neurologic Symptom,Diseases Category,MeSH
426,"Symptom, Neurologic",Diseases Category,MeSH
427,"Symptoms, Neurologic",Diseases Category,MeSH
428,Neurologic Findings,Diseases Category,MeSH
429,"Finding, Neurologic",Diseases Category,MeSH
430,"Findings, Neurologic",Diseases Category,MeSH
431,Neurologic Finding,Diseases Category,MeSH
432,Neurologic Signs,Diseases Category,MeSH
433,Neurologic Sign,Diseases Category,MeSH
434,"Sign, Neurologic",Diseases Category,MeSH
435,"Signs, Neurologic",Diseases Category,MeSH
436,Focal Neurologic Deficits,Diseases Category,MeSH
437,"Deficit, Focal Neurologic",Diseases Category,MeSH
438,"Deficits, Focal Neurologic",Diseases Category,MeSH
439,Focal Neurologic Deficit,Diseases Category,MeSH
440,"Neurologic Deficit, Focal",Diseases Category,MeSH
441,"Neurologic Deficits, Focal",Diseases Category,MeSH
442,Neurologic Dysfunction,Diseases Category,MeSH
443,"Dysfunction, Neurologic",Diseases Category,MeSH
444,"Dysfunctions, Neurologic",Diseases Category,MeSH
445,Neurologic Dysfunctions,Diseases Category,MeSH
446,"Manifestation, Neurobehavioral",Diseases Category,MeSH
447,"Manifestations, Neurobehavioral",Diseases Category,MeSH
448,Neurobehavioral Manifestation,Diseases Category,MeSH
449,Cognitive Symptoms,Diseases Category,MeSH
450,Cognitive Symptom,Diseases Category,MeSH
451,"Symptom, Cognitive",Diseases Category,MeSH
452,"Symptoms, Cognitive",Diseases Category,MeSH
453,"Signs and Symptoms, Neurobehavioral",Diseases Category,MeSH
454,Cognitive Manifestations,Diseases Category,MeSH
455,Cognitive Manifestation,Diseases Category,MeSH
456,"Manifestation, Cognitive",Diseases Category,MeSH
457,"Manifestations, Cognitive",Diseases Category,MeSH
458,Neurobehavioral Signs and Symptoms,Diseases Category,MeSH
459,Anhedonias,Diseases Category,MeSH
460,Social Anhedonia,Diseases Category,MeSH
461,"Anhedonia, Social",Diseases Category,MeSH
462,"Anhedonias, Social",Diseases Category,MeSH
463,Social Anhedonias,Diseases Category,MeSH
464,Physical Anhedonia,Diseases Category,MeSH
465,"Anhedonia, Physical",Diseases Category,MeSH
466,"Anhedonias, Physical",Diseases Category,MeSH
467,Physical Anhedonias,Diseases Category,MeSH
468,Communication Disorder,Diseases Category,MeSH
469,Communicative Disorders,Diseases Category,MeSH
470,Communicative Disorder,Diseases Category,MeSH
471,"Communication Disorders, Developmental",Diseases Category,MeSH
472,"Communication Disorder, Developmental",Diseases Category,MeSH
473,Developmental Communication Disorder,Diseases Category,MeSH
474,Developmental Communication Disorders,Diseases Category,MeSH
475,Childhood Communication Disorders,Diseases Category,MeSH
476,Childhood Communication Disorder,Diseases Category,MeSH
477,"Communication Disorder, Childhood",Diseases Category,MeSH
478,"Communication Disorders, Childhood",Diseases Category,MeSH
479,Communicative Dysfunction,Diseases Category,MeSH
480,Communicative Dysfunctions,Diseases Category,MeSH
481,"Dysfunction, Communicative",Diseases Category,MeSH
482,"Dysfunctions, Communicative",Diseases Category,MeSH
