nct_id,unique_condition_BioLinkBERT-base,unique_condition_aact,all_annotations,all_unique_annotations,is_in_aact_exact,is_in_BioLinkBERT-base_exact,is_in_aact_partial,is_in_BioLinkBERT-base_partial
NCT00716066,autoimmune neurologic disease|autoimmune neurologic diseases|autoimmune neurological diseases,"multiple sclerosis stem cell transplant|autoimmune disease|rasmussen subacute encephalitis|multiple sclerosis transplant|opsoclonus-myoclonus syndrome|neuromyelitis optica|lambert eaton myasthenic syndrome|cidp transplant|vasculitis, central nervous system|ms stem cell transplant|hct for neurologic autoimmune disorders|chronic inflammatory demyelinating polyneuropathy|stiff-person syndrome|stiff person syndrome|cerebellar degeneration|myasthenia gravis|autologous transplant autoimmune|autoimmune nervous system disorder|autoimmune diseases of the nervous system|myasthenia gravis transplant","multiple sclerosis stem cell transplant|autoimmune disease|rasmussen subacute encephalitis|multiple sclerosis transplant|opsoclonus-myoclonus syndrome|neuromyelitis optica|lambert eaton myasthenic syndrome|cidp transplant|vasculitis, central nervous system|ms stem cell transplant|hct for neurologic autoimmune disorders|chronic inflammatory demyelinating polyneuropathy|stiff-person syndrome|stiff person syndrome|cerebellar degeneration|myasthenia gravis|autologous transplant autoimmune|autoimmune nervous system disorder|autoimmune diseases of the nervous system|myasthenia gravis transplant|autoimmune neurologic disease|autoimmune neurologic diseases|autoimmune neurological diseases",cidp transplant,True,False,True,False
NCT01075672,,eating disorder|specific phobia|generalized anxiety disorder|trichotillomania|social phobia|general medical condition|tourette syndrome|panic disorder|depression|body dysmorphic disorder|attention deficit hyperactivity disorder|post-traumatic stress disorder|obsessive compulsive disorder,eating disorder|specific phobia|generalized anxiety disorder|trichotillomania|social phobia|general medical condition|tourette syndrome|panic disorder|depression|body dysmorphic disorder|attention deficit hyperactivity disorder|post-traumatic stress disorder|obsessive compulsive disorder|,body dysmorphic disorder,True,False,True,False
NCT04232163,stroke,stroke|brain ischemia|vascular diseases|brain diseases|brain infarction|central nervous system diseases|cerebral infarction|cerebrovascular disorders|nervous system diseases|infarction|cardiovascular diseases,stroke|brain ischemia|vascular diseases|brain diseases|brain infarction|central nervous system diseases|cerebral infarction|cerebrovascular disorders|nervous system diseases|infarction|cardiovascular diseases|stroke,brain diseases,True,False,True,False
NCT05291455,status epilepticus,epilepsy,epilepsy|status epilepticus,epilepsy,True,False,True,False
NCT01075672,,eating disorder|specific phobia|generalized anxiety disorder|trichotillomania|social phobia|general medical condition|tourette syndrome|panic disorder|depression|body dysmorphic disorder|attention deficit hyperactivity disorder|post-traumatic stress disorder|obsessive compulsive disorder,eating disorder|specific phobia|generalized anxiety disorder|trichotillomania|social phobia|general medical condition|tourette syndrome|panic disorder|depression|body dysmorphic disorder|attention deficit hyperactivity disorder|post-traumatic stress disorder|obsessive compulsive disorder|,generalized anxiety disorder,True,False,True,False
NCT01075672,,eating disorder|specific phobia|generalized anxiety disorder|trichotillomania|social phobia|general medical condition|tourette syndrome|panic disorder|depression|body dysmorphic disorder|attention deficit hyperactivity disorder|post-traumatic stress disorder|obsessive compulsive disorder,eating disorder|specific phobia|generalized anxiety disorder|trichotillomania|social phobia|general medical condition|tourette syndrome|panic disorder|depression|body dysmorphic disorder|attention deficit hyperactivity disorder|post-traumatic stress disorder|obsessive compulsive disorder|,general medical condition,True,False,True,False
NCT03170856,concussion,"brain concussion|exertion; excess|concussion, severe|concussion, mild","brain concussion|exertion; excess|concussion, severe|concussion, mild|concussion",exertion; excess,True,False,True,False
NCT04088630,cerebral edema|cerebral hemorrhage|primary spontaneous intracerebral hemorrhage,"cerebral edema|cerebral hemorrhage|intracerebral hemorrhage intraparenchymal|stroke hemorrhagic|intracerebral hemorrhage, hypertensive","cerebral edema|cerebral hemorrhage|intracerebral hemorrhage intraparenchymal|stroke hemorrhagic|intracerebral hemorrhage, hypertensive|cerebral edema|cerebral hemorrhage|primary spontaneous intracerebral hemorrhage","intracerebral hemorrhage, hypertensive",True,False,True,True
NCT04185038,b7|diffuse intrinsic pontine glioma|diffuse midline glioma|infratentorial|metastatic/leptomeningeal tumors|recurrent or refractory cns tumors|recurrent or refractory pediatric central nervous system tumors|supratentorial neoplasms|tumor|tumor resection,"diffuse midline glioma|medulloblastoma, childhood|glioma|diffuse intrinsic pontine glioma|ependymoma|pineoblastoma, childhood|germ cell tumor|atypical teratoid/rhabdoid tumor|choroid plexus carcinoma|primitive neuroectodermal tumor|central nervous system neoplasms","diffuse midline glioma|medulloblastoma, childhood|glioma|diffuse intrinsic pontine glioma|ependymoma|pineoblastoma, childhood|germ cell tumor|atypical teratoid/rhabdoid tumor|choroid plexus carcinoma|primitive neuroectodermal tumor|central nervous system neoplasms|b7|diffuse intrinsic pontine glioma|diffuse midline glioma|infratentorial|metastatic/leptomeningeal tumors|recurrent or refractory cns tumors|recurrent or refractory pediatric central nervous system tumors|supratentorial neoplasms|tumor|tumor resection",glioma,True,False,True,False
NCT00164658,,stroke|coronary heart disease|diabetes|ovarian cancer|breast cancer|colorectal cancer,stroke|coronary heart disease|diabetes|ovarian cancer|breast cancer|colorectal cancer|,ovarian cancer,True,False,True,False
NCT04854057,cervical spinal cord injury|chronic incomplete spinal cord injury,spinal cord injuries,spinal cord injuries|cervical spinal cord injury|chronic incomplete spinal cord injury,spinal cord injuries,True,False,True,True
NCT04894513,bell palsy,bell palsy|facial nerve palsy,bell palsy|facial nerve palsy|bell palsy,facial nerve palsy,True,False,True,False
NCT00716066,autoimmune neurologic disease|autoimmune neurologic diseases|autoimmune neurological diseases,"multiple sclerosis stem cell transplant|autoimmune disease|rasmussen subacute encephalitis|multiple sclerosis transplant|opsoclonus-myoclonus syndrome|neuromyelitis optica|lambert eaton myasthenic syndrome|cidp transplant|vasculitis, central nervous system|ms stem cell transplant|hct for neurologic autoimmune disorders|chronic inflammatory demyelinating polyneuropathy|stiff-person syndrome|stiff person syndrome|cerebellar degeneration|myasthenia gravis|autologous transplant autoimmune|autoimmune nervous system disorder|autoimmune diseases of the nervous system|myasthenia gravis transplant","multiple sclerosis stem cell transplant|autoimmune disease|rasmussen subacute encephalitis|multiple sclerosis transplant|opsoclonus-myoclonus syndrome|neuromyelitis optica|lambert eaton myasthenic syndrome|cidp transplant|vasculitis, central nervous system|ms stem cell transplant|hct for neurologic autoimmune disorders|chronic inflammatory demyelinating polyneuropathy|stiff-person syndrome|stiff person syndrome|cerebellar degeneration|myasthenia gravis|autologous transplant autoimmune|autoimmune nervous system disorder|autoimmune diseases of the nervous system|myasthenia gravis transplant|autoimmune neurologic disease|autoimmune neurologic diseases|autoimmune neurological diseases",stiff-person syndrome,True,False,True,False
NCT04732065,back|brain neoplasms|cancer|diffuse midline glioma|diffuse midline gliomas|newly diagnosed|newly diagnosed or recurrent diffuse midline glioma|newly diagnosed or recurrent diffuse midline gliomas|recurrent)|recurrent primary malignant central nervous system (cns) tumors|recurrent primary malignant cns tumors|tumor,spinal cord glioma|cns tumor|recurrent malignant central nervous system neoplasm|diffuse midline glioma (dmg)|world health organization (who) grade iii glioma|recurrent ependymoma|glioblastoma|who grade iii glioma|central nervous system neoplasms,spinal cord glioma|cns tumor|recurrent malignant central nervous system neoplasm|diffuse midline glioma (dmg)|world health organization (who) grade iii glioma|recurrent ependymoma|glioblastoma|who grade iii glioma|central nervous system neoplasms|back|brain neoplasms|cancer|diffuse midline glioma|diffuse midline gliomas|newly diagnosed|newly diagnosed or recurrent diffuse midline glioma|newly diagnosed or recurrent diffuse midline gliomas|recurrent)|recurrent primary malignant central nervous system (cns) tumors|recurrent primary malignant cns tumors|tumor,central nervous system neoplasms,True,False,True,False
NCT04622904,elective gynecological surgery|postoperative pain,"ketamine|analgesics, non-narcotic|central nervous system depressants|pain, postoperative|lidocaine|analgesics|neurotransmitter agents|neuralgia|magnesium|pain, acute|pain, chronic","ketamine|analgesics, non-narcotic|central nervous system depressants|pain, postoperative|lidocaine|analgesics|neurotransmitter agents|neuralgia|magnesium|pain, acute|pain, chronic|elective gynecological surgery|postoperative pain","pain, postoperative",True,False,True,True
