nct_id,unique_drug_BioLinkBERT-base,unique_drug_aact,all_annotations,all_unique_annotations,is_in_aact_exact,is_in_BioLinkBERT-base_exact,is_in_aact_partial,is_in_BioLinkBERT-base_partial
NCT04579783,5|corticosteroid|dextrose,triamcinolone acetonide|dextrose 5% in water,triamcinolone acetonide|dextrose 5% in water|5|corticosteroid|dextrose,triamcinolone acetonide,True,False,True,False
NCT01386827,bmjev|ixiaro|ixiaro vaccine|je-mb|mouse-brain derived vaccine|mouse brain derived japanese encephalitis vaccines|vero-cell-derived inactivated japanese encephalitis vaccine,mouse brain derived japanese encephalitis vaccine (mb-jev)|primary and booster immunizations with mb-jev|c) primary immunizations with ixiaro|s) ixiaro booster to mbjev primed,mouse brain derived japanese encephalitis vaccine (mb-jev)|primary and booster immunizations with mb-jev|c) primary immunizations with ixiaro|s) ixiaro booster to mbjev primed|bmjev|ixiaro|ixiaro vaccine|je-mb|mouse-brain derived vaccine|mouse brain derived japanese encephalitis vaccines|vero-cell-derived inactivated japanese encephalitis vaccine,c) primary immunizations with ixiaro,True,False,True,False
NCT04937452,dopaminergic|rotigotine,rotigotine 4mg/24hrs patch|rotigotine 6mg/24hrs patch,rotigotine 4mg/24hrs patch|rotigotine 6mg/24hrs patch|dopaminergic|rotigotine,rotigotine 6mg/24hrs patch,True,False,True,False
NCT00701363,lanreotide|octreotide lar,lanreotide autogel 120 mg,lanreotide autogel 120 mg|lanreotide|octreotide lar,lanreotide autogel 120 mg,True,False,True,False
NCT01386827,bmjev|ixiaro|ixiaro vaccine|je-mb|mouse-brain derived vaccine|mouse brain derived japanese encephalitis vaccines|vero-cell-derived inactivated japanese encephalitis vaccine,mouse brain derived japanese encephalitis vaccine (mb-jev)|primary and booster immunizations with mb-jev|c) primary immunizations with ixiaro|s) ixiaro booster to mbjev primed,mouse brain derived japanese encephalitis vaccine (mb-jev)|primary and booster immunizations with mb-jev|c) primary immunizations with ixiaro|s) ixiaro booster to mbjev primed|bmjev|ixiaro|ixiaro vaccine|je-mb|mouse-brain derived vaccine|mouse brain derived japanese encephalitis vaccines|vero-cell-derived inactivated japanese encephalitis vaccine,s) ixiaro booster to mbjev primed,True,False,True,False
NCT00029146,,best medical therapy,best medical therapy|,best medical therapy,True,False,True,False
NCT03016949,inactivated polio vaccine|inactivated polio vaccines|inactivated poliovaccine,ipv|f-ipv,ipv|f-ipv|inactivated polio vaccine|inactivated polio vaccines|inactivated poliovaccine,ipv,True,False,True,False
NCT05850585,antipsychotic|antipsychotic drugs|antipsychotics,fecal microbiota transplantation(fmt),fecal microbiota transplantation(fmt)|antipsychotic|antipsychotic drugs|antipsychotics,fecal microbiota transplantation(fmt),True,False,True,False
NCT01405833,bg00010|artemin,bg00010 (neublastin),bg00010 (neublastin)|bg00010|artemin,bg00010 (neublastin),True,False,True,False
NCT05369793,roflumilast,alpha lipoic acid|roflumilast,alpha lipoic acid|roflumilast|roflumilast,alpha lipoic acid,True,False,True,False
NCT02473016,activated charcoal,carbon dioxide drug delivery system (cdds),carbon dioxide drug delivery system (cdds)|activated charcoal,carbon dioxide drug delivery system (cdds),True,False,True,False
NCT04045665,anticoagulants|anticoagulation|antiplatelet therapy|antiplatelets|oral|oral anticoagulation,antiplatelet-only strategy|oral anticoagulant plus background antiplatelet therapy,antiplatelet-only strategy|oral anticoagulant plus background antiplatelet therapy|anticoagulants|anticoagulation|antiplatelet therapy|antiplatelets|oral|oral anticoagulation,oral anticoagulant plus background antiplatelet therapy,True,False,True,False
NCT00527579,,[f-18]fbr,[f-18]fbr|,[f-18]fbr,True,False,True,False
