,nct_id,canonical_BioLinkBERT-base_interventions,canonical_aact_interventions,aact_intervention_types,canonical_BioLinkBERT-base_conditions,canonical_aact_conditions,Disease Class
35,NCT00000241,desipramine|flupenthixol decanoate|flupentixol,flupentixol,Drug,methamphetamine|methamphetamine dependence|methamphetamine smoking,substance-related disorders,Diseases Category
36,NCT00000242,carbamazepine,carbamazepine,Drug,cocaine dependence|cocaine-dependence|cocaine-related disorders|mood disorders,substance-related disorders|cocaine-related disorders,Diseases Category
37,NCT00000244,dynorphin|dynorphin 1-13,dynorphin 1 - 13,Drug,acute heroin abstinence|acute opiate withdrawal|heroin addiction|opiate,substance withdrawal syndrome,Diseases Category
38,NCT00000245,desipramine,desipramine,Drug,cocaine-related disorders,substance-related disorders|cocaine-related disorders,Diseases Category
39,NCT00000246,benzodiazepine antagonist|flumazenil,flumazenil,Drug,acute benzodiazepine withdrawal|benzodiazepine detoxification,substance-related disorders,Diseases Category
40,NCT00000248,pergolide,pergolide,Drug,cocaine dependence|cocaine-related disorders,cocaine-related disorders,Diseases Category
41,NCT00000249,nitrous oxide,30% n2o|20% n2o|40% n2o,Drug,cold-pressor pain,substance-related disorders,Diseases Category
42,NCT00000250,nitrous oxide,0% n2o|40% n2o,Drug,,substance-related disorders,Diseases Category
43,NCT00000251,isoflurane|nitrous oxide,0.4% isoflurane|30% n2o|0.2% isoflurane,Drug|Other,,substance-related disorders,Diseases Category
44,NCT00000252,nitrous oxide,10% n2o|0% n2o|20% n2o|40% n2o|30% n2o,Drug,,substance-related disorders,Diseases Category
45,NCT00000253,nitrous oxide,10% n2o|30% n2o|20% n2o|40% n2o,Drug,,substance-related disorders,Diseases Category
46,NCT00000254,isoflurane|nitrous oxide,0.6% isoflurane|0.4% isoflurane|0.2% isoflurane|40% nitrous oxide,Drug|Other,cold|pain,substance-related disorders,Diseases Category
47,NCT00000255,nitrous oxide,nitrous oxide,Drug,,substance-related disorders,Diseases Category
48,NCT00000256,"1,2-benzodiazepine|nitrous oxide|opiate",60% n2o|80% n2o|20% n2o|40% n2o,Drug,,substance-related disorders,Diseases Category
49,NCT00000257,"1,2-benzodiazepine|nitrous oxide|opiate",0% n2o and 30% n2o|0% n2o and 40% n2o|0% n2o and 10% n2o|0% n2o and 20% n2o,Drug,alcohol,substance-related disorders|alcohol-related disorders,Diseases Category
50,NCT00000259,"1,2-benzodiazepine|isoflurane|nitrous oxide|opiate|sevoflurane",15 % nitrous oxide|0.3 % sevoflurane|30% nitrous oxide|0.6% sevoflurane,Drug|Other,pain,substance-related disorders,Diseases Category
51,NCT00000260,"1,2-benzodiazepine|nitrous oxide|opiate",nitrous oxide,Drug,,substance-related disorders,Diseases Category
52,NCT00000261,nitrous oxide|sevoflurane,0.2% sevoflurane|30% nitrous oxide|0.4% sevoflurane|0.6% sevoflurane,Drug|Other,alcohol,substance-related disorders|alcohol-related disorders,Diseases Category
53,NCT00000262,nitrous oxide|sevoflurane,0.2% sevoflurane|30% nitrous oxide|0.4% sevoflurane|,Drug|Other,pain,substance-related disorders,Diseases Category
54,NCT00000263,ethanol|nitrous oxide,30% nitrous oxide,Drug|Other,pain,substance-related disorders,Diseases Category
55,NCT00000264,ethanol|nitrous oxide,30% nitrous oxide,Drug|Other,,substance-related disorders,Diseases Category
56,NCT00000266,flupentixol,flupentixol,Drug,cocaine abusers|cocaine dependence|cocaine-related disorders|schizoaffective illness|schizophrenia|schizophrenic,cocaine-related disorders,Diseases Category
57,NCT00000267,risperidone,risperidone,Drug,cocaine dependence|cocaine-related disorders|schizoaffective illness|schizophrenia,cocaine-related disorders,Diseases Category
58,NCT00000268,,bupropion,Drug,attention deficit disorder|cocaine,cocaine-related disorders,Diseases Category
59,NCT00000269,pergolide,pergolide,Drug,cocaine dependence|cocaine-related disorders|substance abusers,substance-related disorders|cocaine-related disorders,Diseases Category
60,NCT00000270,,cocaine,Drug,cocaine,cocaine-related disorders,Diseases Category
61,NCT00000271,desipramine,desipramine,Drug,cocaine|dysthymia|major depression,substance-related disorders|cocaine-related disorders,Diseases Category
62,NCT00000273,buprenorphine|diamorphine|levacetylmethadol|methadone|methoclocinnamox|naltrexone,opiates,Drug,heroin,substance-related disorders,Diseases Category
63,NCT00000274,flupentixol|haloperidol,flupentixol,Drug,cocaine dependence|cocaine-related disorders|schizoaffective illness|schizophrenia|schizophrenic,substance-related disorders|cocaine-related disorders,Diseases Category
64,NCT00000275,buproprion,flupentixol,Drug,attention-deficit hyperactivity disorder|cocaine dependence|cocaine-related disorders,cocaine-related disorders,Diseases Category
65,NCT00000276,dopamine reuptake inhibitors,bupropion,Drug,cocaine-related disorders,cocaine-related disorders,Diseases Category
66,NCT00000277,mazindol,mazindol,Drug,cocaine-related disorders,cocaine-related disorders,Diseases Category
67,NCT00000278,disulfiram,disulfiram,Drug,alcohol abuse|cocaine -,alcohol-related disorders|cocaine-related disorders,Diseases Category
68,NCT00000279,,clonidine,Drug,opiate detoxification,substance-related disorders,Diseases Category
69,NCT00000280,glutaminer|glutaminergic,nimodipine,Drug,cocaine-related disorders,cocaine-related disorders,Diseases Category
70,NCT00000282,pemoline,pemoline,Drug,cocaine-related disorders,cocaine-related disorders,Diseases Category
71,NCT00000284,cotinine|nicotine,cotinine fumarate,Drug,nicotine dependence|tobacco use disorder|tobacco withdrawal,tobacco use disorder,Diseases Category
72,NCT00000285,cocaine|phenytoin,phenytoin,Drug,,cocaine-related disorders,Diseases Category
73,NCT00000286,cocaine|nefazedone|nefazodone,nefazodone,Drug,cocaine abusers|cocaine users|depressed and non-depressed,cocaine-related disorders,Diseases Category
74,NCT00000288,cotinine,cotinine fumarate,Drug,nicotine dependence|tobacco use disorder,tobacco use disorder,Diseases Category
75,NCT00000289,nicotine|ondansetron,ondansetron,Drug,nicotine dependence|tobacco use disorder|tobacco withdrawal,tobacco use disorder,Diseases Category
76,NCT00000290,cocaine,cocaine,Drug,cocaine,cocaine-related disorders,Diseases Category
77,NCT00000291,cocaine|labetalol,labetalol,Drug,cocaine,cocaine-related disorders,Diseases Category
78,NCT00000292,cocaine,,Procedure,acute,substance-related disorders|substance withdrawal syndrome|cocaine-related disorders,Diseases Category
79,NCT00000293,nefazodone,nefazodone,Drug,cocaine use|cocaine-related disorders|dependence|depressed and non-depressed,cocaine-related disorders,Diseases Category
80,NCT00000294,carvedilol|cocaine,carvedilol,Drug,,cocaine-related disorders,Diseases Category
81,NCT00000295,progesterone,micronized progesterone,Drug,smokers,tobacco use disorder,Diseases Category
82,NCT00000296,cotinine|nicotine,cotinine fumarate,Drug,nicotine dependence|tobacco use disorder|tobacco withdrawal,tobacco use disorder,Diseases Category
83,NCT00000297,labetalol|nicotine,labetalol,Drug,,tobacco use disorder,Diseases Category
84,NCT00000301,amantadine|cocaine,amantadine,Drug,cocaine-related disorders|dependence,cocaine-related disorders,Diseases Category
85,NCT00000303,baclofen|cocaine,baclofen,Drug,cocaine-related disorders|dependence,cocaine-related disorders,Diseases Category
86,NCT00000304,dextroamphetamine|dextroamphetamine sulfate,dextroamphetamine,Drug,cocaine,substance-related disorders|cocaine-related disorders,Diseases Category
87,NCT00000305,amphetamine cocaine|cocaine|dextroamphetamine,dextroamphetamine,Drug,,cocaine-related disorders,Diseases Category
88,NCT00000306,dextroamphetamine|dextroamphetamine sulfate,dextroamphetamine,Drug,cocaine|cocaine and|opiate dependent,cocaine-related disorders,Diseases Category
89,NCT00000307,naltrexone,naltrexone,Drug,alcoholic cocaine dependent,alcohol-related disorders|cocaine-related disorders,Diseases Category
90,NCT00000308,,dextroamphetamine,Drug,cocaine dependent,cocaine-related disorders,Diseases Category
91,NCT00000309,risperidone,risperidone,Drug,cocaine,cocaine-related disorders,Diseases Category
92,NCT00000310,risperidone,risperidone,Drug,cocaine,cocaine-related disorders,Diseases Category
93,NCT00000311,buprenorphine|methadone,methadone|buprenorphine,Drug,agonist maintenance|agonist maintenance treatment|cocaine use|illicit opioid,substance-related disorders|cocaine-related disorders,Diseases Category
94,NCT00000312,,m-chlorophenylpiperazine,Drug,cocaine|cocaine addicts,cocaine-related disorders,Diseases Category
95,NCT00000313,,fenfluramine,Drug,serotonergic alterations,cocaine-related disorders,Diseases Category
96,NCT00000314,fenfluramine,m-chlorophenylpiperazine,Drug,cocaine addicts,cocaine-related disorders,Diseases Category
97,NCT00000315,,cocaine,Drug,cocaine use|cocaine-related disorders|prolonged cocaine abuse|withdrawal|withdrawal from,cocaine-related disorders,Diseases Category
98,NCT00000316,,cocaine,Drug,cocaine use|cocaine-related disorders|prolonged cocaine abuse|withdrawal|withdrawal from,cocaine-related disorders,Diseases Category
99,NCT00000317,amoxapine|cocaine|risperidone,risperidone,Drug|Behavioral,cocaine|cocaine dependence|cocaine-related disorders|methadone|opiate-dependent,substance-related disorders|cocaine-related disorders,Diseases Category
100,NCT00000318,buprenorphine,buprenorphine,Drug,,substance-related disorders,Diseases Category
101,NCT00000319,buprenorphine,buprenorphine,Drug,opioid-dependent,substance-related disorders,Diseases Category
102,NCT00000321,desipramine|sertraline,desipramine,Drug,aids|methamphetamine,substance-related disorders,Diseases Category
103,NCT00000322,tyrosine,,Behavioral,methamphetamine dependence,amphetamine-related disorders,Diseases Category
104,NCT00000324,tryptophan,tryptophan,Drug,cocaine dependence|cocaine-related disorders,cocaine-related disorders,Diseases Category
105,NCT00000332,nimodipine,nimodipine,Drug,cocaine|cocaine dependent,cocaine-related disorders,Diseases Category
106,NCT00000333,atropine|benzatropine|benztropine|da reuptake inhibitor,benzatropine|benztropine,Drug,cocaine,cocaine-related disorders,Diseases Category
107,NCT00000336,selegiline,selegiline,Drug,cocaine|cocaine dependence|cocaine-related disorders,cocaine-related disorders,Diseases Category
108,NCT00000337,cocaine|selegeline|selegiline,selegiline,Drug,chronic crack abusers|chronic crack dependent,cocaine-related disorders,Diseases Category
109,NCT00000338,cocaine|lisuride,lisuride,Drug,"chronic, crack dependent",cocaine-related disorders,Diseases Category
110,NCT00000339,cocaine|risperidone,risperidone,Drug,,cocaine-related disorders,Diseases Category
111,NCT00000340,pemoline,pemoline,Drug,adult attention deficit hyperactivity disorder|attention deficit hyperactivity disorder|cocaine and/or methamphetamine dependent|stimulant dependence,cocaine-related disorders,Diseases Category
112,NCT00000342,risperidone,risperidone,Drug,cocaine|cocaine dependence|cocaine-related disorders,cocaine-related disorders,Diseases Category
113,NCT00000346,cocaine,,Behavioral,abusers|methamphetamine abusers|substance-related disorders,amphetamine-related disorders,Diseases Category
114,NCT00000347,risperidone,risperidone,Drug,amphetamine-related disorders|cocaine and|cocaine dependence|cocaine-related disorders,cocaine-related disorders,Diseases Category
115,NCT00000348,cocaine|dihydrexidine,dihydrexidine,Drug,,cocaine-related disorders,Diseases Category
116,NCT00000349,cocaine|flupentixol,flupentixol,Drug,,cocaine-related disorders,Diseases Category
117,NCT00000352,dextromethorphan|methadone,dextromethorphan,Drug,methadone|opioid|opioid dependent,substance-related disorders,Diseases Category
118,NCT00000353,buprenorphine|naloxone|nx,buprenorphine/naloxone,Drug,opiate dependence,substance-related disorders,Diseases Category
119,NCT00000354,lofexidine,lofexidine,Drug,opiate withdrawal|opioid withdrawal,substance-related disorders,Diseases Category
120,NCT00000355,buprenorphine|naloxone,buprenorphine,Drug,opiate addicts,substance-related disorders,Diseases Category
121,NCT00000356,l-alpha-acetylmethadol,levacetylmethadol,Drug,methadone|methadone maintenance treatment|opiate dependence,substance-related disorders,Diseases Category
122,NCT00000357,buprenorphine,buprenorphine,Drug,opiate dependence,substance-related disorders,Diseases Category
123,NCT00000358,lofexidine,lofexidine,Drug,opiate withdrawal|opioid withdrawal,substance-related disorders,Diseases Category
124,NCT00000361,cyclophosphamide|methotrexate|prednisone,corticosteroids|methotrexate,Drug,autoimmune inner ear disease|hearing loss|rapidly progressive sensorineural hearing loss in both,"hearing loss, sensorineural",Neurologic Manifestations
125,NCT00000367,,treatment of depression|suicide prevention treatment,Drug,depression|suicidal,depression,Psychiatry and Psychology Category
126,NCT00000368,paroxetine,paroxetine or other medication - algorithm used,Drug|Behavioral,panic disorder|pd,panic disorder|agoraphobia,Psychiatry and Psychology Category|Diseases of the nervous system
127,NCT00000369,lithium,lithium carbonate,Drug|Behavioral,bipolar i|bipolar i disorder|depressed episode|depressive|manic /|manic or,bipolar disorder,Psychiatry and Psychology Category
128,NCT00000371,antipsychotic|cycloserine,cycloserine,Drug,negative|schizophrenia|schizophrenic,schizophrenia,Diseases of the nervous system
129,NCT00000372,clozapine|cycloserine|glycine,clozapine|cycloserine|glycine,Drug,negative|schizophrenia|schizophrenic,schizophrenia,Diseases of the nervous system
130,NCT00000373,fluvoxamine|haloperidol,olanzapine + fluoxetine,Drug,obsessive-compulsive disorder|spectrum|tourette syndrome,obsessive-compulsive disorder,Psychiatry and Psychology Category
131,NCT00000374,olanzapine|risperidone,risperidone|olanzapine,Drug,first-episode schizophrenia,schizophrenia,Diseases of the nervous system
132,NCT00000376,antidepressant|desipramine,desipramine,Drug|Behavioral,anxiety disorders|depression|drug-resistant depression|personality|to medication,personality disorders|anxiety disorders|depression,Psychiatry and Psychology Category
133,NCT00000377,nortriptyline,nortriptyline,Drug,depression|late -|major depression,depression,Psychiatry and Psychology Category
134,NCT00000378,antidepressant|antidepressants|nortriptyline|select serotonin re-uptake inhibitor|sertraline|ssri|ssris|tca|tcas|tricyclic antidepressant,sertraline|nortriptyline,Drug,depressive disorder|late :|late-life|major depression|unipolar major depression,depressive disorder|depression,Psychiatry and Psychology Category
135,NCT00000379,antidepressant|fluoxetine,fluoxetine,Drug|Behavioral,"stress disorders, post-traumatic","stress disorders, post-traumatic",Psychiatry and Psychology Category
136,NCT00000380,estrogen|growth hormone releasing hormone,somatorelin,Drug,estrogen replacement therapy|replacement therapy|sleep disturbances|sleep impairment|sleep wake disorders,sleep wake disorders,Diseases Category
137,NCT00000381,fluoxetine,fluoxetine,Drug,anxiety disorders|depression|generalized anxiety disorder|major depression|obsessive-compulsive disorder|panic disorder,anxiety disorders,Psychiatry and Psychology Category
138,NCT00000384,pb|serine|sertraline,sertraline,Drug|Behavioral,obsessive-compulsive disorder,obsessive-compulsive disorder,Psychiatry and Psychology Category
139,NCT00000385,lithium,lithium,Drug,aggressive conduct disorder|severe aggression,aggression,Psychiatry and Psychology Category
140,NCT00000388,,anti-adhd medication,Drug,attention deficit hyperactivity disorder,antisocial personality disorder,Psychiatry and Psychology Category
141,NCT00000389,fluvoxamine,fluvoxamine,Drug,"anxiety|anxiety disorders|anxiety, separation|generalized anxiety disorder|obsessive-compulsive disorder|social phobia","anxiety disorders|obsessive-compulsive disorder|anxiety, separation",Psychiatry and Psychology Category
142,NCT00000390,imipramine hydrochloride,imipramine hydrochloride,Drug,aids related|depression|hiv infection,depression,Psychiatry and Psychology Category
143,NCT00000392,peptide t,peptide t,Drug,cognitive impairment|hiv|neurocognitive|positive,cognition disorders,Psychiatry and Psychology Category
144,NCT00000393,d-ala-1-peptide-t-amide|peptide t,peptide t,Drug,aids|cognitive dysfunction|disturbances|dysfunction of the cns|hiv|hiv-infected|minimal|or moderate,cognition disorders,Psychiatry and Psychology Category
145,NCT00000428,amitriptyline|fl|fluoxetine,amitriptyline|amitriptyline plus fluoxitine,Drug,fibromyalgia,fibromyalgia,Neuromuscular Diseases
146,NCT00000439,depacon|sodium valproate|valproate|valproic acid,sodium valproate,Drug,alcohol dependence|bipolar alcoholics|bipolar disorder|comorbid,bipolar disorder,Psychiatry and Psychology Category
147,NCT00000446,sertraline,sertraline (zoloft),Drug,"alcohol|alcoholism|crime-related|stress disorders, post-traumatic","stress disorders, post-traumatic",Psychiatry and Psychology Category
148,NCT00000448,naltrexone,naltrexone,Drug,alcoholic|alcoholism|depression|feeding and eating disorders,feeding and eating disorders,Psychiatry and Psychology Category
149,NCT00000458,sertraline,sertraline (zoloft),Drug|Behavioral,alcoholics|depressed|depression,depression,Psychiatry and Psychology Category
150,NCT00000469,lovastatin|warfarin,lovastatin|aspirin|acetylsalicylic acid,Drug,asymptomatic carotid stenosis|atherosclerotic plaques,cerebrovascular disorders|carotid stenosis,Central Nervous System Diseases
151,NCT00000479,acetylsalicylic acid|aspirin|vitamin e,vitamin e|aspirin|acetylsalicylic acid,Drug|Behavioral,cancer|cardiovascular disease,cerebrovascular disorders,Central Nervous System Diseases
152,NCT00000514,antihypertensive drug|antihypertensive therapy,atenolol|reserpine|chlorthalidone,Drug,isolated systolic hypertension|stroke,cerebrovascular disorders,Central Nervous System Diseases
153,NCT00000517,oral anticoagulant,warfarin,Drug,atrial fibrillation|embolic stroke|rheumatic heart disease|systemic emboli,cerebrovascular disorders|stroke,Central Nervous System Diseases
154,NCT00000527,platelet-inhibiting drugs,dipyridamole|aspirin|acetylsalicylic acid,Drug,carotid endarterectomy|recurrent stenosis,cerebrovascular disorders|carotid stenosis,Central Nervous System Diseases
155,NCT00000599,colestipol hydrochloride|niacin,niacin||colestipol,Drug|Behavioral,"atherosclerosis|coronary bypass graft lesions|coronary, carotid, and femoral artery atherosclerosis",carotid artery diseases|cerebrovascular disorders,Central Nervous System Diseases
156,NCT00000600,antioxidants|vitamin e,vitamin e|ascorbic acid|vitamin c,Drug,common carotid artery intima-media thickening|early atherosclerosis,carotid artery diseases|cerebrovascular disorders|intracranial arteriosclerosis,Central Nervous System Diseases
157,NCT00000613,genistein|phytoestrogen,genistein,Drug|Behavioral,heart disease|postmenopausal,depression,Psychiatry and Psychology Category
158,NCT00000639,amphotericin b|fluconazole|flucytosine|itraconazole,amphotericin b|fluconazole|itraconazole|flucytosine,Drug,acute cryptococcal meningitis|aids|cryptococcus neoformans|hiv infection|meningitis,"meningitis, cryptococcal",Central Nervous System Diseases
159,NCT00000643,leucovorin calcium|pyrimethamine,pyrimethamine|leucovorin calcium,Drug,"aids|hiv-infected|toxoplasmosis, cerebral","toxoplasmosis, cerebral",Central Nervous System Diseases
160,NCT00000648,benzylpenicillin|ceftriaxone,ceftriaxone sodium|penicillin g potassium,Drug,hiv|hiv infected|neurosyphilis|syphilis,neurosyphilis,Central Nervous System Diseases
161,NCT00000657,"2 ', 3'- dideoxyinosine|didanosine|zidovudine",didanosine|zidovudine,Drug,aids|aids dementia complex|hiv|progression of the,aids dementia complex,Central Nervous System Diseases
162,NCT00000666,clindamycin|pyrimethamine|sulfadiazine,pyrimethamine,Drug,aids|hiv|hiv-infected|latent toxoplasma gondii|latent toxoplasma gondii infection|toxoplasmic encephalitis,"toxoplasmosis, cerebral",Central Nervous System Diseases
163,NCT00000674,clindamycin|leucovorin calcium|pyrimethamine|sulfadiazine|sulfon,clindamycin|pyrimethamine|leucovorin calcium,Drug,acute phase of toxoplasmic encephalitis|acute toxoplasmic encephalitis|aids|encephalitis|toxoplasmic encephalitis,"toxoplasmosis, cerebral",Central Nervous System Diseases
164,NCT00000677,amphotericin b|sch 39304,sch 39304,Drug,"acute cryptococcal meningitis|cryptococcus|hiv-infected|meningitis, cryptococcal","meningitis, cryptococcal",Central Nervous System Diseases
165,NCT00000702,zidovudine,zidovudine,Drug,aids dementia complex|central nervous system (cns) human immunodeficiency virus|hiv infection|hiv) infection|human immunodeficiency virus,aids dementia complex,Central Nervous System Diseases
166,NCT00000708,"amphotericin b|fluconazole|flucytosine|uk-49, 858",amphotericin b|fluconazole|flucytosine,Drug,"acute cryptococcal meningitis|aids|meningitis, cryptococcal","meningitis, cryptococcal",Central Nervous System Diseases
167,NCT00000709,zidovudine,zidovudine,Drug,aids|aids dementia complex|dementia|hiv|low cd4 + lymphocyte counts,aids dementia complex,Central Nervous System Diseases
168,NCT00000738,nimodipine,nimodipine|zidovudine,Drug,aids dementia complex|hiv|hiv-1|hiv-associated motor/cognitive complex|hiv-infected|peripheral nervous system diseases,aids dementia complex,Central Nervous System Diseases
169,NCT00000776,corticosteroids|dexamethasone,amphotericin b|dexamethasone|fluconazole|flucytosine,Drug,"aids|intracranial hypertension|meningitis|meningitis, cryptococcal","meningitis, cryptococcal",Central Nervous System Diseases
170,NCT00000793,amitriptyline|amitriptyline hydrochloride|benztropine mesylate|mexiletine|mexiletine hydrochloride,amitriptyline hydrochloride|benztropine mesylate|mexiletine hydrochloride,Drug,hiv infection|hiv-related|pain|painful hiv-related neuropathy|painful neuropathies|painful neuropathy|painful peripheral neuropathy,peripheral nervous system diseases,Neuromuscular Diseases
171,NCT00000794,atovaquone|pyrimethamine|sulfadiazine,sulfadiazine|leucovorin calcium|atovaquone|pyrimethamine|clarithromycin,Drug,acute toxoplasmic encephalitis|aids|toxoplasmic encephalitis|toxoplasmosis,"toxoplasmosis, cerebral",Central Nervous System Diseases
172,NCT00000817,amitriptyline|antidepressant,amitriptyline hydrochloride,Procedure|Drug,hiv infection|hiv-infected|pain|peripheral nervous system diseases,peripheral nervous system diseases,Neuromuscular Diseases
173,NCT00000842,cenegermin|nerve growth factor|recombinant human nerve growth factor,"nerve growth factor, recombinant human",Drug,hiv-associated|hiv-associated sensory neuropathy|painful sensory neuropathy,peripheral nervous system diseases,Neuromuscular Diseases
174,NCT00000867,antiretroviral|memantine|zidovudine,memantine,Drug,aids dementia complex|therapy,aids dementia complex,Central Nervous System Diseases
175,NCT00000945,cidofovir|cidovir,probenecid|cidofovir,Drug,"acquired immunodeficiency syndrome|hiv|leukoencephalopathy, progressive multifocal|progressive multifocal leukoencephalopathy","leukoencephalopathy, progressive multifocal",Central Nervous System Diseases
176,NCT00000966,azithromycin|pyrimethamine,azithromycin|pyrimethamine|leucovorin calcium,Drug,aids|encephalitis|toxoplasma gondii|toxoplasmic encephalitis,"toxoplasmosis, cerebral",Central Nervous System Diseases
177,NCT00000973,pyrimethamine|sulfadiazine|zidovudine,pyrimethamine|leucovorin calcium|zidovudine,Drug,aids|encephalitis|hiv|toxoplasma gondii|toxoplasmic encephalitis|toxoplasmosis,"toxoplasmosis, cerebral",Central Nervous System Diseases
178,NCT00001017,"amphotericin b|fluconazole|uk-49, 858",amphotericin b|fluconazole,Drug,"acquired immunodeficiency syndrome|acute cm|aids|cryptococcal|meningitis, cryptococcal","meningitis, cryptococcal",Central Nervous System Diseases
179,NCT00001048,ara-c|cytarabine|didanosine|zalcitabine|zidovudine,filgrastim|zalcitabine|cytarabine|zidovudine|didanosine,Drug,"- infected|hiv-infected|human immunodeficiency virus|leukoencephalopathy, progressive multifocal|progressive multifocal leukoencephalopathy","leukoencephalopathy, progressive multifocal",Central Nervous System Diseases
180,NCT00001146,icosapent|omega-3 fatty acid|omega-3 fatty acids,omegabrite|ethyl eicosapentaenoic acid,Drug,bipolar disorder|bipolar illness|depression|major depression|mood disorders,mood disorders|bipolar disorder,Psychiatry and Psychology Category
181,NCT00001234,glucocerebrosidase and ceramidtrihexosidase (a-galactosidase a),human glucocerebrosidase cdna,Genetic,2|fabry disease|gaucher disease|gaucher's or,gaucher disease,Central Nervous System Diseases
